profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,biography,nationality,twitter_handle,birthplace,uci_rider_id,languages,birth_date,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
0,3,55192.0,19941,16,31137.0,135398,12,16,0,0,13,9,86228,3,7,16,59790,10971,180.0,1
0,10,6978.0,4377,8,7658.0,140865,7,8,9,6,3,14,198213,3,4,8,18964,31,181.0,0
0,5,,19953,4,9081.0,137740,0,4,3,2,6,11,81980,1,10,4,77405,14737,189.0,1
0,6,27036.0,7476,6,7489.0,140033,5,6,12,2,1,5,30973,1,2,6,22545,330,190.0,2
0,1,42917.0,14273,0,14001.0,140732,2,0,5,2,9,2,65847,1,6,0,55239,3045,188.0,1
0,14,58428.0,21992,12,23650.0,168776,8,12,2,4,7,16,86895,3,11,12,77835,16793,179.0,1
0,2,,26965,1,,206730,16,1,6,3,8,1,162997,2,14,1,128820,71333,176.0,1
0,12,16313.0,3333,9,134950.0,140752,3,9,0,0,5,13,44513,0,0,9,18746,150,181.0,1
0,11,40668.0,10220,2,2217.0,140476,1,2,7,3,0,4,71284,2,5,2,45724,3147,174.0,1
0,9,65955.0,26396,17,12337.0,189441,6,17,1,1,10,3,92304,4,12,17,110201,41293,186.0,1
0,7,68529.0,24255,7,29548.0,181748,4,7,4,2,2,12,112351,1,13,7,105237,37378,173.0,1
0,0,83296.0,29828,10,,208539,11,10,0,0,8,10,165041,3,17,10,113260,76474,171.0,1
0,16,70754.0,29492,5,,227948,10,5,8,5,11,8,236644,3,16,5,134569,82572,173.0,0
0,8,47768.0,20092,13,,157646,14,13,11,3,8,6,69040,2,9,13,52215,14160,185.0,2
0,13,49291.0,16898,11,,138803,15,11,10,2,8,15,499064,1,3,11,58966,8094,,0
0,17,58050.0,20184,15,,135591,13,15,0,0,8,17,89133,0,8,15,71225,19274,173.0,1
0,15,83295.0,28377,14,84000.0,212377,9,14,0,0,4,0,587366,3,15,14,141854,84019,171.0,1
0,4,7299.0,4819,3,10959.0,140705,3,3,0,0,12,7,30859,3,1,3,17957,705,188.0,0
