SportType,ProfileImage,WeightKg,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,EventsParticipated,HeightCm,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,FreebaseId,CyclingArchivesCyclistId
5,0,83.0,15,47589.0,20960,12,17,16724.0,4,193.0,19,12247.0,158017,19,74994.0,1,65329
3,5,82.0,5,6679.0,2086,6,1,377.0,12,184.0,2,170534.0,140786,9,22143.0,17,9414
3,8,65.0,22,66256.0,25157,15,7,41249.0,11,174.0,8,22666.0,189438,14,96372.0,18,97448
3,22,68.0,9,,4184,21,20,1318.0,6,182.0,22,,140324,11,500336.0,11,20130
3,14,66.0,13,,9803,7,14,700.0,8,183.0,16,,139811,18,582454.0,3,30128
0,3,73.0,8,7299.0,4819,9,2,705.0,12,188.0,3,10959.0,140705,2,30859.0,16,17957
0,12,,0,,1265,18,12,2153.0,3,,14,,139808,11,14103.0,4,4373
0,6,76.0,11,6978.0,4377,8,5,31.0,9,181.0,6,7658.0,140865,10,198213.0,10,18964
3,17,76.0,1,729.0,344,2,9,464.0,12,190.0,10,4558.0,140848,11,349962.0,15,517
3,7,74.0,7,16313.0,3333,20,6,150.0,12,181.0,7,134950.0,140752,6,44513.0,8,18746
3,2,78.0,12,8760.0,4179,11,0,406.0,2,181.0,1,42225.0,140749,12,32691.0,14,19407
1,13,,21,,24107,14,13,37470.0,8,,15,,176926,20,89262.0,18,74368
3,16,70.0,10,22870.0,1646,19,16,346.0,12,186.0,18,,140614,15,32145.0,12,19086
0,1,,16,52844.0,19391,5,0,7572.0,8,,0,2315.0,132228,5,75144.0,18,61758
5,18,74.0,20,61547.0,23429,17,3,37219.0,10,186.0,4,,176731,1,736192.0,18,64800
4,15,,2,,17011,3,15,,0,,17,,134430,7,75578.0,2,65908
3,9,75.0,18,62729.0,23558,1,8,27121.0,7,192.0,9,20811.0,181257,4,97437.0,18,101407
3,19,73.0,17,55907.0,20793,0,19,16610.0,5,178.0,21,2918.0,168755,13,461093.0,6,66627
2,10,63.0,6,11713.0,1041,16,9,408.0,12,176.0,11,,140802,17,32155.0,13,15413
2,4,,14,30223.0,9896,10,4,1715.0,1,183.0,5,8676.0,140300,3,58401.0,0,36780
3,21,,4,11313.0,587,13,11,673.0,12,,13,,138674,8,20700.0,9,11876
3,11,,19,58428.0,21992,17,10,16793.0,11,179.0,12,23650.0,168776,16,86895.0,5,77835
5,20,75.0,3,3516.0,1303,4,18,271.0,12,190.0,20,31384.0,140584,0,,7,12756
