Sport_Type,Freebase_Id,Commons_Category
1,20,17
0,26,20
1,22,26
1,3,13
1,26,21
1,26,21
1,26,21
1,24,12
1,19,14
1,26,20
1,25,24
1,26,20
1,23,18
1,9,25
1,5,6
1,17,2
1,0,11
1,26,33
1,25,24
1,3,13
1,26,20
1,2,15
1,8,5
1,19,14
1,20,17
1,26,20
1,7,30
1,12,27
1,6,4
1,26,32
1,26,3
1,20,17
1,26,20
1,26,9
1,16,19
1,26,20
1,5,6
1,25,24
1,26,33
1,13,31
1,9,25
1,26,10
1,22,26
1,26,20
1,14,29
1,26,9
1,26,20
1,26,1
1,19,14
1,26,7
1,26,20
1,1,23
1,5,6
1,26,20
1,18,20
1,15,20
1,26,20
1,16,19
1,10,28
1,8,5
1,2,15
1,26,20
1,0,11
1,15,20
1,21,0
1,26,3
1,26,20
1,26,3
1,21,0
1,26,8
1,12,27
1,26,20
1,26,20
1,11,16
1,26,20
1,16,19
1,3,13
1,4,22
1,9,25
1,21,0
