Country,Latitude,CommonsCategory,Longitude,CatalogCode
0,48.3221412266,113,27.6909454414,307
0,47.5933580387,346,27.8014083857,331
0,48.148503869,75,28.3021397461,487
0,47.307528,334,28.356646,276
0,47.0190996374,466,28.8324485005,244
0,48.3031637891,319,27.7325675995,306
0,47.025,522,28.828,253
0,46.8185792049,349,29.1393495408,2
0,48.1624382139,29,28.3020996568,482
0,47.3805732682,275,28.8247058363,406
0,47.0148027043,212,28.8386379016,52
0,48.2061069664,171,27.1795743532,329
0,47.2375100838,374,28.8220714556,297
0,47.0255150807,192,28.8431434694,124
0,47.5631669473,409,29.0219734884,461
0,47.0191141487,235,28.8332928623,90
0,47.0192131513,182,28.8342322598,72
0,47.1679929661,340,28.8319465246,296
0,47.0139732764,388,28.4174259153,381
0,47.9074193058,84,28.812281555,470
0,47.2789638956,122,28.5474481787,496
0,47.0138017352,217,28.8350127116,127
0,47.0143499106,238,28.8337330982,61
0,47.0277980977,480,28.8317133355,251
0,47.0248290068,258,28.8189669496,107
0,47.878333,129,28.555833,466
0,47.374064,331,28.823894,405
0,47.3225242477,342,28.2641896987,274
0,47.3858,69,28.8257657,402
0,47.0177758823,470,28.8306874747,147
0,47.01930556,91,28.82222222,212
0,47.9783782107,303,28.4940090421,263
0,47.0291674148,501,28.8275184535,185
0,47.018007185,231,28.8310646358,87
0,47.0192940273,496,28.8328117306,173
0,48.406201894,350,27.4855012907,389
0,47.0145700008,267,28.8294431546,73
0,47.0322434951,193,28.8302371281,74
0,47.0213888889,52,28.8336111111,215
0,47.3421680713,101,28.6896845085,437
0,47.2040653787,4,27.7981440773,526
0,47.7591244653,286,27.9207209555,10
0,47.133522097,296,29.192907417,299
0,47.0659167897,360,29.0025121633,287
0,47.8677364673,455,28.6605466719,465
0,48.4299729983,355,27.3425833906,393
0,47.7544444444,159,27.9213888889,19
0,46.8254166667,302,28.5823888889,360
0,47.3842653369,271,28.8250661418,407
0,48.1666388889,106,27.6578888889,318
0,47.0176118877,215,28.8344441224,78
0,47.0161634209,203,28.8331581817,69
0,47.3858995215,272,28.82473199,408
0,47.3720343396,7,27.7121130918,523
0,47.0214045853,208,28.8259698145,118
0,47.2435829819,419,28.8057548405,285
0,47.0329936356,66,28.8271855497,242
0,47.0131244953,237,28.8349926712,133
0,48.0030650593,42,28.3956336849,486
0,47.0291668064,149,28.8454784243,135
0,47.0221941495,284,28.8342726051,67
0,46.2538711636,358,28.8380917107,36
0,,300,,30
0,48.3455555556,333,27.8908333333,316
