TimeZone,OpenStreetMapRelationId,CommonsCategory,MusicBrainzAreaId,ExecutiveBody,EncyclopediaOfChinaThirdEditionId,EncyclopdiaBritannicaOnlineId,TripAdvisorId,MuseumDigitalPlaceId,FreebaseId,LegislativeBody,INaturalistPlaceId,HeadOfGovernment,FastId,CapitalCity,CurlieId,WorldCatEntitiesId,CiNiiResearchId,FlagImage,WhosOnFirstId,Country,FipsCode,NdlAuthorityId,WorldCatIdentitiesIdSuperseded,MainCategory,GoogleNewsTopicsId,GeoNlpIdObsolete,LibraryOfCongressAuthorityId,CoatOfArmsImage,GoogleMapsCustomerId,LocatorMapImage,ViafId,GettyThesaurusOfGeographicNamesId,ReplacedBy,GeoNamesId,BabelNetId,Woeid,ArchInformLocationId,DeAgostiniId,PopulationCount,QuoraTopicId,NacsisCatAuthorId,NationalLibraryOfIsraelJ9uId,OnlinePwnEncyclopediaId,NicoNicoPediaId,MainTemplate,GndId
12,556706.0,13,13,11,553250.0,12,8,1479.0,15,10,6803.0,4,1204542.0,20,20,17,1.1405637416836063e+18,14,85633345.0,10,14,568770.0,3,11,9,3,6,8,,15,130102165.0,1000226.0,1,2186224.0,14,7,2304.0,8,5118700.0,12,9,9.870075548099052e+17,4169115.0,11,0,10
2,270056.0,5,11,20,287104.0,21,8,64.0,16,9,6903.0,13,1206073.0,0,1,2,,6,85632695.0,12,4,573772.0,0,13,4,17,11,17,,2,132441531.0,1000111.0,12,1814991.0,5,7,2977.0,7,1443497378.0,4,14,9.870075503485052e+17,4169020.0,16,0,1
6,214885.0,6,12,6,,5,8,6814.0,1,13,8196.0,1,1212674.0,21,8,10,1.1400007918176635e+18,7,85633229.0,3,7,567032.0,0,4,9,7,18,5,,4,152376980.0,7006663.0,15,3202326.0,6,2,2297.0,7,3871833.0,5,12,9.870075550427052e+17,4169021.0,7,5,15
12,556706.0,13,13,11,553250.0,12,8,1479.0,15,10,6803.0,4,1204542.0,20,20,17,1.1405637416836063e+18,14,85633345.0,10,14,568770.0,3,11,9,3,6,8,,15,130102165.0,1000226.0,1,2186224.0,14,7,2304.0,8,5118700.0,12,9,9.870075548099052e+17,4169115.0,11,0,10
3,304751.0,9,20,8,558647.0,8,6,24897.0,4,18,6966.0,8,1209242.0,4,2,0,,10,85632203.0,6,8,871922.0,8,7,9,12,15,18,,10,125405737.0,1000116.0,3,1643084.0,8,3,2990.0,7,275439000.0,8,14,9.870075525048051e+17,4169054.0,3,0,5
2,270056.0,5,11,20,287104.0,21,8,64.0,16,9,6903.0,13,1206073.0,0,1,2,,6,85632695.0,12,4,573772.0,0,13,4,17,11,17,,2,132441531.0,1000111.0,12,1814991.0,5,7,2977.0,7,1443497378.0,4,14,9.870075503485052e+17,4169020.0,16,0,1
11,80500.0,2,1,0,668304.0,2,5,5000.0,14,11,6744.0,3,1204543.0,3,19,18,1.1405637417076361e+18,3,85632793.0,0,1,871911.0,4,1,3,16,7,1,6.017485995813573e+18,0,128919823.0,7000490.0,9,2077456.0,1,0,2966.0,2,26473055.0,1,6,9.870075548096051e+17,4168998.0,4,2,0
14,2177187.0,1,21,4,551543.0,1,8,25922.0,20,0,8548.0,12,1207148.0,12,18,12,,2,85632697.0,20,0,,0,0,9,9,14,21,,13,149435299.0,7005667.0,9,5880801.0,19,7,6080.0,1,49710.0,0,14,9.870075572597052e+17,4197291.0,0,1,20
1,114686.0,11,4,3,558995.0,10,8,1028.0,13,3,6793.0,2,1211700.0,9,16,16,1.140563741765168e+18,0,85633293.0,8,12,567575.0,9,9,8,15,17,7,1.7105996014592563e+19,14,154775570.0,7005560.0,13,3996063.0,13,7,3017.0,7,124777324.0,10,5,9.870075481680051e+17,4169101.0,13,13,8
3,304751.0,9,20,8,558647.0,8,6,24897.0,4,18,6966.0,8,1209242.0,4,2,0,,10,85632203.0,6,8,871922.0,8,7,9,12,15,18,,10,125405737.0,1000116.0,3,1643084.0,8,3,2990.0,7,275439000.0,8,14,9.870075525048051e+17,4169054.0,3,0,5
2,270056.0,5,11,20,287104.0,21,8,64.0,16,9,6903.0,13,1206073.0,0,1,2,,6,85632695.0,12,4,573772.0,0,13,4,17,11,17,,2,132441531.0,1000111.0,12,1814991.0,5,7,2977.0,7,1443497378.0,4,14,9.870075503485052e+17,4169020.0,16,0,1
7,51477.0,8,14,21,184853.0,7,3,209.0,2,2,7207.0,16,1210272.0,1,10,13,,9,85633111.0,5,6,561571.0,0,6,9,13,16,6,8.496143413569249e+18,9,189116956.0,7000084.0,18,2921044.0,7,1,2979.0,7,84358845.0,7,14,9.870075597787052e+17,4169110.0,10,7,2
0,307756.0,18,18,16,395958.0,17,8,6860.0,9,7,6891.0,21,,15,6,19,1.1408452167449325e+18,19,85632231.0,17,11,573706.0,7,17,9,5,13,13,1.045865466209297e+19,20,132441370.0,7000299.0,8,1835841.0,15,7,3047.0,3,51466201.0,18,7,9.870075547915052e+17,4169076.0,19,9,18
2,270056.0,5,11,20,287104.0,21,8,64.0,16,9,6903.0,13,1206073.0,0,1,2,,6,85632695.0,12,4,573772.0,0,13,4,17,11,17,,2,132441531.0,1000111.0,12,1814991.0,5,7,2977.0,7,1443497378.0,4,14,9.870075503485052e+17,4169020.0,16,0,1
8,1152720.0,0,17,18,,0,8,,21,17,,0,,16,0,19,,1,,13,15,,0,21,9,9,0,3,,12,,,9,,19,7,,0,242000.0,13,14,9.870075308030052e+17,,0,0,21
14,2177187.0,1,21,4,551543.0,1,8,25922.0,20,0,8548.0,12,1207148.0,12,18,12,,2,85632697.0,20,0,,0,0,9,9,14,21,,13,149435299.0,7005667.0,9,5880801.0,19,7,6080.0,1,49710.0,0,14,9.870075572597052e+17,4197291.0,0,1,20
6,16239.0,3,19,1,381469.0,3,8,236.0,19,1,8057.0,10,1204901.0,18,7,15,1.1400007918630191e+18,4,85632785.0,1,2,568970.0,5,2,9,2,9,4,,3,148842731.0,1000062.0,0,2782113.0,2,7,3025.0,7,8979894.0,2,3,9.870075596513052e+17,4168999.0,5,3,11
6,16239.0,3,19,1,381469.0,3,8,236.0,19,1,8057.0,10,1204901.0,18,7,15,1.1400007918630191e+18,4,85632785.0,1,2,568970.0,5,2,9,2,9,4,,3,148842731.0,1000062.0,0,2782113.0,2,7,3025.0,7,8979894.0,2,3,9.870075596513052e+17,4168999.0,5,3,11
6,1311341.0,19,6,17,,18,8,2333.0,8,4,6774.0,17,1204303.0,8,13,11,1.1402822666254188e+18,12,85633129.0,18,19,571694.0,2,18,9,8,4,14,1.2028037719090831e+19,7,133609710.0,1000095.0,6,2510769.0,9,7,3043.0,9,47415750.0,19,4,9.870075525318052e+17,4169050.0,8,12,14
7,51477.0,8,14,21,184853.0,7,3,209.0,2,2,7207.0,16,1210272.0,1,10,13,,9,85633111.0,5,6,561571.0,0,6,9,13,16,6,8.496143413569249e+18,9,189116956.0,7000084.0,18,2921044.0,7,1,2979.0,7,84358845.0,7,14,9.870075597787052e+17,4169110.0,10,7,2
6,16239.0,3,19,1,381469.0,3,8,236.0,19,1,8057.0,10,1204901.0,18,7,15,1.1400007918630191e+18,4,85632785.0,1,2,568970.0,5,2,9,2,9,4,,3,148842731.0,1000062.0,0,2782113.0,2,7,3025.0,7,8979894.0,2,3,9.870075596513052e+17,4168999.0,5,3,11
2,270056.0,5,11,20,287104.0,21,8,64.0,16,9,6903.0,13,1206073.0,0,1,2,,6,85632695.0,12,4,573772.0,0,13,4,17,11,17,,2,132441531.0,1000111.0,12,1814991.0,5,7,2977.0,7,1443497378.0,4,14,9.870075503485052e+17,4169020.0,16,0,1
11,80500.0,2,1,0,668304.0,2,5,5000.0,14,11,6744.0,3,1204543.0,3,19,18,1.1405637417076361e+18,3,85632793.0,0,1,871911.0,4,1,3,16,7,1,6.017485995813573e+18,0,128919823.0,7000490.0,9,2077456.0,1,0,2966.0,2,26473055.0,1,6,9.870075548096051e+17,4168998.0,4,2,0
6,214885.0,6,12,6,,5,8,6814.0,1,13,8196.0,1,1212674.0,21,8,10,1.1400007918176635e+18,7,85633229.0,3,7,567032.0,0,4,9,7,18,5,,4,152376980.0,7006663.0,15,3202326.0,6,2,2297.0,7,3871833.0,5,12,9.870075550427052e+17,4169021.0,7,5,15
6,16239.0,3,19,1,381469.0,3,8,236.0,19,1,8057.0,10,1204901.0,18,7,15,1.1400007918630191e+18,4,85632785.0,1,2,568970.0,5,2,9,2,9,4,,3,148842731.0,1000062.0,0,2782113.0,2,7,3025.0,7,8979894.0,2,3,9.870075596513052e+17,4168999.0,5,3,11
12,556706.0,13,13,11,553250.0,12,8,1479.0,15,10,6803.0,4,1204542.0,20,20,17,1.1405637416836063e+18,14,85633345.0,10,14,568770.0,3,11,9,3,6,8,,15,130102165.0,1000226.0,1,2186224.0,14,7,2304.0,8,5118700.0,12,9,9.870075548099052e+17,4169115.0,11,0,10
