National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Commons_Category,K_Bpedia_Id,Quora_Topic_Id,Encyclopdia_Britannica_Online_Id,Bncf_Thesaurus_Id,Main_Category,Freebase_Id,Gnd_Id,Library_Of_Congress_Authority_Id,Yso_Id
9.870075296648051e+17,67,269,154,254,115,4012.0,273,210,134,248,1928.0
9.870075459113052e+17,173,195,158,186,0,23385.0,195,272,165,188,12865.0
9.870075493306052e+17,0,179,154,183,23,3197.0,300,241,269,296,
9.870072857783052e+17,191,245,199,183,0,,247,69,209,67,11896.0
9.870075483764051e+17,142,123,217,117,114,18023.0,123,128,53,132,8145.0
9.870075483529052e+17,267,153,123,148,100,,154,145,269,0,
9.870075429947052e+17,0,276,223,260,229,962.0,281,209,54,75,4029.0
9.870075552999052e+17,245,92,75,87,13,23856.0,92,100,32,107,19188.0
9.870075359046052e+17,133,117,95,113,18,4658.0,118,114,49,126,16512.0
9.870075655723052e+17,158,158,125,152,136,29596.0,158,155,82,154,5182.0
9.870075437739052e+17,187,191,188,215,0,28701.0,231,166,116,219,
9.870075507870052e+17,17,87,71,83,54,16915.0,87,261,219,104,16960.0
9.870075482965052e+17,0,238,193,223,0,,239,146,269,174,15955.0
9.870075412878052e+17,21,204,154,193,75,10573.0,204,186,100,195,1738.0
9.870075604356051e+17,264,126,101,122,61,13240.0,126,266,193,133,2172.0
9.870075534876051e+17,139,191,154,183,196,,183,256,213,179,15025.0
9.870075418210052e+17,253,187,152,181,69,37019.0,189,170,265,283,18502.0
9.870075633155052e+17,81,293,235,276,34,27646.0,298,61,269,267,5712.0
9.870072938042052e+17,79,4,3,4,151,1992.0,4,271,79,18,4503.0
9.870075339865052e+17,257,176,141,170,193,26350.0,176,164,231,170,13199.0
9.870075420681052e+17,206,265,216,250,113,3469.0,269,213,131,287,17805.0
9.870072850675052e+17,80,49,42,42,163,8465.0,48,56,119,65,2757.0
9.870072834763052e+17,146,42,35,37,162,10670.0,42,60,179,57,14107.0
9.870072838085052e+17,202,54,44,47,126,16959.0,53,63,13,70,722.0
