GeneClassification,GenomicEndPosition,GeneDbId,GeneType,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,38827,225,1,35924,3,1
0,3779,182,0,1517,0,0
0,9869,53,0,8244,0,1
1,825842,310,1,823350,3,0
0,502030,129,0,499289,0,0
1,79193,77,1,76656,3,1
1,2449,0,1,11,3,0
0,7010,291,0,4233,0,1
0,66235,246,0,64469,0,1
1,21822,317,1,18838,3,1
0,104384,71,0,101526,0,1
0,77950,17,0,74987,0,1
1,510295,141,1,507728,3,1
1,847503,311,1,845194,3,0
1,16574,222,1,14088,3,1
1,181574,314,1,180063,3,1
1,625252,228,1,622190,3,0
1,981807,277,1,979324,3,1
1,16715,185,1,14439,3,1
0,3108,210,0,115,0,0
1,2940,212,1,73,3,1
1,2351295,263,1,2348338,3,0
1,13435,271,1,10745,3,0
0,86361,187,0,83876,0,1
1,225780,78,1,223900,3,0
1,578138,98,1,576360,3,0
1,504140,267,1,500865,3,0
1,636457,213,1,635763,3,0
1,847195,162,1,845501,3,0
1,492362,27,1,490971,3,0
1,236472,223,1,233641,3,0
0,779582,202,0,776703,0,0
0,5320,123,0,4310,0,1
1,3857,103,1,1095,3,1
0,650247,100,0,648161,0,0
1,984,304,1,31,3,0
1,976,20,1,2,3,1
0,24358,272,0,21590,0,0
0,2274,50,0,1,0,0
1,628999,142,1,626735,3,0
1,13990,114,1,11384,3,1
0,14595,65,0,12280,0,1
1,11256,252,1,8914,3,1
1,2327020,262,1,2324351,3,0
1,5339,51,1,2904,3,1
0,65081,83,0,62292,0,1
1,9052,245,1,7148,3,1
0,805554,313,0,804478,0,0
0,782600,203,0,781197,0,0
0,955,155,0,2,1,1
1,1573917,165,1,1571158,3,0
0,1995400,174,0,1993454,0,0
0,794113,241,0,793295,1,0
1,644271,96,1,641242,3,1
0,56433,247,0,54619,1,1
1,654938,251,1,652152,3,0
1,1032018,49,1,1029001,3,0
0,1140600,195,0,1138639,0,0
1,411506,57,1,408474,3,0
1,924785,235,1,922281,3,1
0,4734,122,0,2191,0,0
0,8397,15,0,5578,0,1
0,764760,201,0,762982,0,0
1,3210,22,1,616,3,1
1,587182,273,1,584897,3,1
0,4421,31,0,3684,0,1
0,9939,56,0,8926,0,0
0,606712,236,0,603989,0,0
1,21218,240,1,18921,3,1
0,2501,82,0,102,1,1
1,7457,214,1,4911,3,1
0,490870,45,0,489493,0,0
1,4073,5,1,1218,3,0
1,110366,248,1,107442,3,1
1,22430,44,1,19944,3,1
1,15107,261,1,12237,3,1
1,41742,307,1,39727,3,1
0,663320,257,0,660522,0,0
0,58458,113,0,55432,0,1
1,486237,24,1,483109,3,0
1,353345,138,1,350952,3,0
0,9141,220,0,8410,0,0
1,2693,280,1,396,3,0
1,44770,25,1,42977,3,1
0,3597,233,0,1834,0,0
1,5678,127,1,4257,3,1
0,655728,167,0,653962,0,0
0,33262,308,0,31331,0,1
0,791878,120,0,790079,0,0
1,760085,242,1,757590,3,0
0,1852491,173,0,1847980,0,0
1,130785,104,1,128263,3,0
1,122539,189,1,120197,3,1
0,594892,226,0,591674,0,0
0,571445,197,0,567813,0,0
1,690966,179,1,687994,3,0
1,18751,109,1,16475,3,1
1,582823,21,1,581135,3,0
0,67475,296,0,65139,0,1
1,25743,230,1,24748,3,1
1,71114,194,1,69705,3,1
0,103187,323,0,101616,1,0
0,702008,180,0,700188,0,0
1,585311,227,1,582390,3,0
1,2325261,42,1,2323705,3,0
1,491613,133,1,488857,3,1
1,12191,231,1,9909,3,1
1,7825,90,1,5795,3,0
1,59561,140,1,57681,3,1
0,4036,63,0,1289,0,1
1,3158,253,1,408,3,1
0,1434052,153,0,1432280,0,0
1,29749,160,1,26915,3,1
1,430057,184,1,427406,3,0
1,10910,88,1,8910,3,0
0,30562,278,0,28739,1,1
0,4524,239,0,2574,0,0
0,4216,132,0,1460,0,1
1,4679,183,1,1893,3,0
1,10460,76,1,8049,3,1
1,28755,102,1,25951,3,1
1,2892,67,1,97,3,0
1,912033,72,1,909235,3,0
1,15683,255,1,12888,3,0
1,30617,148,1,28410,3,1
0,75311,149,0,73533,0,1
1,14564,60,1,12819,3,1
1,706189,14,1,704129,3,0
0,120500,322,0,118605,0,0
1,26060,258,1,23298,3,1
0,201879,299,0,200095,0,0
0,8589,29,0,6541,0,1
0,1385359,152,0,1383590,0,0
1,688837,87,1,685982,3,0
0,54516,93,0,53479,0,1
1,1443,19,1,1,3,1
1,201254,158,1,198909,3,0
1,670094,37,1,667467,3,0
1,628364,99,1,625434,3,0
0,10587,181,0,8119,0,1
0,61849,46,0,60071,0,1
1,4799,270,1,2103,3,0
1,7313,234,1,4734,3,0
1,5025,157,1,2677,3,1
0,20670,139,0,18052,0,1
1,829858,118,1,827087,3,0
1,2071578,163,1,2068987,3,0
1,411543,243,1,408877,3,0
1,848494,161,1,847454,3,0
1,8756,144,1,5919,3,1
0,169188,306,0,166855,0,1
1,16396,294,1,13598,3,0
1,492103,128,1,489575,3,0
1,14953,302,1,12005,3,1
0,427483,287,0,425420,0,0
1,570499,250,1,567725,3,0
0,36437,101,0,35517,0,1
1,68621,190,1,67503,3,1
1,245943,61,1,244298,3,0
1,556405,238,1,554000,3,1
0,8383,219,0,7271,0,0
1,873816,170,1,871123,3,0
0,20605,215,0,20087,1,0
1,2350211,166,1,2347587,3,0
1,14712,221,1,11650,3,0
1,14455,89,1,11690,3,0
0,1137976,136,0,1133828,0,0
1,96498,207,1,94816,3,1
1,83774,186,1,82602,3,1
1,3538,292,1,857,3,1
1,483389,320,1,481422,3,0
0,85945,309,0,83153,0,1
1,6970,58,1,4526,3,0
0,22871,4,0,21810,0,1
0,2258,47,0,3,1,1
0,728090,36,0,725151,0,0
0,1739,12,0,3,1,1
0,258722,218,0,256827,0,0
1,8963,176,1,6399,3,1
1,145152,315,1,142906,3,1
1,572075,300,1,569139,3,0
0,2028848,178,0,2027736,2,0
1,33122,281,1,30594,3,1
1,690828,274,1,688522,3,0
0,45706,259,0,43370,0,1
1,588116,3,1,586977,3,0
0,4613,116,0,1626,0,1
0,12865,289,0,9965,0,1
1,4342,81,1,1385,3,1
1,9360,254,1,6577,3,0
0,367390,216,0,364778,1,0
0,25602,134,0,22921,0,1
0,563158,321,0,560651,0,0
0,467624,169,0,464685,0,0
0,2010044,11,0,2009265,2,0
0,1225,52,0,1,0,1
1,9553,111,1,7784,3,0
1,33240,54,1,30436,3,1
1,197559,192,1,195199,3,1
1,2762,131,1,822,3,0
