Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,3818,117,0,2061
0,497232,54,4,497002
0,1362603,67,0,1360342
0,10034,9,0,9492
0,705460,55,0,703286
0,720,118,0,1
0,560632,58,0,560198
1,161676,80,0,160684
1,2942,38,0,882
1,53693,62,0,52560
0,1058918,109,0,1056777
0,1193345,106,0,1191366
1,591642,60,4,591283
0,2356776,5,0,2355799
1,38921,65,0,36609
1,82404,8,0,80149
0,3053,22,0,873
1,501852,64,0,499696
0,195717,4,0,194815
1,454212,112,0,451945
1,1166328,33,0,1164352
1,114991,86,0,114542
1,302402,49,4,301785
0,2832,57,0,619
1,26356,46,0,24182
1,628270,41,0,627785
1,60797,32,0,58671
0,508321,37,0,506186
1,29015,29,0,27780
0,479217,81,0,477172
1,395040,111,0,392911
1,2179419,101,0,2176948
0,742170,82,0,739927
0,203063,83,0,200871
1,9199,105,0,7001
0,606833,40,0,604902
0,53186,23,0,51024
0,12912,2,1,12295
1,5374,108,0,4073
1,346367,45,0,344166
0,551749,35,4,551012
0,656983,75,0,654773
1,81636,78,4,81217
1,18169,7,0,16115
0,2355697,102,0,2354525
1,160581,126,0,159610
0,610706,92,4,610452
1,356850,24,4,356083
1,246323,71,0,244452
1,258202,89,0,255983
0,802663,63,0,801878
1,628874,61,0,628374
1,1105132,107,0,1103840
0,1157244,30,3,1157023
0,2001346,69,0,1998842
0,122127,120,0,120202
1,32651,28,0,31587
0,576256,1,0,575726
0,13846,11,0,12761
1,69895,3,0,67685
1,292285,128,0,290090
0,522056,129,0,520707
1,967593,59,0,965515
1,18788,27,0,16752
0,1431,21,0,1
0,843337,68,0,841178
1,27802,124,0,25553
1,521,0,4,3
0,149082,121,0,147823
0,630544,12,0,630077
1,85717,43,0,84713
0,2356,6,0,188
1,116089,79,4,115388
0,5373,104,0,3175
0,414917,93,0,412986
1,590889,97,0,588715
0,879776,20,0,877512
1,16562,25,0,16113
0,551038,42,0,548948
0,573072,95,0,571858
1,8796,48,0,6766
0,194168,90,0,192141
0,804175,50,0,801998
1,7341,15,0,5542
1,1092022,123,0,1090076
0,853635,114,0,852247
1,6731,39,0,4560
0,24063,91,0,21859
1,569,77,4,3
1,605835,113,0,604711
1,20468,96,0,18309
0,47761,116,0,45575
1,80858,13,0,80019
0,143770,130,0,141896
1,40865,17,0,38190
1,17708,31,0,16425
1,107570,34,0,105642
1,238993,72,0,236726
1,5239,53,0,3059
1,2117,26,0,3
1,45873,87,0,43711
0,305003,103,0,302736
0,724179,14,0,722086
1,564263,36,0,562332
0,487684,132,0,485708
1,9794,122,0,7884
0,395811,52,0,393328
0,399746,94,0,397836
0,510087,18,0,508918
1,5081,19,0,2874
0,630340,44,0,629867
1,45587,119,0,43530
0,12118,56,0,9896
1,603844,98,0,602780
0,28251,115,0,27310
1,15656,51,0,13635
0,551317,84,0,549344
0,2323,70,0,1850
0,17469,88,0,15220
0,2747,85,0,2046
1,1525088,100,0,1523784
0,1220025,99,0,1218841
1,1560715,16,0,1558235
1,8315,10,0,7779
0,415880,47,0,413892
1,352533,110,4,352018
0,429,127,0,1
0,461012,74,3,460530
1,216636,73,0,214564
1,61722,125,0,61057
0,111044,131,0,109113
0,875271,76,2,874933
0,1428134,66,0,1426182
