Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
0,4,69978.0,26420.0,1,,198040,1,1,500320.0,0,,19,4,1,70760,53723,10,177.0
0,13,57092.0,21128.0,7,3162.0,162969,7,10,76315.0,2,64.0,12,8,7,76333,16578,7,180.0
0,8,50317.0,18455.0,0,2094.0,138294,0,4,68778.0,8,70.0,8,5,0,61900,6230,3,175.0
1,10,39287.0,13240.0,6,66281.0,140835,6,13,55029.0,8,67.0,0,20,6,21075,1310,13,178.0
0,12,,21504.0,15,2276.0,132346,15,22,86696.0,7,71.0,11,10,15,72663,16817,13,183.0
0,17,46998.0,16666.0,21,22458.0,140492,21,8,64680.0,8,71.0,4,3,21,48356,2338,1,176.0
0,19,57472.0,21342.0,18,317302.0,178184,18,9,91656.0,8,62.0,10,10,18,66785,23097,12,170.0
0,14,58116.0,22910.0,19,15237.0,170625,19,7,99713.0,11,78.0,14,10,19,81488,27111,2,186.0
0,22,66570.0,27708.0,23,,202331,23,15,109775.0,8,58.0,20,12,23,119805,65025,10,170.0
0,20,39842.0,12843.0,13,1311517.0,140292,13,20,67388.0,5,58.0,3,14,13,57418,2276,0,166.0
0,6,38255.0,16936.0,12,,133702,12,2,58398.0,8,,5,2,12,52226,6227,10,184.0
0,1,89309.0,29699.0,20,,211947,20,3,353375.0,12,,21,0,20,144923,81835,9,174.0
0,11,49621.0,18313.0,10,3871.0,133720,10,21,70623.0,4,70.0,7,13,10,57216,8388,7,182.0
0,9,69190.0,25740.0,9,,196424,9,11,112082.0,8,,17,19,9,115868,38195,10,175.0
0,0,83296.0,29828.0,8,,208539,8,14,165041.0,3,63.0,23,21,8,113260,76474,10,171.0
0,7,65453.0,26508.0,4,,195739,4,16,150923.0,1,69.0,18,7,4,113772,48539,10,183.0
0,18,,24346.0,22,,179111,22,0,100931.0,8,,16,22,22,107949,37376,8,183.0
0,5,,,2,,242423,2,6,667300.0,8,,24,18,2,148733,112241,11,
0,21,,22744.0,14,1543.0,132419,14,5,747569.0,6,68.0,13,16,14,70980,16576,13,180.0
0,16,56041.0,20719.0,16,127549.0,174582,16,19,88889.0,9,65.0,2,15,16,72449,18655,6,177.0
0,3,52879.0,19448.0,11,15757.0,132428,11,17,73817.0,8,,9,9,11,71390,7695,5,184.0
0,24,58050.0,20184.0,24,,135591,24,23,89133.0,13,72.5,6,1,24,71225,19274,13,173.0
0,23,70754.0,29492.0,5,,227948,5,12,236644.0,8,,22,17,5,134569,82572,10,173.0
0,15,63024.0,23763.0,3,2760.0,193292,3,18,97805.0,8,66.0,15,11,3,108136,42186,4,188.0
0,2,43386.0,14310.0,17,35954.0,140509,17,24,53804.0,10,62.0,1,6,17,36343,3991,0,173.0
