Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
0,4,56436.0,20917.0,13,5649.0,156570,13,9,77380,8,78.0,10,0,13,71706,9746.0,10,180.0
1,10,2747.0,3448.0,11,1352523.0,140768,12,6,32923,7,70.0,1,1,12,16824,14.0,12,175.0
0,0,56070.0,20777.0,5,203494.0,179769,5,10,86568,8,71.0,12,12,5,79781,18575.0,4,180.0
0,9,4878.0,1409.0,8,,140277,9,5,252974,5,59.0,0,3,9,11912,72.0,12,170.0
0,12,26009.0,12193.0,14,1940308.0,140797,14,17,54603,8,78.0,6,14,14,30229,784.0,0,184.0
0,14,51744.0,19238.0,3,38200.0,138396,3,0,72932,2,70.0,9,6,3,66031,7720.0,6,177.0
0,6,,26392.0,6,,193131,6,11,148275,3,69.0,15,13,6,89152,45363.0,9,176.0
0,1,8760.0,4179.0,0,42225.0,140749,0,13,32691,8,78.0,2,9,0,19407,406.0,3,181.0
0,13,8424.0,6784.0,10,226627.0,140342,11,1,45024,8,82.0,3,8,11,18093,1007.0,12,188.0
0,16,59207.0,,15,,192552,15,14,91180,8,82.0,13,12,15,74088,,13,180.0
0,11,,20290.0,12,,157598,8,4,88556,8,,8,2,8,57111,,5,
0,7,71992.0,26637.0,7,,201838,7,7,111683,4,76.0,16,7,7,125323,61988.0,10,176.0
0,15,,32946.0,9,,260390,10,16,752230,6,75.0,17,11,10,155901,116112.0,11,184.0
1,8,39287.0,13240.0,4,66281.0,140835,4,8,55029,8,67.0,4,15,4,21075,1310.0,12,178.0
0,3,53630.0,19651.0,2,40766.0,168753,2,15,78094,1,61.0,11,5,2,71432,16573.0,2,165.0
0,11,57445.0,21387.0,16,,127751,16,12,88568,9,,5,10,16,77244,16909.0,8,
0,5,65955.0,26396.0,17,12337.0,189441,17,2,92304,10,,14,12,17,110201,41293.0,7,186.0
0,2,43344.0,16653.0,1,63128.0,140818,1,3,64670,0,78.0,7,4,1,52068,2337.0,1,181.0
