Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,Nationality,GtaaId,BirthPlace,UciRiderId,NativeName,Languages,WeightKg,OlympediaPeopleId,MunzingerId,FirstName,FullName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportsReferencecomOlympicAthleteIdArchived
0,15,19958,7006,15,,140820,6178.0,2,,16,56916,5,7,61.0,124127.0,,15,15,30460,5592,169,11,6
0,11,56041,20719,12,127549.0,174582,66232.0,8,1672796.0,19,88889,7,6,65.0,135863.0,1000009959.0,12,12,72449,18655,177,18,9
0,7,18034,51,6,,140407,20661.0,4,225168.0,11,15305,5,2,60.0,111584.0,1000006597.0,6,6,9204,22,178,9,12
0,20,41885,13080,19,142323.0,140628,54334.0,3,255923.0,8,64737,11,1,65.0,,1000008833.0,18,19,58535,860,180,8,0
0,9,7418,3335,7,,140090,13253.0,3,,3,30946,2,1,,,,7,7,13892,169,170,2,0
0,19,15225,2437,17,,140630,9635.0,8,235910.0,17,30369,5,6,68.0,111612.0,,16,17,13510,147,176,3,10
0,1,16289,5,0,470645.0,140924,19443.0,9,163334.0,10,14575,5,4,61.0,103634.0,1000006677.0,0,0,7005,38,177,6,11
0,21,11585,1994,21,569371.0,140778,16105.0,5,225135.0,9,28378,13,3,65.0,111576.0,1000008014.0,20,21,13069,133,181,13,8
0,14,7362,871,14,91041.0,140868,13195.0,1,224483.0,21,20884,5,4,71.0,108005.0,1000008355.0,14,14,9918,52,190,15,5
0,17,19478,7838,20,63706.0,140805,5661.0,3,236675.0,5,44337,12,1,69.0,125021.0,,19,20,19062,918,180,5,3
1,0,49682,17893,16,39580.0,134456,58541.0,10,,2,553301,9,0,58.0,143135.0,1000009895.0,16,16,65130,6242,172,17,0
0,18,6263,45,11,247878.0,140855,12393.0,0,102648.0,20,24166,6,4,70.0,103635.0,1000007888.0,11,11,4177,174,179,10,4
0,2,69634,26526,18,5000.0,194619,,8,,7,149727,10,6,66.0,146565.0,1000010405.0,17,18,115790,45992,176,19,0
0,13,52044,20798,9,9184.0,132438,66541.0,4,,1,86938,3,2,70.0,143404.0,1000009950.0,9,9,71789,16643,183,19,0
0,3,7299,4819,2,10959.0,140705,6203.0,0,,6,30859,5,4,73.0,,,2,2,17957,705,188,7,0
0,12,83295,28377,13,84000.0,212377,,0,,0,587366,8,4,62.0,141007.0,1000010184.0,13,13,141854,84019,171,19,0
0,6,22917,6177,4,25109.0,140232,2003.0,5,,15,45643,5,3,65.0,134607.0,,4,4,20659,1006,179,16,1
0,4,3132,1861,8,,140928,2412.0,9,229526.0,18,23069,5,7,69.0,,,8,8,1472,288,175,0,0
0,8,12980,1999,5,1980.0,140438,17159.0,5,,14,26925,5,3,53.0,,,5,5,11870,452,165,1,0
0,16,30398,9794,1,37720.0,140493,31964.0,11,239511.0,13,62315,0,4,63.0,,,1,1,43241,2277,175,14,0
0,10,27794,12923,10,156620.0,140821,28843.0,7,239265.0,4,58528,4,5,65.0,120895.0,1000008868.0,10,10,36053,2961,176,12,7
0,5,22663,5789,3,1529344.0,140869,12014.0,6,229534.0,12,43936,1,3,69.0,126950.0,1000008372.0,3,3,22017,713,186,4,2
