Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,447558,85,85,2,1,22,447142,1
0,415,77,77,3,0,19,74,0
0,971,65,65,3,0,13,3,0
1,994934,10,10,2,1,11,993237,0
1,2100077,51,51,2,1,41,2099445,1
1,339503,96,96,2,1,18,338613,1
1,571876,59,59,2,1,38,570902,0
0,409340,95,95,0,0,10,408633,0
0,747945,60,60,3,0,40,745645,0
0,4790,64,64,4,0,19,4113,0
1,1493,81,81,2,1,25,471,1
1,1445532,19,19,2,1,41,1444765,1
1,796821,76,76,2,1,46,795886,0
1,677663,22,22,2,1,1,676746,0
1,1037381,93,93,2,1,28,1036476,1
0,434997,6,6,0,0,20,434554,1
1,787501,70,70,2,1,11,786539,0
0,514049,84,84,3,0,0,513210,1
1,1751697,5,5,1,1,6,1751281,0
1,767190,25,25,2,1,37,766081,0
1,34900,82,82,2,1,44,34403,0
1,710,12,12,2,1,9,3,0
1,74492,18,18,2,1,39,73803,0
1,1021876,57,57,2,1,6,1021316,0
1,1605890,78,78,2,1,6,1605162,0
1,310242,35,35,2,1,18,309811,0
1,1067748,79,79,2,1,18,1067248,0
1,810033,68,68,2,1,11,808633,0
1,524283,27,27,2,1,32,523744,0
1,1162532,38,38,2,1,6,1161927,0
1,796791,69,69,2,1,39,795304,0
1,1115404,71,71,2,1,1,1114712,1
0,292232,52,52,0,0,7,291777,0
1,493953,86,86,2,1,18,493609,0
1,15756,45,45,2,1,37,14755,1
1,1575106,50,50,2,1,28,1574483,0
1,1226536,43,43,2,1,1,1225625,1
1,738027,48,48,2,1,37,736090,0
1,624101,23,23,2,1,30,623469,1
0,2665,9,9,3,0,19,1541,1
1,1000,40,40,2,1,8,2,0
0,415202,7,7,0,0,21,414870,0
1,456990,36,36,2,1,21,456034,0
0,11816,47,47,3,0,19,9516,1
0,43740,66,66,0,0,5,43105,0
0,556441,26,26,0,0,29,555500,0
1,302448,33,33,2,1,18,301999,0
1,408301,94,94,2,1,1,407363,0
0,5255,74,74,3,0,34,2763,0
0,69017,92,92,5,0,35,68592,1
0,1568049,32,32,3,0,24,1567459,1
1,483,16,16,2,1,4,1,1
1,2418,8,8,2,1,26,715,1
1,1145346,90,90,2,1,17,1144930,0
1,1078009,0,0,2,1,18,1077569,1
1,26464,56,56,2,1,18,24623,1
0,743148,39,39,0,0,11,742618,0
1,1430208,20,20,2,1,1,1429318,0
0,828817,3,3,0,0,43,828224,1
1,9446,80,80,2,1,3,7647,0
1,752839,21,21,2,1,1,752246,1
0,14261,89,89,3,0,2,11517,1
1,405646,53,53,2,1,18,404846,1
0,1735532,72,72,3,0,27,1734645,0
0,995699,87,87,3,0,11,995106,1
1,1680779,31,31,2,1,1,1680060,0
0,12112,15,15,0,0,19,11726,0
0,1708125,2,2,3,0,16,1707238,0
1,571767,75,75,2,1,41,570709,1
1,888037,88,88,2,1,46,886754,0
1,3924,63,63,2,1,15,2239,1
0,1735953,73,73,0,0,36,1735636,0
1,846780,4,4,2,1,6,844948,1
0,598,62,62,4,0,19,2,1
0,287968,34,34,0,0,42,286817,0
1,776048,24,24,2,1,46,775092,0
1,11791,41,41,2,1,31,10124,1
1,232541,28,28,2,1,35,231249,0
1,322283,55,55,2,1,45,321357,0
1,75990,1,1,2,1,33,74263,1
1,156954,97,97,2,1,23,155782,0
1,389254,83,83,2,1,0,388238,1
0,11716,14,14,0,0,19,11321,0
0,6256,11,11,3,0,19,4343,1
1,1658775,29,29,2,1,27,1658077,1
0,579,46,46,4,0,19,1,1
1,446968,58,58,2,1,1,445976,0
1,1643722,30,30,2,1,41,1642802,1
1,1285729,42,42,2,1,1,1284860,1
1,155295,91,91,2,1,14,154171,0
1,145136,61,61,2,1,6,143469,1
1,703062,67,67,2,1,6,702091,0
1,1786875,49,49,2,1,28,1786159,1
1,84542,17,17,2,1,4,84111,1
0,457660,37,37,0,0,12,457121,0
0,4418,44,44,5,0,7,3669,1
0,309976,54,54,3,0,18,309383,0
0,14817,13,13,4,0,19,14209,0
