Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,1174010,187,2,0,1168695
1,7614,2,0,0,1030
1,609988,156,1,0,605538
0,1211309,161,1,0,1200861
0,1169344,40,1,0,1158920
1,18759,150,3,1,8548
1,52109,56,1,0,41772
1,18044,37,1,0,13358
0,424181,138,1,0,413739
0,225503,222,1,0,215040
0,1026196,141,3,1,1015775
0,330111,107,1,0,322282
1,458221,51,1,0,447770
0,328819,63,1,0,318764
0,18045,172,1,0,7588
1,83617,99,1,0,73238
0,743366,12,3,1,733188
0,723117,129,3,1,714922
0,796435,42,3,1,786038
0,296067,108,3,1,288610
1,7780,8,2,0,2
0,818767,118,1,0,810066
0,573981,157,1,0,563530
1,390898,218,1,0,380639
1,5380,26,3,1,2
1,46065,189,1,0,35644
0,842551,211,1,0,832124
1,63253,173,1,0,52823
0,286931,190,1,0,283691
0,149649,113,2,0,143326
0,816094,65,1,0,805796
1,11492,32,1,0,5925
1,26884,60,1,0,16478
1,45907,205,2,0,38978
0,13390,159,1,0,2987
0,193120,182,2,0,183374
0,9732,191,1,0,1
1,970184,183,1,0,959784
1,62951,92,1,0,52593
0,647211,114,3,1,636820
1,138304,215,1,0,127910
1,13701,151,1,0,3220
0,328850,47,1,0,318795
1,5595,7,2,0,1
0,213628,98,1,0,203258
0,24168,110,3,1,13795
1,459416,61,1,0,449073
0,3034,89,2,0,2
1,252973,111,1,0,245186
1,127990,148,3,1,117557
1,347060,219,2,0,339083
1,60872,206,1,0,50520
1,141214,130,1,0,130814
0,789447,212,3,1,779023
0,475972,75,2,0,470489
1,409474,178,1,0,399029
1,47512,123,1,0,39092
0,2345983,164,1,0,2335691
0,33876,199,1,0,23431
0,2017022,5,2,0,2011656
0,745319,39,1,0,734937
0,891588,19,1,0,881293
0,1020605,200,3,1,1014285
1,25728,91,3,1,21774
0,13163,64,1,0,2601
1,31191,119,1,0,20812
0,7954,192,2,0,2
1,229560,213,1,0,219184
0,571102,14,1,0,563645
1,69531,217,1,0,59128
0,5243,67,1,0,2
0,9826,23,2,0,2831
1,12411,133,3,1,1858
0,6482,4,2,0,3
1,78813,196,1,0,72588
1,12312,195,2,0,7990
1,40663,197,1,0,30197
1,24830,100,1,0,14646
0,288082,208,1,0,277652
1,64484,127,2,0,55971
1,127475,170,1,0,117093
1,32850,185,1,0,28143
0,207695,53,1,0,204667
1,36235,216,1,0,25871
0,11147,33,2,0,4143
1,1233807,176,3,1,1224493
0,30892,72,1,0,20468
1,54812,6,1,0,50482
1,353296,95,2,0,348857
0,7476,0,2,0,127
1,21015,74,1,0,14486
0,5481,154,2,0,1
1,5231,27,1,0,1
1,89016,116,1,0,78604
0,574518,142,3,1,565420
1,27113,193,3,1,16665
1,71128,79,1,0,60752
1,802151,13,1,0,791817
0,65194,22,1,0,54806
1,6388,121,1,0,323
0,243214,167,1,0,232769
0,62219,38,1,0,51870
1,19188,34,1,0,11071
1,22103,169,1,0,14689
0,239506,160,2,0,231410
0,217558,3,3,1,208664
1,52443,44,3,1,42064
0,5929,149,1,0,3
1,35770,43,3,1,25298
0,5956,21,1,0,733
0,586972,46,1,0,576509
1,88568,198,1,0,78117
0,13525,106,3,1,3143
0,623676,88,1,0,613279
1,11537,174,1,0,1098
0,505288,11,1,0,494840
0,780586,126,1,0,770171
1,158064,214,1,0,147781
1,54831,125,1,0,44338
1,1392969,103,1,0,1382515
0,2345195,165,1,0,2334792
0,5893,36,1,0,1
0,1147531,122,1,0,1137248
0,595061,49,3,1,584655
0,1048694,137,1,0,1038261
1,214744,9,3,1,206012
0,3341,188,2,0,3
0,5467,71,2,0,2
1,225073,35,1,0,217409
1,6046,77,2,0,2
0,610602,140,1,0,600223
0,548110,152,1,0,541838
0,8611,115,1,0,3
1,940675,87,1,0,930293
0,566844,202,3,1,556376
1,39653,25,1,0,33702
1,19647,55,1,0,9304
1,1142692,86,2,0,1136952
1,17336,66,1,0,6891
1,6309,68,3,1,1
0,6144,62,1,0,3
0,796416,186,1,0,789632
0,252780,210,1,0,242332
0,6275,17,3,1,3
1,9243,24,3,1,3028
0,230403,209,1,0,222871
0,638425,171,1,0,628055
1,34341,15,2,0,26002
0,5690,76,3,1,3
1,6239,135,2,0,3
0,47046,58,3,1,36631
0,1352921,105,1,0,1342479
0,536745,48,1,0,531839
0,1351353,153,3,1,1340908
1,53597,31,1,0,43140
0,6877,30,1,0,2
1,82139,162,1,0,71676
1,534898,112,2,0,529028
1,97751,78,2,0,91272
0,1028641,20,1,0,1018586
0,64329,96,1,0,53935
0,19778,81,1,0,9420
1,364064,57,1,0,353619
0,501262,101,1,0,494255
0,1441553,104,1,0,1431102
0,736142,224,3,1,726108
0,18102,16,1,0,7759
0,635740,94,1,0,625292
1,29124,136,1,0,18715
0,510863,220,1,0,500484
0,347622,82,1,0,337195
0,8750,10,3,1,352
1,12299,145,3,1,2049
0,775910,131,1,0,765552
0,424985,124,1,0,418893
1,11317,84,3,1,5433
1,487135,83,1,0,478468
0,656937,155,1,0,646543
0,400877,69,2,0,396354
0,490459,109,1,0,480062
1,188433,128,1,0,178087
1,34480,144,1,0,24017
1,76316,29,2,0,71757
1,22220,223,1,0,11901
0,508446,158,1,0,497998
1,22907,1,2,0,17262
1,72152,147,1,0,61794
1,7036,194,1,0,1
