Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,493953,86,2,1,493609
0,9446,81,2,1,7647
0,5255,73,3,0,2763
0,287968,35,0,0,286817
1,2113129,4,2,1,2112008
1,339503,95,2,1,338613
0,571876,57,2,1,570902
0,446968,56,2,1,445976
0,747945,58,3,0,745645
0,415,77,3,0,74
0,34900,83,2,1,34403
1,1568049,33,3,0,1567459
0,806760,70,2,1,805210
1,752839,23,2,1,752246
1,1050401,91,2,1,1050087
1,434997,7,0,0,434554
0,796791,67,2,1,795304
1,57693,63,2,1,56791
1,1786875,47,2,1,1786159
0,776048,25,2,1,775092
0,155295,89,2,1,154171
0,14817,15,4,0,14209
0,74492,20,2,1,73803
1,1037381,92,2,1,1036476
0,1751697,6,1,1,1751281
0,318778,36,2,1,318386
1,1078009,0,2,1,1077569
0,994934,12,2,1,993237
0,524283,28,2,1,523744
0,1575106,48,2,1,1574483
0,810033,66,2,1,808633
1,1226536,43,2,1,1225625
0,292232,49,0,0,291777
1,520133,87,2,1,519183
1,579,45,4,0,1
0,1605890,79,2,1,1605162
1,1285729,42,2,1,1284860
0,767190,26,2,1,766081
1,624101,24,2,1,623469
1,6256,13,3,0,4343
1,3678,41,2,1,1996
0,415202,8,0,0,414870
0,456990,38,2,1,456034
1,26464,54,2,1,24623
0,43740,64,0,0,43105
0,556441,27,0,0,555500
0,310242,37,2,1,309811
0,409340,94,0,0,408633
1,14261,88,3,0,11517
1,69017,90,5,0,68592
1,1643722,31,2,1,1642802
1,84542,19,2,1,84111
1,2665,11,3,0,1541
1,1180888,78,2,1,1179752
0,309976,52,3,0,309383
1,598,60,4,0,2
0,876723,51,0,0,875551
1,1445532,21,2,1,1444765
1,829655,3,2,1,828978
1,1493,82,2,1,471
1,1115404,69,2,1,1114712
1,2418,10,2,1,715
1,447558,85,2,1,447142
0,1735953,72,0,0,1735636
0,1067748,80,2,1,1067248
1,2026309,9,0,0,2025506
1,483,18,2,1,1
0,1735532,71,3,0,1734645
1,647282,5,2,1,646296
0,787501,68,2,1,786539
1,18905,62,3,0,17574
0,703062,65,2,1,702091
0,1021876,55,2,1,1021316
1,3924,61,2,1,2239
0,302448,34,2,1,301999
0,796821,75,2,1,795886
1,15756,44,2,1,14755
0,232541,29,2,1,231249
0,459577,76,3,0,458618
1,75990,1,2,1,74263
0,156954,97,2,1,155782
1,389254,84,2,1,388238
0,12112,17,0,0,11726
1,3821,14,3,0,1521
0,1680779,32,2,1,1680060
1,11816,46,3,0,9516
1,571767,74,2,1,570709
1,1658775,30,2,1,1658077
0,1430208,22,2,1,1429318
0,1217,96,2,1,24
1,145136,59,2,1,143469
1,828817,2,0,0,828224
0,408301,93,2,1,407363
0,1000,40,2,1,2
0,457660,39,0,0,457121
1,2307,50,2,1,1621
0,322283,53,2,1,321357
0,11716,16,0,0,11321
