Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,13580138,100,2,13578653
0,10821920,84,2,10820229
0,6956172,54,2,6955569
0,8422594,65,3,8420066
0,9310089,75,2,9309220
1,10429864,78,5,10428729
1,3235158,27,2,3233849
1,2102690,15,11,2100093
0,20867515,143,1,20866022
0,12246771,92,2,12245099
1,2728681,19,23,2727125
0,1401408,10,1,1400647
1,20915947,144,1,20914958
1,9221896,74,5,9220525
1,6842720,53,5,6840311
0,6638754,52,4,6637225
1,15741,0,19,14537
0,18735986,133,15,18734498
0,5596435,43,2,5595701
0,9311660,76,1,9310200
1,17401205,123,13,17399302
1,23649517,155,2,23648664
0,6441604,51,2,6440312
1,12849258,96,2,12848426
0,20479303,141,6,20477665
1,2862968,20,5,2861630
0,981427,6,5,980799
0,3097194,24,1,3096508
0,2680808,18,16,2679423
0,3802426,31,13,3800009
0,14451589,108,1,14449142
1,23514561,154,1,23513521
1,15398283,113,1,15396637
1,4910787,39,5,4909550
1,12488986,93,2,12486822
1,18766836,134,2,18765534
1,7776355,59,1,7775540
0,3511059,30,5,3509868
0,18932862,135,2,18931125
0,8066513,61,5,8065765
1,13391838,99,5,13390600
1,2597044,16,14,2596686
0,14931220,111,1,14928527
1,11473094,86,1,11472201
1,13980614,105,2,13979644
1,34835,165,20,33567
1,7857029,60,1,7856016
1,4365383,34,24,4363173
0,13813861,101,1,13812362
1,11600931,88,2,11599714
1,8836279,70,7,8834339
1,8643477,66,5,8642485
0,14939089,112,5,14937890
0,3098509,25,1,3097631
1,12567288,94,2,12566661
0,6088421,47,1,6085950
1,1662089,13,5,1659698
0,14766244,110,21,14765282
0,11497432,87,2,11496159
0,3049161,22,25,3048399
0,938369,5,2,937674
0,24218799,160,1,24217882
0,18449802,131,2,18448896
0,421354,1,11,418907
0,2642795,17,16,2641014
1,22586503,151,8,22583996
1,23902858,158,2,23901544
1,15431493,114,10,15429022
1,42748,167,14,41047
1,2912105,21,1,2911437
1,12160930,91,8,12160046
1,16835079,119,23,16833925
1,23866829,157,2,23865703
1,16416071,118,22,16413631
1,11654127,89,8,11653435
0,563875,4,6,561461
1,6170322,48,2,6168823
0,13282465,98,26,13280789
1,16920482,120,19,16919435
1,19133424,137,1,19132048
1,6835,163,14,4667
0,21703774,148,2,21701900
1,17627223,126,2,17625592
1,7009171,55,2,7008393
1,18038313,128,2,18037247
1,6362947,50,5,6361372
1,4253831,33,8,4252749
0,14479105,109,2,14478302
0,3453161,29,1,3451287
0,13013122,97,1,13011857
0,2003214,14,5,2002366
0,17542792,124,2,17541345
1,17122877,121,5,17120601
1,8306625,63,5,8305246
1,3312359,28,1,3311109
1,20286216,139,5,20285100
1,4431456,35,27,4430512
1,9200825,73,5,9199485
0,17643761,127,2,17642746
1,4102721,32,12,4101290
1,15463044,115,0,15461240
1,40361,166,18,37650
1,10634319,81,1,10632709
1,5212347,41,1,5211163
1,14201412,106,23,14200354
1,21840929,149,1,21839502
1,18150907,129,5,18149782
0,23311866,153,2,23310921
0,4756236,37,5,4754812
1,8297673,62,2,8296462
0,3054496,23,4,3053067
0,424362,2,23,423166
0,11412405,85,2,11411355
0,8987276,71,4,8985246
1,8380600,64,2,8379902
0,21107478,146,2,21106076
1,22342311,150,1,22341328
0,8750931,69,1,8750116
0,448516,3,16,445739
1,1005104,7,2,1003707
1,5776202,46,1,5773752
0,20600592,142,1,20599396
0,13967339,104,16,13965975
0,1044324,9,5,1043726
0,18233087,130,1,18230676
0,7252202,57,5,7251567
1,21033305,145,1,21032577
0,14264630,107,5,14263463
0,19361160,138,2,19359904
0,22800650,152,1,22799643
0,6283351,49,2,6282458
1,5252907,42,17,5251626
1,10815148,83,2,10814110
0,4838125,38,9,4836803
1,19131431,136,11,19128978
0,24324304,161,2,24323249
0,18526135,132,1,18525296
1,5764705,45,2,5763288
1,4622430,36,24,4620634
0,8706530,68,3,8704372
1,1565906,12,5,1564519
0,5646569,44,1,5645517
0,17573162,125,1,17572161
1,24075061,159,2,24073248
0,13816694,102,16,13815414
0,3221626,26,5,3220494
1,17383110,122,5,17381675
0,23718778,156,2,23717642
1,9294,164,14,6891
1,5210452,40,25,5209340
1,15945723,116,2,15943858
0,13953853,103,1,13952477
0,16025845,117,8,16025135
1,10517795,80,2,10516812
0,9369143,77,5,9368165
0,11737964,90,2,11736173
0,8662629,67,1,8661322
0,7507311,58,4,7506176
1,12665749,95,1,12664313
1,24717108,162,2,24715475
1,1471242,11,2,1469688
1,21368024,147,2,21366772
1,7207112,56,1,7205454
0,10790484,82,1,10789222
1,1005618,8,2,1005001
1,9120663,72,1,9118189
0,20333137,140,1,20331131
0,10514318,79,1,10512900
