Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,301826,243,243,2,299487,0
1,0,32772,98,98,1,29866,1
0,0,373899,28,28,2,371611,1
0,0,736453,78,78,3,733583,0
0,1,190552,80,80,2,188093,1
0,0,1516533,42,42,2,1514173,1
0,0,465591,162,162,2,462814,0
0,0,54199,31,31,2,51578,1
0,0,988200,207,207,2,985546,1
0,0,1062895,234,234,2,1060310,1
0,0,246580,87,87,2,243767,0
0,0,758419,44,44,2,756089,0
0,0,488327,203,203,3,485541,0
1,0,322020,237,237,1,319249,0
0,0,33755,26,26,2,30969,0
0,0,355891,245,245,2,353552,0
0,0,993191,43,43,2,990858,1
1,0,1150558,193,193,1,1147775,1
0,0,1152306,222,222,2,1149583,0
0,0,1161129,166,166,2,1158613,0
1,0,32977,216,216,1,30248,1
0,0,33431,25,25,2,30843,1
0,0,184674,5,5,2,182293,0
0,0,1757922,189,189,2,1755496,1
0,0,553480,174,174,3,550610,0
0,0,16153,29,29,2,13502,0
0,0,292921,246,246,2,290183,1
0,0,256062,179,179,2,253732,0
0,0,25495,49,49,2,22811,0
0,0,8691,196,196,2,6085,1
0,0,180436,213,213,2,177890,1
0,0,15222,212,212,2,12538,1
0,0,867065,117,117,2,864531,0
0,0,1966199,104,104,2,1963551,1
0,0,546874,143,143,2,544250,0
0,0,1024944,233,233,2,1022305,0
0,0,519004,251,251,2,516413,0
0,0,1176004,165,165,2,1173581,0
0,0,156435,33,33,3,153649,1
0,0,447956,177,177,2,445458,1
0,0,735391,129,129,2,733043,0
0,0,1102343,226,226,2,1099539,0
0,0,1314205,90,90,2,1311887,0
0,0,1034195,209,209,2,1031508,1
0,0,204433,61,61,2,201761,1
0,0,1800605,109,109,2,1797939,1
0,0,125132,81,81,2,122370,1
1,0,17633,21,21,1,14982,0
0,0,4209,122,122,2,1423,0
0,0,187941,232,232,2,185287,0
0,0,1065877,199,199,2,1063010,0
0,0,425184,136,136,2,422410,0
0,0,513629,257,257,3,510834,0
0,0,568671,173,173,2,566338,1
1,0,1123469,221,221,1,1120611,0
1,0,432436,159,159,1,429818,0
0,0,218715,54,54,2,215884,1
1,0,86749,153,153,1,84020,1
0,0,50888,152,152,2,48174,1
1,0,107074,254,254,1,104540,0
0,0,622377,40,40,2,620053,0
1,0,389747,164,164,1,387120,0
0,0,422008,201,201,2,419294,0
0,0,185153,23,23,2,182502,0
0,0,378614,163,163,2,375975,0
0,0,309384,111,111,2,306937,0
0,0,585607,82,82,2,583331,1
0,0,7162,19,19,2,4697,0
0,0,650434,38,38,3,647633,1
0,0,23290,218,218,2,20606,1
0,0,9867,59,59,2,7462,0
0,0,473501,202,202,3,470631,0
0,0,1713823,7,7,2,1711409,0
0,0,700388,14,14,2,697620,0
0,0,14845,46,46,3,11996,0
0,0,8092,214,214,2,5759,0
1,0,13979,198,198,1,11352,1
0,0,1053239,113,113,2,1050549,0
0,0,15062,86,86,2,12438,0
1,0,1100880,195,195,1,1098211,1
0,0,8115,172,172,3,5269,1
0,0,379418,170,170,2,376740,1
0,0,2047179,185,185,2,2044399,1
0,0,665447,73,73,3,662586,1
0,0,475012,142,142,2,472298,0
0,0,1324430,89,89,2,1322082,0
0,0,1156973,236,236,2,1154469,0
1,0,9580,197,197,1,6749,1
0,0,428427,88,88,3,425755,0
0,0,1096585,235,235,2,1093946,1
0,0,810651,169,169,2,808318,0
0,0,12594,151,151,2,9967,0
0,0,9089,217,217,2,6579,1
1,0,45075,125,125,1,42286,0
1,0,1611964,101,101,1,1609262,1
0,0,1828534,108,108,2,1825916,0
0,0,483376,97,97,2,480707,1
0,0,1865809,106,106,2,1862957,0
0,0,139709,253,253,2,138117,0
0,0,404584,119,119,2,402206,0
0,0,1731005,191,191,3,1728183,0
0,0,2060220,184,184,2,2057611,1
1,0,255561,17,17,1,253126,0
0,0,12158,10,10,2,9363,1
0,0,21771,84,84,2,19363,0
0,0,506933,18,18,3,504105,0
0,0,454333,158,158,2,451748,0
0,0,262330,244,244,2,259847,0
0,0,568854,259,259,2,566233,0
0,0,16377,145,145,2,13513,1
1,0,199898,35,35,1,197364,1
1,0,1633076,187,187,1,1630521,0
0,0,602587,41,41,2,600077,0
0,0,768058,75,75,2,765323,0
0,0,1129346,168,168,2,1126764,1
0,0,20976,56,56,2,18310,0
0,0,5331,150,150,2,2932,0
0,0,629809,114,114,3,627020,1
0,0,1825289,188,188,2,1822929,0
1,0,590672,258,258,1,588504,0
0,0,6553,121,121,2,4166,1
0,0,1169591,223,223,3,1166769,0
0,0,13678,156,156,2,10931,1
0,0,468388,67,67,3,465485,0
1,0,476059,149,149,1,473501,0
0,0,1251196,181,181,2,1248512,0
