Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,0,1160395,345,345,3,1159709,0
1,0,18293,402,402,3,17649,0
0,0,7200,132,132,4,6637,0
0,0,55025,357,357,4,54438,0
0,0,1464254,86,86,4,1463646,0
0,0,494817,200,200,4,494134,1
0,0,2016292,327,327,4,2015537,0
0,0,9057,386,386,4,8128,0
0,0,4555,130,130,4,3962,0
0,0,683253,96,96,4,682675,0
1,0,844685,366,366,3,844098,0
1,0,112468,399,399,1,111971,0
0,0,4870,338,338,4,4217,0
0,0,2682,261,261,4,1954,0
0,0,158502,17,17,4,158113,0
0,0,1955674,330,330,4,1955171,0
0,0,756041,97,97,4,755460,1
0,0,1368555,307,307,4,1367977,1
0,0,1487064,90,90,4,1486369,1
1,0,44362,298,298,3,43754,1
0,0,265007,255,255,4,264339,0
0,0,128464,414,414,2,128075,0
0,0,1921473,106,106,4,1920904,1
0,0,458814,350,350,4,458125,0
0,0,316703,369,369,4,316059,0
0,0,548591,222,222,2,548190,0
0,0,1604078,114,114,4,1603452,0
0,0,85370,59,59,4,84681,0
0,0,17407,258,258,4,16820,0
0,0,1033564,295,295,4,1032920,0
1,0,1738968,26,26,3,1738420,0
0,0,6677,377,377,4,6162,1
0,0,278070,218,218,4,277438,1
0,0,1731530,334,334,4,1730895,0
0,0,515441,203,203,4,514617,0
0,0,567879,379,379,2,567310,0
0,0,10321,124,124,4,9749,0
0,0,1686468,110,110,4,1685914,0
0,0,7629,226,226,4,6979,0
0,0,1645,354,354,4,1004,0
0,0,376974,53,53,4,376393,1
1,0,807869,23,23,3,807330,1
0,0,431207,424,424,4,430704,0
0,0,39701,50,50,4,39237,1
0,0,307213,256,256,4,306524,0
0,0,782,44,44,4,129,1
0,0,1132814,315,315,4,1132212,1
0,0,36247,70,70,4,35642,1
0,0,170789,66,66,4,170208,1
0,0,717564,267,267,4,716974,1
0,0,1637787,112,112,4,1637185,1
0,0,487905,167,167,4,487330,0
1,0,628319,181,181,3,627354,1
0,0,1932015,105,105,4,1931470,0
0,0,2027,38,38,4,1341,0
0,0,1743790,333,333,4,1743146,0
