Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,9,1,24,0
1,107750,139,138,9,1,106153,0
0,4728447,70,69,8,0,4728247,1
0,673514,116,115,7,0,671973,1
1,113223,159,158,9,1,111766,0
1,2963001,153,152,9,1,2961642,0
0,98113,61,60,11,0,96665,1
0,234927,104,103,7,0,233464,1
0,3074,32,32,7,0,1527,1
1,117932,3,3,9,1,116413,1
1,194108,16,16,9,1,192547,1
1,38437,136,135,9,1,36916,0
0,1673892,128,127,0,0,1672390,1
1,56811,1,1,9,1,55260,1
1,4097911,86,85,9,1,4096637,0
1,13747,45,44,10,1,12274,0
1,4722977,91,90,9,1,4721453,1
1,55488,42,41,9,1,53963,1
1,6514,24,24,9,1,4976,1
1,1176353,118,117,9,1,1175359,1
1,397,21,21,9,1,120,0
1,222454,162,161,9,1,222215,0
0,1338858,63,62,8,0,1337821,0
0,140801,161,160,7,0,139203,0
0,3300734,67,66,7,0,3299619,0
1,43444,100,99,13,1,41978,0
0,4811681,74,73,7,0,4810350,1
1,1190683,120,119,9,1,1189121,1
1,1134,49,48,9,1,394,1
1,5469370,56,55,9,1,5468462,0
0,4592637,87,86,7,0,4591225,0
1,158094,102,101,9,1,156706,1
1,147872,14,14,9,1,146312,1
0,4790735,73,72,8,0,4789134,1
1,34085,99,98,11,1,32568,0
1,3088628,157,156,9,1,3087307,1
0,26455,57,56,11,0,24893,1
1,87159,60,59,11,1,85747,1
1,2557165,142,141,9,1,2556965,1
1,2991723,155,154,9,1,2990299,1
0,96632,121,120,7,0,95058,0
1,1583995,122,121,9,1,1582390,1
0,4918348,77,76,8,0,4916846,1
1,4070879,85,84,9,1,4070196,0
1,4785610,92,91,6,1,4785032,1
1,1554901,132,131,9,1,1553302,1
1,926246,62,61,14,1,924816,1
0,4109268,68,67,7,0,4108888,0
1,2842847,151,150,9,1,2842087,1
0,28198,38,37,7,0,26588,0
0,593688,113,112,7,0,592108,1
1,135030,13,13,9,1,133507,0
1,13271,47,46,9,1,11830,0
0,2161844,65,64,7,0,2161053,0
0,138222,160,159,8,0,136702,0
1,32771,50,49,9,1,31464,0
1,120397,12,12,9,1,118489,0
0,1783574,129,128,0,0,1782018,0
0,47692,58,57,11,0,46340,1
1,12451,46,45,9,1,11360,1
0,1629760,126,125,7,0,1628255,1
0,1799779,64,63,0,0,1798304,1
1,2775177,146,145,9,1,2774642,1
1,4871690,95,94,1,1,4870365,1
1,167770,15,15,9,1,166233,1
1,4866989,94,93,1,1,4866255,1
0,126989,140,139,8,0,125412,0
0,31216,39,38,8,0,29741,1
1,3085393,156,155,9,1,3083824,1
1,18623,36,162,9,1,18300,1
1,10546,20,20,9,1,9201,1
0,40024,6,6,7,0,38597,1
1,5571,33,33,9,1,4160,1
1,121323,4,4,9,1,119770,1
1,24394,7,7,9,1,23117,0
1,335414,108,107,9,1,333937,1
0,10563,52,51,7,0,9100,1
0,4877715,76,75,8,0,4876315,1
1,4696555,90,89,4,1,4695357,0
0,76678,59,58,11,0,74915,1
0,4782124,72,71,8,0,4781585,1
1,2810144,150,149,9,1,2809842,1
1,244383,106,105,9,1,242828,1
1,11536,9,9,9,1,10562,0
1,189308,103,102,9,1,187760,0
1,56392,10,10,9,1,54844,0
0,682801,117,116,8,0,681272,1
0,616961,114,113,7,0,615417,1
1,106612,2,2,9,1,106202,1
1,4907622,97,96,3,1,4906250,1
1,1565816,124,123,9,1,1564291,1
0,4776857,71,70,8,0,4776225,1
1,4912,19,19,9,1,4080,1
0,4967327,78,77,7,0,4966602,1
1,34744,158,157,9,1,33178,0
1,21634,30,30,10,1,20639,0
0,4874210,75,74,7,0,4872705,1
1,4685459,89,88,1,1,4683882,1
0,1579460,125,124,8,0,1577859,1
1,2790703,147,146,9,1,2789186,1
0,4803585,93,92,8,0,4802227,1
1,582162,112,111,9,1,580638,1
1,13354,34,34,9,1,11827,1
1,13439,25,25,9,1,11985,0
1,41821,41,40,9,1,40324,1
0,5282553,80,79,7,0,5281459,0
1,1518492,123,122,9,1,1516971,1
0,2882434,66,65,8,0,2880989,0
0,1789201,130,129,0,0,1788008,0
1,2900714,152,151,9,1,2899262,1
1,45373,137,136,9,1,43850,0
1,1639048,127,126,9,1,1637475,1
1,12732,29,29,10,1,11219,1
1,16779,35,35,9,1,15187,1
1,35078,135,134,9,1,33526,0
0,1792811,131,130,0,0,1791306,0
0,2586486,143,142,8,0,2584942,0
0,23403,31,31,7,0,22009,1
1,4496,23,23,9,1,3127,1
1,511211,111,110,3,1,509571,1
0,4064628,83,82,0,0,4063192,0
1,6249,27,27,9,1,4591,0
1,15374,54,53,9,1,14245,0
1,660088,115,114,9,1,658460,1
1,2436,18,18,9,1,1291,1
1,56650,37,36,9,1,55175,1
0,47277,43,42,8,0,45691,0
0,19432,0,0,8,0,17837,1
1,2797682,149,148,9,1,2796528,0
0,5380636,81,80,7,0,5379008,0
1,9494,53,52,9,1,7965,1
1,29574,17,17,9,1,28997,0
0,8343,28,28,7,0,6676,1
0,4971029,79,78,7,0,4969470,1
1,9188,134,133,9,1,7638,0
0,309925,107,106,8,0,308399,0
0,22070,22,22,7,0,20550,0
1,69439,11,11,9,1,67885,0
1,19005,48,47,9,1,17968,1
1,466780,109,108,12,1,465860,1
0,4542881,69,68,7,0,4541535,0
1,138167,5,5,9,1,137305,1
1,63306,44,43,9,1,61772,0
0,1057855,82,81,8,0,1056242,1
0,4658068,88,87,7,0,4656557,0
1,4875012,96,95,5,1,4874521,1
1,501101,110,109,9,1,499566,1
1,4930611,98,97,2,1,4929155,0
1,2769881,145,144,9,1,2769468,1
1,268059,141,140,9,1,266604,0
1,4067975,84,83,9,1,4066581,0
1,1589097,133,132,9,1,1587573,1
1,1182456,119,118,9,1,1180816,1
1,147206,101,100,9,1,145692,1
1,16687,55,54,9,1,14902,1
0,237565,105,104,7,0,236150,1
1,34585,40,39,9,1,33074,1
1,10341,8,8,9,1,9201,0
1,2794118,148,147,9,1,2793789,0
0,2972153,154,153,7,0,2970543,0
1,70716,138,137,9,1,69197,0
1,16196,26,26,9,1,14732,0
1,2653794,144,143,9,1,2652725,1
