Gender,PosthumousTitle,GoogleKnowledgeGraphId,FirstName,MiddleName,MotherName,DeathDate,SiblingName,FamilySurname,FullName,BirthDate
0,60,85,4,0,0,25,0,1,8,67
0,62,65,5,1,17,33,0,0,66,86
1,2,27,3,1,26,70,0,0,54,60
1,58,36,3,1,27,24,0,0,33,28
0,37,85,4,0,17,83,0,1,7,69
0,47,50,4,0,15,80,0,1,69,30
0,47,64,4,0,17,84,0,1,59,76
1,65,10,4,0,2,81,0,1,46,40
1,55,48,3,1,9,15,0,0,16,68
1,47,13,4,0,15,85,0,1,1,0
1,26,33,3,1,3,16,2,0,26,55
1,4,38,3,1,0,63,0,0,56,74
1,14,14,3,1,26,54,0,0,20,46
1,11,30,3,1,15,43,0,0,32,53
1,28,2,4,0,13,41,0,1,42,59
0,47,49,4,0,10,79,0,1,60,66
0,35,81,4,0,7,77,0,1,77,38
0,67,72,4,0,14,2,0,1,82,6
0,31,52,4,0,15,31,0,1,74,85
1,17,25,3,1,23,60,0,0,45,16
1,75,6,3,1,6,21,0,0,41,12
1,70,18,4,0,10,76,0,1,15,81
0,59,59,4,0,1,10,0,1,83,17
1,73,19,3,1,15,52,0,0,27,80
0,43,74,4,0,9,45,0,1,81,42
0,32,83,7,1,6,62,0,0,14,9
1,19,34,3,1,9,39,0,0,51,50
0,52,45,4,0,15,9,0,0,62,19
0,56,58,4,0,25,32,0,1,63,43
1,69,32,3,1,9,13,0,0,19,47
0,0,24,4,0,14,0,0,1,58,4
0,30,55,4,0,17,42,0,1,12,79
0,44,67,4,0,9,19,0,1,80,64
1,25,4,3,1,1,11,0,0,48,39
1,1,84,3,1,22,38,1,0,47,23
0,47,42,4,0,20,7,0,1,4,51
1,13,8,3,1,3,48,0,0,36,48
1,47,37,3,1,18,78,0,0,44,63
0,47,53,4,0,15,79,0,1,10,71
1,9,20,3,1,11,46,0,0,21,37
1,66,77,3,1,4,72,1,0,43,14
0,27,1,4,0,5,4,0,1,68,7
1,74,21,3,1,22,44,0,0,31,2
0,24,44,4,0,4,6,0,1,73,32
0,20,80,4,0,7,65,0,1,85,29
0,61,39,4,0,21,28,0,1,84,27
0,72,43,4,0,15,27,0,1,65,57
0,41,51,4,0,1,67,0,1,9,11
1,78,17,3,1,10,66,0,0,25,44
1,49,26,3,1,15,20,0,0,52,21
0,79,63,4,0,10,75,0,1,76,41
1,47,7,3,1,15,85,0,0,22,35
0,38,41,4,0,15,74,0,1,75,84
1,3,29,3,1,15,53,0,0,38,70
0,40,46,4,0,11,73,0,1,87,18
0,36,85,4,0,24,55,0,1,5,24
1,16,28,3,1,12,71,0,0,49,45
1,6,23,3,1,8,69,0,0,55,62
1,47,31,3,1,17,17,0,0,34,83
0,54,69,4,0,17,13,0,1,61,58
1,22,11,3,1,13,36,0,0,35,52
0,39,62,4,0,13,57,0,1,67,67
1,8,12,3,1,9,47,0,0,37,78
0,48,71,4,0,5,37,0,1,86,20
1,15,9,3,1,10,59,0,0,17,77
1,77,76,3,1,8,35,0,0,30,56
0,71,56,4,0,13,26,0,1,64,72
1,50,15,3,1,14,1,0,0,24,3
1,10,5,3,1,14,68,0,0,53,61
0,45,70,4,0,25,22,0,1,6,54
1,64,78,3,1,7,40,0,0,40,13
1,12,35,3,1,15,51,0,0,28,31
1,21,16,3,1,2,5,0,0,50,22
1,18,79,3,1,2,12,1,0,16,15
1,29,3,3,1,10,29,0,0,29,36
0,46,40,4,0,3,18,0,1,70,32
0,57,73,4,0,21,23,0,1,2,34
0,42,85,4,0,17,50,0,1,71,65
0,33,66,4,0,0,82,0,1,78,82
0,47,54,4,0,8,64,0,1,72,33
0,34,47,2,1,26,61,0,0,13,49
1,7,0,3,1,11,49,0,0,39,8
1,5,75,4,0,26,58,0,1,23,75
0,53,61,1,1,14,34,0,0,11,5
0,51,57,4,0,19,30,0,1,79,10
1,68,82,6,1,16,56,0,0,57,1
0,63,68,4,0,9,14,0,1,0,73
1,76,22,0,1,11,8,0,0,18,26
0,23,60,4,0,26,3,0,1,3,25
