Gender,PosthumousTitle,GoogleKnowledgeGraphId,FirstName,MiddleName,MotherName,DeathDate,SiblingName,FamilySurname,FullName,BirthDate
1,76,17,3,1,17,7,0,0,30,31
0,61,64,5,1,17,36,0,0,66,85
1,3,31,3,1,15,54,0,0,37,70
1,58,37,3,1,27,26,0,0,32,28
0,37,85,4,0,17,84,0,1,7,69
0,47,49,4,0,15,81,0,1,69,30
0,38,41,4,0,15,75,0,1,75,83
1,64,10,4,0,2,82,0,1,46,41
1,54,47,3,1,9,17,0,0,16,68
1,47,13,4,0,15,85,0,1,1,0
1,24,34,3,1,3,18,2,0,26,55
1,4,39,3,1,0,65,0,0,57,74
1,71,22,3,1,15,34,0,0,40,46
1,79,76,3,1,8,38,0,0,29,56
1,26,2,4,0,13,44,0,1,42,59
0,47,48,4,0,10,80,0,1,60,66
0,35,81,4,0,7,78,0,1,77,39
0,66,71,4,0,14,2,0,1,83,6
0,31,73,4,1,17,57,0,0,61,14
1,15,27,3,1,23,62,0,0,45,17
1,75,6,3,1,6,23,0,0,41,12
1,69,18,4,0,10,77,0,1,15,80
0,59,58,4,0,1,12,0,1,84,18
1,73,19,3,1,15,53,0,0,27,79
0,43,74,4,0,9,47,0,1,82,43
0,32,83,7,1,6,64,0,0,14,9
1,17,35,3,1,9,42,0,0,51,51
0,60,85,4,0,0,27,0,1,8,67
0,55,57,4,0,25,35,0,1,63,44
1,68,33,3,1,9,15,0,0,19,48
0,0,26,4,0,14,0,0,1,59,4
0,29,54,4,0,17,45,0,1,12,78
0,44,66,4,0,9,21,0,1,80,64
1,23,4,3,1,1,13,0,0,48,40
1,1,84,3,1,22,41,1,0,47,24
0,47,42,4,0,20,9,0,1,4,52
1,11,8,3,1,3,50,0,0,35,49
1,47,38,3,1,18,79,0,0,44,63
0,47,52,4,0,15,80,0,1,10,71
1,9,20,3,1,11,48,0,0,21,37
1,65,77,3,1,4,73,1,0,43,15
0,25,1,4,0,5,4,0,1,68,7
1,74,21,3,1,22,46,0,0,31,2
0,22,44,4,0,4,6,0,1,73,32
0,18,80,4,0,7,67,0,1,85,29
0,52,60,1,1,14,37,0,0,11,5
0,72,43,4,0,15,29,0,1,65,57
0,41,50,4,0,1,68,0,1,9,11
1,77,25,3,1,5,31,0,0,25,38
1,49,28,3,1,15,22,0,0,52,22
0,80,63,4,0,10,76,0,1,76,42
1,47,7,3,1,15,85,0,0,22,35
0,39,61,4,0,13,59,0,1,67,67
1,5,75,4,0,26,60,0,1,23,75
0,40,45,4,0,11,74,0,1,87,19
0,36,85,4,0,24,56,0,1,5,25
1,14,30,3,1,12,72,0,0,49,45
1,20,11,3,1,13,39,0,0,34,53
1,47,32,3,1,17,19,0,0,33,82
0,53,68,4,0,17,15,0,1,62,58
1,12,14,3,1,26,55,0,0,20,47
0,42,85,4,0,17,52,0,1,71,65
1,8,12,3,1,9,49,0,0,36,77
0,48,70,4,0,5,40,0,1,86,20
1,6,24,3,1,8,70,0,0,56,62
1,2,29,3,1,26,71,0,0,54,60
0,70,55,4,0,13,28,0,1,64,72
1,50,15,3,1,14,1,0,0,24,3
1,10,5,3,1,14,69,0,0,53,61
0,45,69,4,0,25,24,0,1,6,54
1,63,78,3,1,7,43,0,0,39,13
1,78,23,0,1,11,10,0,0,18,27
1,19,16,3,1,2,5,0,0,50,23
1,16,79,3,1,2,14,1,0,16,16
1,27,3,3,1,10,30,0,0,28,36
0,46,40,4,0,3,20,0,1,70,32
0,57,72,4,0,21,25,0,1,2,34
0,56,62,4,0,17,8,0,1,81,42
0,33,65,4,0,0,83,0,1,78,81
0,47,53,4,0,8,66,0,1,72,33
0,34,46,2,1,26,63,0,0,13,50
1,7,0,3,1,11,51,0,0,38,8
1,13,9,3,1,10,61,0,0,17,76
0,30,51,4,0,15,33,0,1,74,84
0,51,56,4,0,19,32,0,1,79,10
1,67,82,6,1,16,58,0,0,58,1
0,62,67,4,0,9,16,0,1,0,73
1,28,36,4,0,15,11,0,1,55,21
0,21,59,4,0,26,3,0,1,3,26
