SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,NativeName,Languages,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
4,26,44932.0,10601,29,5386.0,137496,14,24,55066,18,8,79.0,9,1,28,20634,9932.0,2,182.0,4
4,19,,25335,19,,184242,24,18,102035,12,8,,26,27,18,93791,37447.0,18,177.0,18
2,2,14093.0,5098,27,,140811,9,6,46139,12,7,67.0,5,18,26,20001,1579.0,17,180.0,13
3,22,56041.0,20719,24,127549.0,174582,25,25,88889,14,11,65.0,11,24,23,72449,18655.0,9,177.0,17
2,20,38259.0,13066,18,26443.0,140384,18,5,62919,12,4,72.0,12,16,18,39964,2211.0,16,178.0,11
2,10,54277.0,19548,8,2703.0,141131,21,30,110814,12,8,64.0,17,8,8,72903,9302.0,14,184.0,18
2,18,66386.0,25289,14,1326.0,176318,22,1,94975,12,8,,23,10,15,98891,37445.0,10,,18
4,21,45048.0,15791,22,2442.0,140102,10,23,64803,12,8,75.0,14,3,21,45374,3287.0,9,180.0,1
2,4,70678.0,27025,7,,194068,20,12,101820,4,4,,28,11,7,120394,45349.0,11,178.0,18
2,15,69924.0,26388,21,,203053,23,7,158259,11,3,,29,4,20,122135,66265.0,7,191.0,18
2,13,14221.0,333,15,45721.0,140862,5,16,24447,8,12,73.0,0,28,14,9905,,1,186.0,2
2,9,59981.0,22676,10,,170164,9,26,95753,5,7,69.0,19,19,10,81741,28781.0,12,182.0,18
2,14,43387.0,14321,11,,140505,9,17,422366,6,0,60.0,10,13,11,24864,2977.0,5,173.0,14
2,11,46958.0,13863,9,,140739,9,14,58761,12,7,72.0,8,22,9,38022,2982.0,4,184.0,12
2,0,7764.0,1237,4,41367.0,140800,19,9,29164,3,4,70.0,2,12,4,10911,706.0,17,183.0,8
2,8,68529.0,24255,5,29548.0,181748,2,10,112351,12,5,53.0,25,7,5,105237,37378.0,12,173.0,18
1,1,46381.0,18610,12,77168.0,137427,16,21,71557,7,5,62.0,15,0,12,63999,12474.0,6,173.0,0
2,30,19242.0,3461,23,36814.0,140601,11,8,32238,13,5,71.0,4,25,22,18019,165.0,0,184.0,3
2,29,60759.0,22794,6,37069.0,168760,3,2,86857,12,1,61.0,22,15,6,81087,1527.0,13,177.0,18
2,23,83295.0,28377,25,84000.0,212377,4,0,587366,15,8,62.0,30,5,24,141854,84019.0,15,171.0,18
2,16,27115.0,7722,20,23211.0,140331,8,11,54130,10,0,67.0,1,21,19,35513,868.0,18,177.0,6
0,5,,24316,0,,181239,17,29,97280,19,10,67.0,24,29,0,104872,37281.0,15,186.0,18
2,27,52044.0,20798,17,9184.0,132438,7,3,86938,9,6,70.0,18,26,17,71789,16643.0,13,183.0,18
2,12,65453.0,26508,1,,195739,9,19,150923,0,8,69.0,27,17,1,113772,48539.0,15,183.0,18
0,31,12832.0,7751,31,75813.0,140343,15,28,862522,12,8,65.0,7,23,30,25301,929.0,18,183.0,10
2,3,52879.0,19448,16,15757.0,132428,6,20,73817,12,8,,16,20,16,71390,7695.0,8,184.0,16
4,25,41076.0,13362,28,56034.0,139405,13,31,65995,17,8,70.0,13,2,27,51551,3277.0,17,177.0,7
4,6,53630.0,19651,2,40766.0,168753,0,22,78094,1,4,61.0,21,6,2,71432,16573.0,3,165.0,9
0,7,19245.0,3460,3,135899.0,140790,1,4,32248,2,8,62.0,3,14,3,16377,51.0,18,176.0,5
2,24,19320.0,4282,13,,140801,9,27,32696,12,2,58.0,6,31,13,20356,6589.0,17,170.0,15
2,17,61648.0,22683,26,,168787,12,15,86746,16,9,64.0,20,9,25,80030,16992.0,15,178.0,18
2,28,75410.0,29187,30,,209077,9,13,156037,12,8,,31,30,29,134412,77596.0,15,191.0,18
