Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
1,3818,116,116,0,1,30,2061
0,497232,54,54,4,0,67,497002
0,1362603,66,66,0,1,40,1360342
0,10034,9,9,0,1,4,9492
0,705460,55,55,0,1,51,703286
0,720,117,117,0,1,16,1
0,560632,58,58,0,1,57,560198
1,160581,125,125,0,1,65,159610
1,2942,38,38,0,1,54,882
1,53693,61,61,0,1,5,52560
0,1058918,107,107,0,1,69,1056777
0,1193345,104,104,0,1,17,1191366
1,590889,94,94,0,1,47,588715
0,2356776,5,5,0,1,60,2355799
1,5081,19,19,0,1,39,2874
1,82404,8,8,0,1,27,80149
0,3053,22,22,0,1,46,873
1,501852,63,63,0,1,53,499696
0,195717,4,4,0,1,45,194815
1,454212,110,110,0,1,62,451945
1,1166328,33,33,0,1,61,1164352
1,114991,84,84,0,1,10,114542
1,161676,78,78,0,1,17,160684
0,2832,57,57,0,1,37,619
1,26356,46,46,0,1,32,24182
1,603844,95,95,0,1,18,602780
1,60797,32,32,0,1,22,58671
0,508321,37,37,0,1,59,506186
1,29015,29,29,0,1,9,27780
0,646319,101,101,0,1,1,643902
1,395040,109,109,0,1,62,392911
1,2179419,98,98,0,1,63,2176948
0,742170,80,80,0,1,62,739927
0,203063,81,81,0,1,39,200871
1,9199,103,103,0,1,20,7001
0,606833,40,40,0,1,13,604902
0,53186,23,23,0,1,68,51024
0,12912,2,2,1,0,49,12295
1,5374,106,106,0,1,3,4073
1,346367,45,45,0,1,62,344166
0,551749,35,35,4,0,64,551012
0,656983,74,74,0,1,38,654773
1,302402,49,49,4,0,48,301785
1,18169,7,7,0,1,2,16115
0,2355697,99,99,0,1,13,2354525
1,141673,126,126,0,1,17,140918
1,38921,64,64,0,1,66,36609
1,356850,24,24,4,0,53,356083
1,246323,70,70,0,1,2,244452
1,258202,87,87,0,1,42,255983
0,802663,62,62,0,1,3,801878
1,628270,41,41,0,1,47,627785
1,1105132,105,105,0,1,38,1103840
0,1157244,30,30,3,0,33,1157023
0,2001346,68,68,0,1,63,1998842
0,122127,119,119,0,1,42,120202
1,32651,28,28,0,1,67,31587
0,576256,1,1,0,1,57,575726
0,13846,11,11,0,1,2,12761
1,69895,3,3,0,1,15,67685
1,292285,128,128,0,1,7,290090
0,479217,79,79,0,1,40,477172
1,967593,59,59,0,1,60,965515
1,18788,27,27,0,1,30,16752
0,1431,21,21,0,1,38,1
0,843337,67,67,0,1,34,841178
1,27802,123,123,0,1,11,25553
1,521,0,0,4,0,54,3
0,149082,120,120,0,1,42,147823
0,630544,12,12,0,1,12,630077
1,85717,43,43,0,1,10,84713
0,2356,6,6,0,1,36,188
1,116089,77,77,4,0,14,115388
0,5373,102,102,0,1,20,3175
0,414917,90,90,0,1,12,412986
0,551038,42,42,0,1,18,548948
0,879776,20,20,0,1,31,877512
1,16562,25,25,0,1,42,16113
0,522056,129,129,0,1,40,520707
0,573072,92,92,0,1,56,571858
1,8796,48,48,0,1,49,6766
0,194168,88,88,0,1,56,192141
0,804175,50,50,0,1,51,801998
1,7341,15,15,0,1,23,5542
1,1092022,122,122,0,1,63,1090076
0,853635,113,113,0,1,17,852247
1,6731,39,39,0,1,3,4560
0,24063,89,89,0,1,6,21859
1,569,76,76,4,0,28,3
1,605835,112,112,0,1,17,604711
1,20468,93,93,0,1,25,18309
0,47761,115,115,0,1,30,45575
1,80858,13,13,0,1,60,80019
0,143770,130,130,0,1,43,141896
1,40865,17,17,0,1,19,38190
1,17708,31,31,0,1,6,16425
1,107570,34,34,0,1,35,105642
1,238993,71,71,0,1,50,236726
1,5239,53,53,0,1,24,3059
1,2117,26,26,0,1,52,3
1,45873,85,85,0,1,2,43711
0,305003,100,100,0,1,51,302736
0,724179,14,14,0,1,56,722086
1,564263,36,36,0,1,32,562332
0,487684,132,132,0,1,12,485708
1,9794,121,121,0,1,23,7884
0,395811,52,52,0,1,29,393328
0,399746,91,91,0,1,56,397836
0,510087,18,18,0,1,17,508918
0,640806,111,111,0,1,35,638620
0,630340,44,44,0,1,44,629867
1,45587,118,118,0,1,13,43530
0,12118,56,56,0,1,8,9896
1,591642,60,60,4,0,21,591283
0,28251,114,114,0,1,41,27310
1,15656,51,51,0,1,58,13635
0,551317,82,82,0,1,56,549344
0,2323,69,69,0,1,28,1850
0,17469,86,86,0,1,16,15220
0,2747,83,83,0,1,24,2046
1,1525088,97,97,0,1,49,1523784
0,1220025,96,96,0,1,40,1218841
1,1560715,16,16,0,1,60,1558235
1,8315,10,10,0,1,17,7779
0,415880,47,47,0,1,7,413892
1,352533,108,108,4,0,0,352018
0,429,127,127,0,1,61,1
0,461012,73,73,3,0,42,460530
1,216636,72,72,0,1,7,214564
1,61722,124,124,0,1,63,61057
0,111044,131,131,0,1,55,109113
0,875271,75,75,2,0,26,874933
0,1428134,65,65,0,1,40,1426182
