StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
0,58,155219,154,154,7,0,2,154221
0,24,434666,127,127,2,1,16,433053
0,5,1524263,35,35,16,0,22,1522857
1,38,831522,12,12,17,0,21,830434
0,58,10687,112,112,17,0,33,9590
1,53,1108489,111,111,25,0,22,1107152
0,65,33930,49,49,17,0,30,32737
0,10,340376,74,74,1,0,4,339975
0,16,566165,33,33,20,0,8,564966
0,25,6500,30,30,2,1,28,5433
1,58,496522,96,96,2,1,10,495068
0,68,447552,1,1,0,0,16,446896
1,37,1494962,36,36,5,0,22,1493559
0,76,405983,7,7,1,0,18,405798
0,19,423600,145,145,19,0,22,422017
1,21,1117420,110,110,12,0,22,1116176
0,73,617159,57,57,25,0,5,615924
0,15,1404649,107,107,12,0,22,1403372
0,36,3182,21,21,2,1,34,2247
0,54,553803,93,93,2,1,12,552229
1,8,1359,83,83,0,0,31,532
0,22,492874,56,56,2,1,9,492284
0,2,512575,152,152,21,0,6,511070
1,82,1689293,41,41,24,0,20,1687962
0,29,7259,6,6,0,0,25,6249
0,58,452810,97,97,2,1,10,452175
1,77,68405,136,136,19,0,48,67296
0,4,1002291,89,89,17,0,21,1001194
1,78,526360,149,149,25,0,5,525035
1,15,1898756,45,45,19,0,22,1897875
0,15,1944921,122,122,0,0,22,1944244
1,4,2480,75,75,19,0,44,1071
1,77,437973,98,98,0,0,1,437293
1,17,209311,50,50,4,0,11,208193
1,61,1071422,143,143,2,1,21,1070148
0,44,1867030,44,44,2,1,22,1865636
0,66,15753,10,10,19,0,26,14641
0,47,580857,34,34,25,0,8,579490
1,38,10644,95,95,2,1,46,9307
0,46,367224,148,148,0,0,5,366097
1,5,1267766,61,61,12,0,22,1266495
0,33,1499180,117,117,21,0,20,1497708
1,34,626028,39,39,17,0,7,624868
0,57,290343,73,73,23,0,4,289018
0,15,1172370,109,109,12,0,22,1171051
1,71,411413,91,91,2,1,23,410007
0,13,42426,102,102,17,0,3,41221
1,60,532332,150,150,25,0,5,531106
0,84,1741983,15,15,11,0,21,1740772
1,77,523945,115,115,25,0,1,522770
1,79,601068,114,114,17,0,7,599905
0,77,151073,138,138,19,0,48,149964
0,53,1733432,126,126,23,0,22,1732098
0,56,919364,86,86,12,0,21,918156
1,5,1651899,46,46,17,0,22,1651012
0,30,228042,116,116,17,0,4,226948
0,72,432268,5,5,19,0,15,431189
0,84,987463,88,88,0,0,21,986558
0,21,1751668,125,125,5,0,22,1750310
0,1,211061,153,153,5,0,0,209817
0,74,18783,26,26,2,1,38,17596
0,28,65502,29,29,2,1,40,63997
1,59,754771,53,53,26,0,17,753767
1,20,1804221,71,71,2,1,21,1803316
0,84,207419,58,58,0,0,16,207000
1,44,598434,76,76,0,0,10,597786
1,5,1248251,62,62,15,0,22,1246854
1,0,559992,92,92,25,0,5,558766
1,70,231983,84,84,8,0,10,230514
0,15,383794,23,23,19,0,22,382214
1,3,9275,47,47,2,1,42,7716
1,18,2090497,20,20,5,0,22,2089121
0,66,472615,52,52,9,0,5,471425
0,60,412929,51,51,25,0,5,411703
0,15,1933792,4,4,1,0,22,1933010
1,27,1778404,124,124,27,1,22,1777100
0,78,1093548,134,134,18,0,18,1092211
0,37,1683736,13,13,17,0,21,1682645
0,16,437003,65,65,1,0,18,436320
1,38,155993,113,113,22,0,19,154689
1,44,146779,94,94,6,0,10,145715
0,11,379854,80,80,2,1,15,379126
1,53,742418,38,38,17,0,22,741516
0,37,1277102,66,66,24,0,20,1275858
0,51,308539,82,82,15,0,18,307640
1,31,52782,135,135,2,1,48,51379
0,43,852,48,48,2,1,30,1
1,81,233697,2,2,0,0,11,233434
1,7,1572694,70,70,17,0,20,1571525
1,44,2053277,19,19,27,1,22,2051877
1,64,597683,128,128,2,1,10,596868
0,24,23787,25,25,2,1,37,22417
0,61,494627,40,40,23,0,1,493452
1,37,1587887,120,120,10,0,21,1586445
1,9,169772,31,31,2,1,13,168840
0,53,1413484,11,11,25,0,22,1412150
0,4,54854,27,27,0,0,38,53844
0,26,2157389,43,43,10,0,22,2156019
1,4,6378,59,59,17,0,43,4900
0,42,439354,103,103,17,0,12,437786
0,22,1072628,132,132,27,1,18,1071504
1,47,211328,151,151,19,0,8,209856
0,75,59441,101,101,19,0,3,58461
1,20,1789020,72,72,2,1,21,1787623
1,45,1506761,118,118,24,0,20,1505442
0,22,1143832,133,133,2,1,18,1142492
0,65,6733,24,24,2,1,36,6122
0,4,12244,28,28,17,0,39,11150
0,82,1420721,69,69,25,0,20,1419405
0,49,67849,100,100,19,0,3,66767
0,50,340851,8,8,0,0,4,340480
0,12,298468,79,79,17,0,15,296987
0,6,586,0,0,1,0,32,2
0,15,1398991,108,108,16,0,22,1398122
1,30,458510,16,16,0,0,4,457881
0,55,899374,77,77,3,0,17,898190
0,4,13267,22,22,0,0,35,11954
0,44,1459767,37,37,2,1,22,1458433
1,41,7956,32,32,22,0,29,6742
0,31,162444,139,139,27,1,48,161326
0,12,484137,81,81,17,0,15,482659
0,63,262696,60,60,2,1,13,261617
0,37,1672453,14,14,5,0,21,1671053
0,23,497535,155,155,0,0,12,496600
0,32,114367,137,137,2,1,48,112967
0,40,799780,140,140,0,0,14,799199
0,54,417432,104,104,2,1,12,415855
1,82,1370954,68,68,19,0,20,1369569
1,14,318880,147,147,17,0,5,317777
0,39,799094,55,55,1,0,14,798498
1,24,8841,17,17,19,0,27,7366
0,80,37052,129,129,26,0,47,35940
1,15,1361937,106,106,17,0,22,1361035
1,24,174865,131,131,12,0,9,173582
1,62,485,3,3,1,0,24,3
1,4,27971,85,85,6,0,45,26910
0,69,403184,99,99,23,0,1,402012
