profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,nationality,twitter_handle,birth_place,uci_rider_id,languages,weight_kg,birth_date,first_name,surname,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm
0,3,55192.0,19941,16,31137.0,135398,16,0,13,9,86228,3,75.0,7,16,8,59790,10971,3,180.0
0,10,6978.0,4377,8,7658.0,140865,8,6,3,14,198213,3,76.0,4,8,5,18964,31,5,181.0
0,5,,19953,4,9081.0,137740,4,2,6,11,81980,1,76.0,10,4,9,77405,14737,1,189.0
0,6,27036.0,7476,6,7489.0,140033,6,2,1,5,30973,1,79.0,2,6,3,22545,330,7,190.0
0,1,42917.0,14273,0,14001.0,140732,0,2,9,2,65847,1,68.0,6,0,13,55239,3045,0,188.0
0,14,58428.0,21992,12,23650.0,168776,12,4,7,16,86895,3,,11,12,12,77835,16793,6,179.0
0,2,,26965,1,,206730,1,3,8,1,162997,2,70.0,14,1,1,128820,71333,6,176.0
0,12,16313.0,3333,9,134950.0,140752,9,0,5,13,44513,0,74.0,0,9,16,18746,150,7,181.0
0,11,40668.0,10220,2,2217.0,140476,2,3,0,4,71284,2,,5,2,11,45724,3147,1,174.0
0,9,65955.0,26396,17,12337.0,189441,17,1,10,3,92304,4,,12,17,10,110201,41293,2,186.0
0,7,68529.0,24255,7,29548.0,181748,7,2,2,12,112351,1,53.0,13,7,4,105237,37378,3,173.0
0,0,83296.0,29828,10,,208539,10,0,8,10,165041,3,63.0,17,10,17,113260,76474,6,171.0
0,16,70754.0,29492,5,,227948,5,5,11,8,236644,3,,16,5,15,134569,82572,6,173.0
0,8,47768.0,20092,13,,157646,13,3,8,6,69040,2,79.0,9,13,14,52215,14160,4,185.0
0,13,49291.0,16898,11,,138803,11,2,8,15,499064,1,,3,11,7,58966,8094,4,
0,17,58050.0,20184,15,,135591,15,0,8,17,89133,0,72.5,8,15,0,71225,19274,7,173.0
0,15,83295.0,28377,14,84000.0,212377,14,0,4,0,587366,3,62.0,15,14,2,141854,84019,6,171.0
0,4,7299.0,4819,3,10959.0,140705,3,0,12,7,30859,3,73.0,1,3,6,17957,705,7,188.0
