CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,RaceParticipation,CitizenshipCountry,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,34,86654.0,29568,11,13,,235390,10,33,148689,,29,22,,19,18,13,1,154976,5,88703.0,184.0,20,8
2,2,69634.0,26526,24,28,5000.0,194619,14,13,149727,66.0,34,18,146565.0,23,27,12,11,115790,7,45992.0,176.0,20,10
2,26,41886.0,13566,20,25,128269.0,140495,27,4,64917,65.0,10,8,133840.0,1,25,6,6,53957,2,2275.0,184.0,11,8
2,33,51513.0,17627,29,32,69964.0,135523,18,11,78566,60.0,15,6,133843.0,2,32,3,6,60103,2,6104.0,183.0,15,6
2,5,22930.0,7279,9,10,11722.0,140229,23,0,58181,57.0,3,25,,5,10,4,8,30554,4,2741.0,170.0,13,7
2,30,41885.0,13080,25,29,142323.0,140628,15,14,64737,65.0,7,13,,22,28,14,6,58535,2,860.0,180.0,8,6
2,13,52116.0,19994,10,12,21760.0,132360,6,20,75170,55.0,24,14,142859.0,15,12,8,6,67513,2,10990.0,173.0,20,8
3,27,56666.0,18975,1,0,32176.0,133024,0,5,70590,58.0,19,28,133999.0,31,0,9,14,65132,1,20147.0,172.0,19,12
2,17,69190.0,25740,13,15,,196424,17,12,112082,,31,26,,29,14,13,3,115868,0,38195.0,175.0,20,3
2,12,11026.0,85,0,5,,140368,10,22,11859,,0,9,,17,5,18,6,6132,2,63.0,,7,6
2,26,41886.0,13566,20,25,128269.0,140495,27,4,64917,65.0,10,8,133840.0,1,25,6,6,53957,2,2275.0,184.0,11,8
2,33,51513.0,17627,29,32,69964.0,135523,18,11,78566,60.0,15,6,133843.0,2,32,3,6,60103,2,6104.0,183.0,15,6
3,7,49095.0,18487,0,7,,137599,10,24,65648,58.0,13,1,132351.0,24,7,8,0,45553,5,9451.0,173.0,2,0
2,11,22917.0,6177,6,4,25109.0,140232,3,23,45643,65.0,4,7,134607.0,6,4,0,8,20659,4,1006.0,179.0,12,7
2,6,47903.0,17632,3,1,2988.0,137714,12,32,68792,67.0,11,0,,21,1,10,6,61490,2,16566.0,190.0,20,6
2,18,65180.0,23357,14,17,11187.0,135597,7,19,100349,60.0,16,17,,3,16,10,6,94232,2,17182.0,176.0,20,8
1,0,46381.0,18610,2,16,77168.0,137427,19,26,71557,62.0,18,25,133837.0,0,15,5,6,63999,2,12474.0,173.0,1,8
2,31,62708.0,24758,27,31,9311.0,176726,8,3,91637,,30,3,,12,30,12,6,89011,2,37379.0,178.0,20,8
2,20,,27598,0,20,,196190,10,6,147399,,32,23,,19,13,13,12,88447,8,37388.0,,20,8
2,19,54557.0,16893,0,6,4175.0,135016,4,15,87008,66.0,14,11,,28,6,2,8,73006,4,14126.0,182.0,0,8
2,25,57472.0,21342,19,24,317302.0,178184,13,10,91656,62.0,23,4,142266.0,19,24,16,4,66785,5,23097.0,170.0,20,4
2,10,49026.0,17994,28,3,29268.0,137768,2,27,75120,68.0,20,5,,27,3,4,12,61718,8,7781.0,186.0,16,8
0,32,,26397,0,20,,168807,10,17,86807,,27,30,,19,31,15,9,77655,5,16982.0,177.0,20,8
2,13,52116.0,19994,10,12,21760.0,132360,6,20,75170,55.0,24,14,142859.0,15,12,8,6,67513,2,10990.0,173.0,20,8
2,9,61640.0,21812,5,11,10093.0,170183,22,8,97091,58.0,26,17,144171.0,7,11,11,8,91127,4,20384.0,176.0,20,7
2,16,55639.0,20535,7,8,,160352,5,1,89125,,25,29,,16,8,13,8,73388,4,14791.0,181.0,20,7
2,21,52670.0,19335,18,21,16028.0,137764,11,29,79919,69.0,8,24,142504.0,9,20,10,12,61303,8,7640.0,184.0,3,8
2,23,37791.0,10629,0,33,22194.0,140481,20,28,54572,63.0,5,12,,13,33,18,12,26542,8,750.0,172.0,6,11
2,13,52116.0,19994,10,12,21760.0,132360,6,20,75170,55.0,24,14,142859.0,15,12,8,6,67513,2,10990.0,173.0,20,8
2,24,22870.0,1646,23,23,,140614,10,31,32145,70.0,2,16,111647.0,26,23,18,5,19086,5,346.0,186.0,5,5
2,2,69634.0,26526,24,28,5000.0,194619,14,13,149727,66.0,34,18,146565.0,23,27,12,11,115790,7,45992.0,176.0,20,10
2,33,51513.0,17627,29,32,69964.0,135523,18,11,78566,60.0,15,6,133843.0,2,32,3,6,60103,2,6104.0,183.0,15,6
2,29,63563.0,28569,8,9,1008.0,135571,21,9,119427,64.0,17,8,,4,9,13,6,80663,2,17215.0,177.0,20,8
3,22,,25335,17,19,,184242,26,21,102035,,33,15,,25,19,18,1,93791,5,37447.0,177.0,20,1
2,29,63563.0,28569,8,9,1008.0,135571,21,9,119427,64.0,17,8,,4,9,13,6,80663,2,17215.0,177.0,20,8
0,3,47686.0,17534,12,14,8603.0,140333,24,18,59773,72.0,9,21,142502.0,11,21,17,12,37589,8,2325.0,183.0,17,8
2,14,,18632,21,27,,139797,10,16,75188,,21,2,,20,26,18,13,65328,5,9008.0,179.0,4,8
2,4,52879.0,19448,15,18,15757.0,132428,9,25,73817,,22,28,1303134.0,18,17,7,3,71390,5,7695.0,184.0,18,8
2,2,69634.0,26526,24,28,5000.0,194619,14,13,149727,66.0,34,18,146565.0,23,27,12,11,115790,7,45992.0,176.0,20,10
2,25,57472.0,21342,19,24,317302.0,178184,13,10,91656,62.0,23,4,142266.0,19,24,16,4,66785,5,23097.0,170.0,20,4
2,15,18670.0,4742,22,26,31366.0,140434,28,2,32044,63.0,1,27,134151.0,10,26,0,7,18129,3,168.0,170.0,9,8
3,22,,25335,17,19,,184242,26,21,102035,,33,15,,25,19,18,1,93791,5,37447.0,177.0,20,1
0,28,47214.0,16722,26,30,34792.0,140674,16,30,64531,71.0,12,19,132670.0,30,29,19,2,52973,5,6228.0,183.0,14,2
2,8,62255.0,24189,4,2,5751.0,187231,1,7,79522,64.0,28,10,142857.0,8,2,11,6,82930,2,34011.0,176.0,20,8
2,1,43386.0,14310,16,22,35954.0,140509,25,34,53804,62.0,6,20,135495.0,14,22,1,10,36343,6,3991.0,173.0,10,9
1,0,46381.0,18610,2,16,77168.0,137427,19,26,71557,62.0,18,25,133837.0,0,15,5,6,63999,2,12474.0,173.0,1,8
