SportType,HostCountry,StartLocation,ProCyclingStatsRaceId
0,1,38,247815.0
0,1,11,219215.0
0,11,48,
0,5,50,
0,8,46,247517.0
0,1,0,
0,10,19,
0,0,15,172832.0
0,8,40,247520.0
0,5,37,173736.0
0,1,12,219154.0
0,0,13,164878.0
0,11,7,
0,8,42,247518.0
0,1,43,255363.0
0,3,34,149868.0
0,1,31,280778.0
0,6,1,218508.0
0,1,3,164463.0
0,1,4,255403.0
0,9,10,170997.0
0,10,19,180567.0
0,5,30,150682.0
0,0,51,219663.0
0,1,23,118928.0
0,1,18,164945.0
0,0,35,172918.0
0,1,16,
0,3,33,248725.0
0,1,24,
0,1,16,172973.0
0,0,8,268292.0
0,0,13,248558.0
0,1,22,
0,10,19,
0,3,39,279829.0
0,1,23,164888.0
0,1,36,171129.0
0,1,23,173870.0
0,3,34,170996.0
0,10,19,
0,7,17,172294.0
0,5,2,173737.0
0,3,32,269730.0
0,1,45,255625.0
0,0,27,219523.0
0,0,28,164272.0
0,5,49,
0,9,20,271430.0
0,9,47,247509.0
0,8,26,247519.0
0,1,44,
0,2,25,171128.0
0,1,45,172905.0
0,1,24,
0,0,52,181965.0
0,9,41,164250.0
0,1,16,118280.0
1,4,6,163769.0
0,1,44,269661.0
0,0,29,262530.0
0,1,9,164464.0
0,8,40,247522.0
0,1,5,255362.0
0,5,21,150683.0
0,1,14,
