Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,38827,225,1,35924,3,1
1,4679,183,1,1893,3,0
0,9869,53,0,8244,0,1
1,825842,310,1,823350,3,0
0,502030,130,0,499289,0,0
1,79193,77,1,76656,3,1
1,2449,0,1,11,3,0
0,7010,291,0,4233,0,1
0,66235,247,0,64469,0,1
1,21822,317,1,18838,3,1
1,3014,94,1,228,3,1
0,77950,17,0,74987,0,1
1,510295,141,1,507728,3,1
1,847503,311,1,845194,3,0
1,6673,232,1,3815,3,0
1,181574,314,1,180063,3,1
1,625252,228,1,622190,3,0
1,981807,277,1,979324,3,1
1,16715,186,1,14439,3,1
1,2940,212,1,73,3,1
0,8383,219,0,7271,0,0
1,2351295,264,1,2348338,3,0
1,13435,271,1,10745,3,0
0,86361,188,0,83876,0,1
1,225780,78,1,223900,3,0
1,578138,99,1,576360,3,0
1,504140,267,1,500865,3,0
1,636457,213,1,635763,3,0
1,847195,163,1,845501,3,0
1,492362,27,1,490971,3,0
1,236472,223,1,233641,3,0
0,779582,203,0,776703,0,0
1,7188,124,1,4384,3,0
1,8831,110,1,6234,3,1
0,650247,101,0,648161,0,0
1,984,304,1,31,3,0
1,1094,23,1,159,3,1
0,24358,272,0,21590,0,0
0,1225,52,0,1,0,1
1,628999,143,1,626735,3,0
1,13990,115,1,11384,3,1
1,28068,64,1,25282,3,1
1,3158,254,1,408,3,1
1,2327020,263,1,2324351,3,0
0,9939,56,0,8926,0,0
0,65081,83,0,62292,0,1
1,9052,246,1,7148,3,1
0,805554,313,0,804478,0,0
0,782600,204,0,781197,0,0
1,3790,210,1,806,3,0
1,1573917,166,1,1571158,3,0
0,1995400,174,0,1993454,0,0
0,794113,242,0,793295,1,0
1,644271,97,1,641242,3,1
0,56433,248,0,54619,1,1
1,654938,252,1,652152,3,0
1,1032018,49,1,1029001,3,0
0,1140600,196,0,1138639,0,0
1,411506,58,1,408474,3,0
1,924785,236,1,922281,3,1
0,1204,126,0,2,0,0
0,8397,15,0,5578,0,1
0,764760,202,0,762982,0,0
1,976,20,1,2,3,1
1,587182,273,1,584897,3,1
1,3258,40,1,436,3,0
1,6116,57,1,4224,3,1
0,606712,237,0,603989,0,0
1,21218,241,1,18921,3,1
0,2501,82,0,102,1,1
1,7457,214,1,4911,3,1
0,490870,45,0,489493,0,0
1,4777,18,1,2027,3,1
0,26225,206,0,24447,0,1
1,22430,44,1,19944,3,1
1,15107,262,1,12237,3,1
1,41742,307,1,39727,3,1
0,663320,258,0,660522,0,0
0,58458,114,0,55432,0,1
1,486237,24,1,483109,3,0
1,353345,138,1,350952,3,0
1,16574,222,1,14088,3,1
0,3713,283,0,2106,1,0
1,44770,25,1,42977,3,1
0,3597,234,0,1834,0,0
1,5794,135,1,3014,3,0
0,655728,168,0,653962,0,0
0,33262,308,0,31331,0,1
0,791878,121,0,790079,0,0
1,760085,243,1,757590,3,0
0,1852491,173,0,1847980,0,0
1,130785,104,1,128263,3,0
1,122539,190,1,120197,3,1
0,594892,226,0,591674,0,0
0,571445,198,0,567813,0,0
1,690966,179,1,687994,3,0
1,9553,113,1,7784,3,0
1,582823,21,1,581135,3,0
0,67475,296,0,65139,0,1
1,25743,230,1,24748,3,1
1,71114,195,1,69705,3,1
0,103187,323,0,101616,1,0
0,702008,180,0,700188,0,0
1,585311,227,1,582390,3,0
1,2350211,167,1,2347587,3,0
1,491613,133,1,488857,3,1
1,12191,231,1,9909,3,1
1,1182,91,1,1,3,1
1,59561,140,1,57681,3,1
0,14595,65,0,12280,0,1
1,9360,255,1,6577,3,0
