GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,FIRST_NAME,DEATH_DATE,FULL_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE
0,0,1,68,4,26,7,85,0,61
0,0,0,86,5,34,66,65,17,63
1,0,0,59,3,71,53,28,26,2
1,0,0,28,3,25,33,36,27,59
0,0,1,70,4,84,6,85,17,38
0,0,1,30,4,81,69,50,15,48
0,0,1,77,4,85,59,64,17,48
1,0,1,40,4,82,45,12,2,66
1,0,0,69,3,17,15,48,9,56
1,0,0,35,3,86,21,8,15,48
1,2,0,54,3,18,25,33,3,26
1,0,0,75,3,64,56,38,0,4
1,0,0,46,3,54,19,15,26,14
1,0,0,52,3,43,31,31,15,11
1,0,1,58,4,41,41,2,13,28
0,0,1,67,4,80,60,49,10,48
0,0,1,38,4,78,77,81,7,36
0,0,1,5,4,2,82,72,14,68
0,0,1,85,4,32,74,52,15,32
1,0,0,15,3,61,44,26,23,17
1,0,0,11,3,22,40,6,6,76
1,0,1,82,4,77,14,19,10,71
0,0,1,16,4,12,83,59,1,60
1,0,0,81,3,52,26,20,15,74
0,0,1,42,4,45,81,74,9,44
0,0,0,8,7,63,13,83,6,33
1,0,0,63,3,60,48,9,15,80
0,0,0,18,4,10,62,45,15,53
0,0,1,43,4,33,63,58,25,57
1,0,0,47,3,15,18,32,9,70
0,0,1,3,4,0,58,25,14,0
0,0,1,80,4,42,11,55,17,31
0,0,1,65,4,20,80,67,9,45
1,0,0,39,3,13,47,4,1,25
1,1,0,23,3,39,46,84,22,1
0,0,1,50,4,8,3,42,20,48
1,0,0,21,3,21,51,27,15,50
1,0,0,64,3,79,43,37,18,48
0,0,1,72,4,80,9,53,15,48
1,0,0,37,3,46,20,21,11,9
1,1,0,13,3,73,42,77,4,67
0,0,1,6,4,4,68,1,5,27
1,0,0,1,3,44,30,22,22,75
0,0,1,32,4,6,73,44,4,23
0,0,1,29,4,66,85,80,7,19
0,0,1,27,4,29,84,39,21,62
0,0,1,56,4,28,65,43,15,73
0,0,1,10,4,68,8,51,1,42
1,0,0,44,3,67,24,18,10,79
1,0,1,20,4,11,54,34,15,30
0,0,1,41,4,76,76,63,10,81
1,0,0,62,3,7,32,7,3,24
0,0,1,84,4,75,75,41,15,39
1,0,0,71,3,53,37,30,15,3
0,0,1,17,4,74,87,46,11,41
0,0,1,24,4,55,4,85,24,37
1,0,0,45,3,72,49,29,12,16
1,0,0,61,3,70,55,24,8,6
1,0,0,48,3,48,35,10,3,13
0,0,1,57,4,15,61,69,17,55
1,0,0,51,3,37,34,13,13,21
0,0,1,68,4,57,67,62,13,40
1,0,0,79,3,47,36,14,9,8
0,0,1,19,4,38,86,71,5,49
1,0,0,78,3,59,16,11,10,15
1,0,0,55,3,36,29,76,8,78
0,0,1,73,4,27,64,56,13,72
1,0,0,2,3,1,23,16,14,51
1,0,0,60,3,69,52,5,14,10
0,0,1,53,4,23,5,70,25,46
1,0,0,12,3,40,39,78,7,65
1,0,0,31,3,51,27,35,15,12
1,0,0,22,3,5,50,17,2,20
1,1,0,14,3,14,15,79,2,18
1,0,0,36,3,30,28,3,10,29
0,0,1,32,4,19,70,40,3,47
0,0,1,34,4,24,1,73,21,58
0,0,1,66,4,50,71,85,17,43
0,0,1,83,4,83,78,66,0,34
0,0,1,33,4,65,72,54,8,48
0,0,0,49,2,62,12,47,26,35
1,0,0,7,3,49,38,0,11,7
1,0,1,76,4,58,22,75,26,5
0,0,0,4,1,35,10,61,14,54
0,0,1,9,4,31,79,57,19,52
1,0,0,0,6,56,57,82,16,69
0,0,1,74,4,16,0,68,9,64
1,0,0,26,0,9,17,23,11,77
0,0,1,25,4,3,2,60,26,22
