Profession,Biography,ProfileImage,Nationality,BirthDate,FirstName,CommonsCategory,Birthplace,CurrentTeam,CyclistName,ProCyclingStatsCyclistId,UciRiderId,CyclingArchivesCyclistId
0,4,1,5,28,3,2,13,3,4,185211.0,112320.0,
0,2,19,1,3,30,22,13,3,33,175842.0,100898.0,
0,5,29,3,24,36,28,3,5,39,168735.0,86715.0,81146.0
0,4,24,5,2,26,20,21,19,30,139270.0,32889.0,29630.0
0,4,22,5,18,18,13,1,18,20,139304.0,72965.0,42313.0
0,2,28,1,1,35,27,23,9,38,139283.0,46190.0,25188.0
0,4,19,5,32,25,22,13,13,29,180980.0,157834.0,
0,7,19,6,23,9,22,24,15,11,171414.0,,70597.0
0,6,4,4,40,16,10,10,3,3,233017.0,236562.0,145734.0
0,4,19,5,37,0,22,13,8,0,208651.0,163443.0,
0,2,19,1,38,29,22,13,3,24,216823.0,649393.0,
0,2,20,5,12,19,14,15,14,21,139318.0,86526.0,71336.0
0,11,14,12,5,7,6,4,20,9,131228.0,62413.0,75384.0
0,2,16,1,14,14,8,7,4,16,139340.0,64817.0,37958.0
0,16,19,1,33,20,22,22,4,22,182767.0,99725.0,77688.0
0,2,19,1,8,37,29,13,3,40,139399.0,109791.0,
0,4,19,5,42,28,22,13,0,32,,,
0,2,19,1,39,13,22,13,3,15,216407.0,490311.0,
0,12,19,9,15,29,22,5,1,8,133441.0,66063.0,62156.0
0,14,18,11,11,27,21,18,21,31,134197.0,47660.0,55511.0
0,3,11,2,16,2,1,17,16,2,181421.0,77043.0,
0,2,19,1,41,10,22,13,3,12,216380.0,649639.0,
0,5,17,3,17,23,18,14,2,27,135743.0,86507.0,82136.0
0,13,27,10,4,32,24,13,3,35,180208.0,94097.0,120776.0
0,4,7,5,0,22,17,13,7,26,193577.0,,
1,2,25,1,6,18,12,22,11,19,138441.0,47793.0,21121.0
0,15,21,5,13,21,16,19,6,25,134018.0,66599.0,29629.0
0,4,30,5,22,38,30,2,10,41,139423.0,79176.0,72051.0
0,6,3,4,31,40,32,13,7,43,211394.0,152252.0,
0,0,6,0,30,4,3,9,7,5,204978.0,98623.0,80540.0
0,2,26,1,29,24,19,13,3,28,191921.0,98619.0,115279.0
0,1,31,1,27,31,23,8,4,34,176855.0,91350.0,71221.0
0,8,19,7,35,11,22,13,12,13,208204.0,221133.0,
0,2,13,1,25,6,5,22,4,7,175839.0,91351.0,71226.0
0,15,23,1,21,34,26,6,17,37,139355.0,95384.0,65480.0
0,15,9,0,9,33,25,20,11,36,133695.0,72170.0,55221.0
0,9,10,1,20,21,15,13,3,23,269863.0,,
0,2,2,1,26,12,7,0,11,14,181483.0,88841.0,71220.0
0,15,12,3,7,1,0,12,5,1,133525.0,55410.0,49285.0
0,5,32,3,36,39,31,11,3,42,208575.0,153389.0,136009.0
0,10,15,8,19,5,4,16,3,6,197051.0,77421.0,66725.0
0,2,5,1,10,15,9,13,15,17,139267.0,57675.0,39614.0
0,2,8,1,34,8,22,13,3,10,243677.0,839555.0,
0,0,0,0,30,17,11,9,7,18,180370.0,98622.0,74457.0
