Profession,Biography,ProfileImage,Nationality,BirthDate,FirstName,CommonsCategory,Birthplace,CurrentTeam,CyclistName,ProCyclingStatsCyclistId,UciRiderId,CyclingArchivesCyclistId
1,11,3,7,0,2,2,12,3,2,114459,,6954
1,7,6,5,9,5,5,11,6,5,140597,32437.0,11270
1,0,9,9,1,9,9,1,2,9,140549,11232.0,4044
1,3,11,1,11,11,11,3,4,11,140243,32258.0,17587
0,12,12,6,4,12,12,6,9,12,125039,13636.0,3633
1,4,4,4,10,3,3,9,5,3,140869,43936.0,22017
1,5,1,2,12,8,8,10,10,8,137427,71557.0,63999
1,1,7,9,2,6,6,2,8,6,126415,22041.0,2898
1,6,8,3,5,7,7,4,0,7,140543,13989.0,1232
1,8,5,8,3,4,4,7,1,4,140761,13088.0,6052
1,2,10,0,6,10,10,0,11,10,140847,14402.0,4595
1,10,0,6,8,0,0,5,11,0,137456,518429.0,1567
1,9,2,6,7,1,1,8,7,1,140924,14575.0,7005
