EventsParticipated,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Biography,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId
4,39,8783.0,4443.0,32,49,77385.0,140517.0,53,15,36,24,44439.0,64.0,6,10,15,32,19060.0,730.0,178.0,14
26,20,16313.0,3333.0,15,25,134950.0,140752.0,31,4,7,19,44513.0,74.0,3,3,33,9,18746.0,150.0,181.0,10
15,23,65469.0,24924.0,19,32,,186507.0,37,13,29,32,109737.0,,27,22,14,15,120486.0,38481.0,202.0,25
14,47,54395.0,20730.0,37,56,252749.0,168961.0,57,4,22,13,75859.0,70.0,24,13,35,36,74709.0,18258.0,187.0,4
26,28,62142.0,22703.0,23,38,5158.0,164943.0,43,17,14,12,88833.0,72.0,23,22,21,21,77956.0,20448.0,177.0,25
19,32,83295.0,28377.0,29,46,84000.0,212377.0,50,4,5,0,587366.0,62.0,34,12,10,29,141854.0,84019.0,171.0,25
19,43,66570.0,27708.0,34,53,,202331.0,55,5,21,18,109775.0,58.0,33,17,23,34,119805.0,65025.0,170.0,25
19,24,48143.0,21971.0,20,33,205449.0,168754.0,38,14,30,15,79462.0,,25,19,36,16,64280.0,16672.0,184.0,24
23,34,,,0,14,,,12,33,15,23,,,37,22,20,22,,,,25
19,29,,,13,21,364692.0,,6,25,27,23,,,37,22,20,22,,,,25
19,18,58052.0,21800.0,0,39,,161334.0,34,22,15,7,89154.0,,20,22,2,12,,20581.0,,25
1,38,39842.0,12843.0,22,37,1311517.0,140292.0,42,9,13,34,67388.0,58.0,8,14,27,20,57418.0,2276.0,166.0,20
23,29,,,0,1,,,14,33,15,23,,,37,22,20,22,,,,25
20,6,,31598.0,18,30,,240123.0,35,2,15,27,361433.0,,36,22,30,13,148738.0,102733.0,183.0,25
11,9,,,0,6,,,19,25,15,23,,,37,22,20,22,,,,25
17,44,,,0,8,120333.0,,20,25,0,23,,,37,22,20,22,,,,25
22,29,,,0,0,,,9,33,15,23,,,37,22,20,22,,,,25
12,41,56666.0,18975.0,2,10,32176.0,133024.0,21,7,2,4,70590.0,58.0,15,8,34,0,65132.0,20147.0,172.0,22
23,29,,,0,17,,,13,33,15,23,,,37,22,20,22,,,,25
10,10,52038.0,20697.0,5,11,9866.0,156131.0,22,27,3,28,86630.0,68.0,19,18,4,1,68186.0,20584.0,180.0,1
19,11,83321.0,30648.0,8,16,,216729.0,25,22,15,20,300976.0,64.0,35,22,22,3,152046.0,95133.0,182.0,25
26,40,49272.0,17881.0,26,43,13864.0,140294.0,47,30,17,11,76092.0,56.0,9,22,5,26,38092.0,4863.0,169.0,21
19,27,,,14,26,123772.0,,7,25,8,23,,,37,22,20,22,,,,25
21,21,19255.0,3891.0,0,24,508772.0,140196.0,30,32,6,6,32532.0,71.0,5,1,31,8,11292.0,716.0,183.0,9
7,2,46381.0,18610.0,4,28,77168.0,137427.0,33,18,23,31,71557.0,62.0,14,7,1,11,63999.0,12474.0,173.0,0
18,7,69634.0,26526.0,33,50,5000.0,194619.0,54,28,19,16,149727.0,66.0,30,20,24,33,115790.0,45992.0,176.0,25
26,33,30026.0,7147.0,31,48,140921.0,140611.0,52,3,34,17,57601.0,62.0,2,6,25,31,32008.0,563.0,172.0,15
22,37,,,0,54,,,11,25,15,23,,,37,22,20,22,,,,25
26,19,12980.0,1999.0,27,23,1980.0,140438.0,29,23,33,29,26925.0,53.0,0,22,26,7,11870.0,452.0,165.0,11
6,35,,26962.0,7,13,,194248.0,24,19,24,3,149163.0,80.0,32,22,6,22,116298.0,45620.0,190.0,25
5,29,,,0,4,,,17,1,15,23,,,37,22,20,22,,,,6
19,29,,,12,15,,,5,25,15,23,,,37,22,20,22,,,,25
8,1,,,0,5,,,18,25,15,23,,,37,22,20,22,,,,25
19,29,,,3,9,120359.0,,4,10,0,23,,,37,22,20,22,,,,25
10,31,56041.0,20719.0,28,45,127549.0,174582.0,49,29,35,33,88889.0,65.0,7,11,28,28,72449.0,18655.0,177.0,23
10,45,54848.0,20156.0,25,44,12312.0,132359.0,48,20,32,30,86812.0,64.0,18,22,17,27,67163.0,15752.0,180.0,7
19,42,71935.0,28298.0,6,12,,192457.0,23,22,15,2,98774.0,66.0,31,22,8,2,114071.0,45987.0,176.0,25
10,30,54668.0,21392.0,24,40,18425.0,135315.0,44,4,16,25,93654.0,71.0,11,22,18,23,77634.0,22682.0,184.0,8
13,3,,,0,7,,,1,25,15,23,,,37,22,20,22,,,,25
24,36,57472.0,21342.0,30,47,317302.0,178184.0,51,16,18,10,91656.0,62.0,17,15,20,30,66785.0,23097.0,170.0,25
16,16,,31634.0,11,20,,262718.0,28,19,26,26,112281.0,,28,22,3,6,170457.0,57961.0,184.0,25
3,29,,,0,3,,,16,0,15,23,,,37,22,20,22,,,,13
20,29,,,0,0,,,8,33,15,23,,,37,22,20,22,,,,25
25,25,27794.0,12923.0,17,35,156620.0,140821.0,40,26,28,9,58528.0,65.0,10,2,16,18,36053.0,2961.0,176.0,18
14,13,62255.0,24189.0,9,18,5751.0,187231.0,26,17,4,8,79522.0,64.0,26,16,7,4,82930.0,34011.0,176.0,25
17,44,,,0,8,120333.0,,20,25,0,23,,,37,22,20,22,,,,25
22,29,,,0,0,,,9,33,15,23,,,37,22,20,22,,,,25
0,29,,,0,2,,,15,33,15,23,,,37,22,20,22,,,,17
18,22,65227.0,26509.0,0,31,,194909.0,36,31,15,1,111440.0,57.0,29,21,12,14,99609.0,46163.0,173.0,25
19,26,53778.0,21261.0,21,36,2006.0,174179.0,41,3,12,5,78098.0,74.0,22,22,29,19,70986.0,21855.0,189.0,5
26,46,11585.0,1994.0,36,55,569371.0,140778.0,56,24,37,21,28378.0,65.0,1,0,19,35,13069.0,133.0,181.0,19
17,5,,,0,29,180582.0,,2,25,10,23,,,37,22,20,22,,,,25
27,12,56664.0,20678.0,0,41,20194.0,132382.0,45,8,31,6,72234.0,73.0,16,9,9,24,66001.0,,1.81,16
2,15,22663.0,5789.0,10,19,1529344.0,140869.0,27,6,25,22,43936.0,69.0,4,4,11,5,22017.0,713.0,186.0,12
19,17,56436.0,20917.0,1,42,5649.0,156570.0,46,21,1,14,77380.0,78.0,21,22,0,25,71706.0,9746.0,180.0,25
9,14,55237.0,17078.0,16,27,1066.0,133707.0,32,11,9,35,64693.0,60.0,12,22,13,10,38480.0,6269.0,181.0,3
22,8,,,0,52,,,10,25,15,23,,,37,22,20,22,,,,25
8,29,,,0,51,,,0,25,15,23,,,37,22,20,22,,,,25
26,0,47885.0,18123.0,35,34,21399.0,139801.0,39,12,11,36,68832.0,71.0,13,5,32,17,58401.0,6309.0,179.0,2
17,4,,,0,22,,,3,25,20,23,,,37,22,20,22,,,,25
