GeneClassification,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation
1,13781508,89,89,5,1,1,13780400,0
0,1062543,11,11,5,0,4,1061380,0
0,1378603,13,13,5,0,0,1377758,1
1,647958,7,7,5,1,1,646994,1
0,5408975,27,27,5,0,0,5407872,0
1,7491697,43,43,5,1,1,7490675,0
0,8363744,51,51,5,0,0,8362638,0
0,13778229,88,88,5,0,4,13777168,0
0,10982625,66,66,5,0,4,10981573,0
1,12749940,84,84,5,1,1,12748906,1
0,9824168,57,57,5,0,0,9823074,1
0,17019,111,111,2,0,2,15961,0
0,7627111,44,44,5,0,0,7625912,0
0,3418842,20,20,0,0,0,3418354,1
1,6301614,31,31,5,1,1,6300547,0
0,2772424,18,18,5,0,4,2771399,1
0,2926783,19,19,5,0,0,2925683,1
0,14650551,100,100,0,0,0,14649949,0
0,10136590,60,60,5,0,0,10135451,0
1,8552323,52,52,5,1,5,8551182,1
0,6875162,34,34,0,0,0,6874248,0
0,1061185,10,10,5,0,0,1060259,0
0,13363445,87,87,6,0,4,13362485,1
0,5943411,30,30,4,0,0,5942976,0
0,2579988,16,16,6,0,0,2578978,1
0,10813792,64,64,5,0,0,10812707,0
0,10596764,61,61,5,0,0,10595673,1
0,12357332,81,81,5,0,0,12356265,0
1,7021545,36,36,5,1,5,7020505,0
0,3929959,22,22,5,0,0,3928967,0
1,10985595,67,67,5,1,5,10984454,0
0,14834084,105,105,5,0,0,14832906,1
1,11934914,77,77,5,1,1,11933838,0
0,645172,6,6,5,0,0,644114,1
0,4991040,24,24,0,0,4,4990519,1
0,10647632,62,62,0,0,0,10646946,1
0,14300981,95,95,5,0,0,14299716,0
0,8262117,49,49,5,0,0,8261095,0
0,9322125,53,53,5,0,0,9321052,0
0,11080473,72,72,5,0,4,11079370,0
0,7455271,41,41,3,0,4,7454630,1
1,489573,2,2,5,1,5,488497,0
0,10853457,65,65,0,0,4,10852738,0
1,11024203,69,69,5,1,5,11023130,1
0,7239207,38,38,3,0,4,7238734,0
1,5138603,26,26,5,1,5,5137686,0
0,5093041,25,25,5,0,0,5091830,0
0,12084294,78,78,5,0,4,12083578,0
0,503198,4,4,5,0,4,502080,0
0,6761840,33,33,5,0,0,6760755,0
1,9597154,54,54,7,1,1,9596789,0
0,11020307,68,68,3,0,0,11019585,1
0,14082174,93,93,5,0,4,14081146,1
0,14408981,97,97,5,0,0,14407787,0
0,506280,5,5,0,0,4,505225,0
0,969285,8,8,5,0,4,968212,0
1,14653387,101,101,5,1,1,14652208,0
0,367095,1,1,5,0,4,366061,0
1,1326208,12,12,5,1,5,1325000,0
0,5888183,29,29,5,0,4,5887353,0
1,9785709,56,56,7,1,1,9784512,1
0,14069484,90,90,5,0,0,14068327,1
0,497169,3,3,5,0,0,496051,0
1,11927955,76,76,5,1,1,11926873,0
0,14649846,99,99,3,0,0,14649328,0
0,14078016,92,92,5,0,4,14076940,0
0,7488770,42,42,0,0,4,7487772,0
1,7243746,39,39,5,1,1,7242616,0
0,14794181,102,102,1,0,0,14793624,1
0,6897869,35,35,5,0,4,6896835,0
1,12280552,80,80,7,1,1,12279830,0
0,7822071,48,48,0,0,4,7821382,0
1,15894258,108,108,5,1,1,15893028,1
1,10803665,63,63,5,1,1,10802541,0
0,14819882,103,103,5,0,4,14818773,1
1,11389915,74,74,5,1,1,11388752,1
0,6335213,32,32,5,0,4,6334188,0
1,7655211,46,46,5,1,5,7654214,0
0,11304553,73,73,5,0,0,11303492,0
1,7022901,37,37,5,1,5,7021669,0
0,11077700,71,71,5,0,0,11076582,0
0,14836202,106,106,5,0,0,14835021,1
1,14413552,98,98,5,1,5,14412677,0
1,7631605,45,45,5,1,5,7630547,0
0,10128451,59,59,5,0,0,10127360,0
0,4165460,23,23,5,0,0,4164288,1
0,15518461,107,107,5,0,4,15517346,0
0,7700008,47,47,5,0,0,7699196,1
0,8281636,50,50,0,0,4,8280473,1
0,14386825,96,96,3,0,0,14386370,0
0,5428520,28,28,5,0,0,5427432,1
0,3881246,21,21,5,0,0,3880098,1
1,13218818,86,86,5,1,1,13217698,1
0,14823039,104,104,3,0,0,14822254,1
0,1252532,110,110,0,0,3,1251366,1
1,7344961,40,40,5,1,5,7343936,1
1,2026224,15,15,5,1,5,2025250,1
1,58194,0,0,7,1,5,57183,1
0,2683349,17,17,4,0,4,2682890,1
0,12747234,83,83,5,0,4,12746164,1
0,12229397,79,79,5,0,0,12228273,0
0,14075724,91,91,5,0,0,14074699,1
0,11034709,70,70,5,0,4,11033591,0
0,10036993,58,58,5,0,0,10035965,1
1,14298478,94,94,5,1,5,14297318,0
1,16050866,109,109,5,1,1,16049805,0
0,1552731,14,14,5,0,4,1551625,1
0,9712285,55,55,5,0,4,9711197,0
1,12925681,85,85,5,1,1,12924616,1
0,1003209,9,9,5,0,4,1002175,0
1,11632067,75,75,5,1,6,11631096,1
1,12516768,82,82,5,1,1,12515701,1
