GeneSubclass,GeneType,GenomicStartPosition,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,12457699,0,38,118,12460992
0,0,21662360,1,37,171,21664027
1,1,14714348,1,40,127,14716347
1,1,24259394,0,21,183,24261916
0,0,16958119,1,37,144,16959828
0,0,22506750,0,22,176,22507853
0,0,5806811,1,19,87,5808507
1,1,4684330,0,21,76,4686426
0,0,19109871,1,37,157,19111241
0,0,576495,0,37,57,578294
0,0,7408131,1,6,29,7409936
0,0,5563799,0,38,83,5564839
0,0,16125630,0,19,137,16126477
0,0,16124496,0,18,136,16125431
0,0,6495699,1,23,89,6496823
0,0,22865183,1,38,178,22866651
0,0,516034,0,22,186,517377
0,0,22418891,0,37,175,22420594
0,0,6622859,0,19,90,6623857
0,0,403456,0,19,187,404271
0,0,900303,0,22,59,901193
1,1,4674539,0,3,21,4678403
1,1,6730012,0,25,91,6731177
0,0,8343849,0,18,100,8345450
0,0,1189272,0,38,63,1190069
1,1,159343,0,33,3,166610
0,0,12076498,1,5,45,12080076
0,0,7307190,1,22,96,7308392
1,1,11812601,0,20,114,11814846
0,0,14244689,0,37,122,14246569
0,0,15525344,1,6,53,15526762
0,0,10366297,1,37,109,10367781
0,0,19353143,1,18,158,19353997
0,0,11227465,1,19,112,11228364
0,0,4821965,0,16,22,4822884
0,0,797690,1,18,11,802447
0,0,7222040,1,1,26,7223642
0,0,4476602,1,42,20,4478317
0,0,7725846,1,42,33,7726763
1,1,4345470,0,31,75,4347332
0,0,7084628,1,18,95,7085743
0,0,14416290,0,18,126,14417657
0,0,10471814,1,2,41,10473550
0,0,17167599,1,37,146,17169188
0,0,17202847,1,37,147,17204565
1,1,950709,1,24,60,954065
0,0,7534078,1,43,32,7536063
0,0,5309435,1,18,80,5310760
0,0,11928846,1,37,115,11930294
0,0,1162260,1,19,62,1163943
0,0,11139777,0,19,111,11141122
0,0,3887290,1,42,18,3888303
0,0,14294152,1,37,123,14297622
0,0,16270171,1,34,139,16271105
0,0,19092804,1,18,156,19098062
0,0,1488146,1,17,8,1488889
0,0,720270,1,17,1,720767
0,0,1136944,0,19,61,1138017
0,0,8475756,0,15,36,8477276
0,0,4984864,1,19,79,4986283
0,0,6828929,0,18,92,6830368
0,0,11410333,0,19,113,11411332
0,0,15698438,1,18,133,15699505
0,0,3319447,0,22,71,3320883
0,0,1980224,1,30,67,1981630
0,0,15366826,0,18,130,15368259
0,0,14308893,0,36,124,14309948
0,0,4786735,1,18,77,4787700
1,1,7251456,0,14,27,7252507
0,0,10862464,0,37,110,10863636
0,0,13110727,0,10,49,13113318
0,0,1553879,1,8,16,1555909
0,0,6916226,1,19,94,6917763
0,0,14081394,1,18,121,14082326
0,0,9632528,0,19,105,9633706
0,0,6205003,1,43,24,6206204
0,0,80512,1,17,9,81654
0,0,23852545,1,37,181,23853903
0,0,16961430,1,18,145,16962662
1,1,167799,1,33,4,174089
0,0,3888761,1,6,19,3890743
0,0,12054483,1,19,116,12055523
1,1,91365,1,33,2,99081
0,0,7437391,1,18,98,7438734
0,0,5757861,1,0,23,5758988
0,0,15573908,0,18,132,15575248
1,1,13181388,1,29,50,13184258
0,0,9949362,1,19,108,9950434
0,0,8351207,1,22,101,8353309
0,0,21337707,1,22,168,21338975
1,1,16287284,1,39,140,16290323
0,0,38457,0,19,54,39504
0,0,24324600,1,18,184,24325727
0,0,15523344,0,0,52,15525233
1,1,8221779,0,20,35,8224507
0,0,22033199,0,19,173,22034406
0,0,7483058,0,11,31,7485958
1,1,8078484,1,24,99,8082833
0,0,1869800,1,0,17,1870672
0,0,18803756,0,19,152,18805214
0,0,16042352,0,37,135,16044124
0,0,1383800,0,19,65,1384983
0,0,7468958,0,0,30,7470439
0,0,19091385,1,18,155,19092299
1,1,9279771,1,29,37,9281160
0,0,4053424,1,22,74,4054701
0,0,16305157,1,19,141,16306157
1,1,8119900,0,29,34,8123260
0,0,12243976,0,19,117,12245091
0,0,20536571,0,18,162,20537413
0,0,3988690,0,2,6,3991758
0,0,5630353,0,22,84,5631591
0,0,11526539,1,0,43,11528056
0,0,9711766,1,19,106,9713721
0,0,21492995,0,18,169,21494170
0,0,16914834,0,38,143,16917457
0,0,22368995,0,38,174,22370663
0,0,10162488,1,4,39,10166666
0,0,15204587,1,41,129,15205645
0,0,1376007,1,42,64,1377494
0,0,6402818,0,2,25,6404545
1,1,190759,0,33,5,196430
0,0,6406782,1,18,88,6407978
1,1,3665455,0,44,72,3668916
0,0,1618005,0,37,66,1619516
0,0,20919837,0,38,166,20921047
0,0,23092635,0,19,179,23094018
1,1,2393881,0,40,70,2395872
1,1,5130638,1,33,7,5133342
0,0,1679283,0,19,12,1681418
0,0,13085495,0,2,48,13088563
1,1,19532201,0,20,159,19533804
1,1,9531795,0,26,104,9534947
0,0,1114074,1,19,10,1115867
0,0,15571309,1,19,131,15572469
0,0,186996,1,37,56,189059
0,0,20624929,0,18,163,20629260
1,1,9895189,0,20,107,9897110
0,0,20643740,0,19,165,20644984
0,0,21909174,0,38,172,21910490
0,0,14736827,1,13,51,14737741
0,0,12042832,0,0,44,12043902
0,0,5693386,0,37,86,5694837
0,0,10470053,1,7,40,10471813
0,0,18901746,1,19,153,18902845
0,0,16193285,1,37,138,16194865
0,0,19067516,1,18,154,19068634
0,0,17509830,1,18,150,17510816
0,0,24164795,1,18,182,24166126
1,1,20641411,1,24,164,20643501
0,0,15717122,1,37,134,15718387
0,0,13081270,0,12,47,13085487
0,0,9817575,1,0,38,9818594
1,1,2194207,1,31,69,2196289
0,0,1535937,0,7,15,1537359
1,1,12990102,0,29,46,12991286
0,0,20185019,0,18,161,20186152
0,0,14783577,1,37,128,14784791
0,0,23554982,1,18,180,23555821
0,0,17300595,0,30,148,17302256
0,0,17930112,0,19,151,17931183
0,0,8500823,1,19,102,8501731
0,0,7320766,1,42,28,7321944
0,0,14311819,0,36,125,14313028
1,1,22702368,1,20,177,22703905
0,0,690027,1,17,0,690524
0,0,11525184,1,9,42,11526257
0,0,13563621,0,19,119,13564907
0,0,9394522,1,18,103,9395484
1,1,13799374,1,27,120,13800591
0,0,5533789,1,37,82,5535594
0,0,4960051,0,19,78,4961093
0,0,6834118,1,19,93,6835055
0,0,2147431,0,18,68,2148612
0,0,19929547,0,38,160,19933346
0,0,739147,1,37,58,740910
0,0,21499448,1,37,170,21500635
0,0,21206232,0,18,167,21207146
1,1,7431780,0,28,97,7436601
0,0,24416316,1,37,185,24417944
0,0,1533903,0,42,14,1535813
0,0,17429500,1,35,149,17430624
0,0,156131,1,18,55,157156
1,1,5652840,1,20,85,5654798
0,0,1987326,0,19,13,1988897
0,0,3721833,1,22,73,3723203
0,0,16628019,1,18,142,16629275
0,0,5417666,1,32,81,5418484
