Nationality,CommonsCategory,FirstName,CyclistName,FirstCyclingRiderId,FreebaseId,CqRankingMaleCyclistId,ProfileImage,HeightCm,MemoireDuCyclismeCyclistId,ProCyclingStatsCyclistId,BirthDate,UciRiderId,CycleBaseCyclistId,EventsParticipated,WeightKg,LastName,CyclingArchivesCyclistId,OlympediaPeopleId,BirthPlace
3,7,7,7,53723.0,40,26420.0,15,177.0,,198040,53,500320.0,69978.0,15,,28,70760,,1
2,40,36,40,2276.0,30,12843.0,53,166.0,52504.0,140292,20,67388.0,39842.0,1,58.0,39,57418,141955.0,46
16,15,13,15,706.0,19,1237.0,0,183.0,6404.0,140800,6,29164.0,7764.0,19,70.0,25,10911,120395.0,20
9,35,31,35,16672.0,39,21971.0,39,184.0,,168754,40,79462.0,48143.0,15,,57,64280,145562.0,22
7,1,1,1,20584.0,0,20697.0,11,180.0,69727.0,156131,31,86630.0,52038.0,8,68.0,10,68186,144169.0,36
17,16,14,16,7590.0,2,12719.0,28,182.0,54552.0,140949,16,71758.0,43338.0,20,66.0,55,61115,,38
5,60,54,60,139.0,15,43.0,58,177.0,20516.0,140553,1,13980.0,17795.0,20,66.0,53,8149,103619.0,40
1,58,38,58,120686.0,40,32185.0,57,176.0,,239699,61,650048.0,86971.0,16,,36,110347,,6
0,53,50,53,339.0,20,267.0,59,170.0,12313.0,140757,3,25781.0,6154.0,20,64.0,21,3175,111595.0,30
4,49,46,49,23097.0,40,21342.0,52,170.0,,178184,30,91656.0,57472.0,18,62.0,36,66785,142266.0,14
15,34,30,34,16687.0,21,21145.0,38,185.0,69005.0,132339,39,86863.0,55710.0,21,70.0,35,71405,135862.0,25
19,0,0,0,20147.0,37,18975.0,55,172.0,64111.0,133024,27,70590.0,56666.0,9,58.0,54,65132,133999.0,10
2,12,12,13,27124.0,40,23503.0,20,174.0,,181270,45,92264.0,62573.0,5,63.0,32,91205,141954.0,42
5,9,9,9,43007.0,8,23641.0,60,,,186945,43,91043.0,61573.0,4,,46,82430,142852.0,27
1,59,54,59,1783.0,18,4557.0,49,179.0,2988.0,140194,9,48167.0,3827.0,20,69.0,15,25237,,41
1,61,55,61,19274.0,5,20184.0,61,173.0,,135591,25,89133.0,58050.0,20,72.5,12,71225,,56
18,56,52,56,16724.0,3,20960.0,8,193.0,67463.0,158017,32,74994.0,47589.0,8,83.0,29,65329,146671.0,55
17,2,2,2,38.0,16,5.0,3,177.0,19443.0,140924,2,14575.0,16289.0,19,61.0,48,7005,103634.0,33
