Nationality,CommonsCategory,FirstName,CyclistName,FirstCyclingRiderId,FreebaseId,CqRankingMaleCyclistId,ProfileImage,HeightCm,MemoireDuCyclismeCyclistId,ProCyclingStatsCyclistId,BirthDate,UciRiderId,CycleBaseCyclistId,EventsParticipated,WeightKg,LastName,CyclingArchivesCyclistId,OlympediaPeopleId,BirthPlace
1,11,11,11,150.0,8,3333,15,181.0,19461.0,140752,2,44513.0,16313.0,19,74.0,30,18746,126409.0,19
3,22,22,23,35077.0,4,23334,22,170.0,,185156,20,97634.0,61866.0,5,65.0,16,100717,133265.0,27
1,31,32,32,2503.0,22,6829,36,190.0,,140704,3,57085.0,20140.0,19,71.0,18,20733,,18
16,34,35,35,45992.0,26,26526,5,176.0,,194619,35,149727.0,69634.0,12,66.0,21,115790,146565.0,17
12,2,2,2,406.0,15,4179,8,181.0,6915.0,140749,5,32691.0,8760.0,3,78.0,14,19407,121169.0,28
7,13,13,13,37359.0,26,27315,28,172.0,,186431,32,110444.0,66653.0,14,,9,99024,,21
1,8,8,8,8068.0,0,17908,32,181.0,55692.0,135468,16,75247.0,48798.0,11,64.0,27,61314,,10
8,32,33,33,2338.0,21,16666,29,176.0,55148.0,140492,10,64680.0,46998.0,2,71.0,5,48356,,9
4,17,17,18,38195.0,26,25740,21,175.0,,196424,31,112082.0,69190.0,14,,31,115868,,16
8,10,10,10,27099.0,26,24057,6,193.0,,177672,30,91640.0,61538.0,20,82.0,10,79184,136635.0,33
17,16,26,17,2325.0,24,17534,7,183.0,45660.0,140333,13,59773.0,47686.0,18,72.0,12,37589,142502.0,24
5,35,36,36,860.0,17,13080,35,180.0,54334.0,140628,12,64737.0,41885.0,15,65.0,20,58535,,20
13,18,18,19,361.0,10,2378,19,186.0,4055.0,140844,1,33493.0,1590.0,3,75.0,3,16099,120892.0,26
6,14,15,15,47830.0,26,25081,3,187.0,,196961,27,92315.0,65826.0,14,73.0,25,107521,,34
11,24,37,37,16982.0,26,26397,37,177.0,,168807,26,86807.0,,16,,18,77655,,23
8,6,6,6,26504.0,7,22020,11,183.0,,164213,23,86617.0,55719.0,14,,0,77514,,5
3,23,23,24,2276.0,20,12843,31,166.0,52504.0,140292,9,67388.0,39842.0,1,58.0,22,57418,141955.0,32
9,3,3,3,6230.0,23,18455,16,175.0,58535.0,138294,18,68778.0,50317.0,4,70.0,15,61900,1303548.0,3
20,5,5,5,16154.0,12,18498,10,187.0,,138830,15,63841.0,50824.0,6,72.0,17,58906,,35
12,25,24,25,17252.0,3,21405,34,180.0,,170313,25,86710.0,57500.0,19,65.0,8,82089,,29
19,19,19,20,27043.0,26,24293,1,182.0,,181230,29,100965.0,64374.0,19,64.0,18,102060,,11
17,24,27,27,105979.0,26,31655,24,,,229058,36,419547.0,,13,,26,155131,,30
20,33,34,34,37376.0,26,24346,30,183.0,,179111,28,100931.0,,9,,32,107949,,0
14,30,31,31,3277.0,14,13362,27,177.0,54866.0,139405,14,65995.0,41076.0,18,70.0,2,51551,,36
17,1,1,1,38.0,13,5,2,177.0,19443.0,140924,0,14575.0,16289.0,18,61.0,29,7005,103634.0,25
20,26,25,26,,18,20678,9,1.81,,132382,19,72234.0,56664.0,20,73.0,7,66001,134003.0,6
15,27,28,28,784.0,16,12193,26,184.0,9096.0,140797,8,54603.0,26009.0,0,78.0,24,30229,125137.0,38
18,24,14,14,173217.0,26,34430,4,,,269874,38,,,17,,4,161788,,14
1,15,16,16,45363.0,26,26392,20,176.0,,193131,34,148275.0,,10,69.0,19,89152,,22
12,20,20,21,16807.0,2,20760,12,187.0,,132426,24,86759.0,56210.0,14,,13,65954,145691.0,37
6,28,29,29,16816.0,6,20861,25,184.0,67077.0,155558,21,86624.0,56345.0,14,71.0,1,80972,,2
8,4,4,4,3155.0,19,10520,17,170.0,28727.0,140184,6,55032.0,27802.0,19,67.0,11,32424,,31
1,36,38,38,18258.0,5,20730,38,187.0,,168961,22,75859.0,54395.0,10,70.0,36,74709,141009.0,15
14,30,31,31,3277.0,14,13362,27,177.0,54866.0,139405,14,65995.0,41076.0,18,70.0,2,51551,,36
10,12,12,12,155993.0,26,33556,18,,,261531,37,,,17,,35,178737,,13
20,0,0,0,20147.0,25,18975,33,172.0,64111.0,133024,17,70590.0,56666.0,7,58.0,34,65132,133999.0,4
8,7,7,7,794.0,9,10023,13,175.0,10112.0,140233,7,54679.0,19630.0,19,61.0,28,22431,,7
0,29,30,30,2322.0,11,12823,0,182.0,45429.0,137337,11,58891.0,28095.0,19,71.0,6,34412,123794.0,1
8,32,33,33,2338.0,21,16666,29,176.0,55148.0,140492,10,64680.0,46998.0,2,71.0,5,48356,,9
2,21,21,22,16569.0,1,20257,23,175.0,,167585,4,86480.0,56938.0,10,64.0,33,81851,133037.0,12
3,9,9,9,77970.0,26,27024,14,164.0,,209345,33,573361.0,73302.0,8,56.0,23,140376,,8
