Gender,ViafId,FirstName,Profession,Biography,Languages,BirthDate,Birthplace
1,122143855.0,21,35,46,4,4,28
1,14818660.0,43,16,23,4,18,21
1,90362670.0,25,9,18,4,9,18
0,90640988.0,15,38,2,1,36,25
1,,17,1,11,4,26,34
0,52499070.0,33,43,40,4,20,33
1,76475847.0,12,41,40,4,41,44
1,86496671.0,41,1,3,0,49,8
1,,22,26,46,5,63,24
1,44102493.0,20,1,50,4,53,7
1,,52,38,36,4,45,44
0,,18,0,9,4,37,44
1,,23,2,12,4,38,11
1,96192363.0,47,24,35,4,14,16
1,,13,40,53,1,61,27
1,79194350.0,14,43,40,4,47,6
0,,33,12,45,4,42,44
1,8520.0,26,43,25,4,19,37
1,,31,43,40,4,54,1
1,,24,5,14,5,27,24
0,263798557.0,0,28,5,2,6,23
1,,53,3,46,5,5,19
0,10164443.0,6,22,27,4,34,44
1,15105670.0,7,43,41,4,7,36
1,112504635.0,50,37,10,4,13,13
1,,31,14,49,5,59,12
1,42170021.0,11,1,47,7,55,14
1,100896749.0,16,16,8,4,2,29
1,232216846.0,36,39,37,4,48,44
1,10080169.0,37,42,16,4,24,42
0,,3,13,48,4,56,46
1,76319000.0,42,6,15,4,16,44
1,12322472.0,26,8,17,4,17,40
1,1.5153593818451671e+19,23,28,30,4,35,32
1,209612970.0,22,31,33,4,3,39
1,4.031511726895392e+20,38,20,4,6,30,43
0,,32,17,24,4,23,44
1,311325494.0,38,44,54,9,10,34
1,68945166.0,21,43,42,4,21,31
0,,10,0,9,4,33,44
1,267459200.0,35,37,34,4,28,44
0,,38,36,46,4,60,44
1,103595097.0,9,43,40,4,50,44
0,315543509.0,49,4,13,4,51,44
0,44384726.0,5,22,28,4,22,22
0,,45,30,32,4,46,2
1,,40,7,0,5,0,21
1,173330227.0,35,21,46,4,52,0
1,,30,29,31,4,15,20
1,16068511.0,19,42,39,4,29,41
0,6.516120916383986e+19,34,18,51,5,57,35
0,,4,34,38,4,40,10
0,,48,14,49,5,62,44
0,,51,15,20,4,63,26
0,61590101.0,29,33,22,3,25,45
1,261536411.0,17,20,26,4,31,17
1,36922880.0,8,22,44,4,12,38
0,,4,29,31,4,44,44
1,164841341.0,1,27,29,4,32,4
1,100184045.0,28,25,6,2,1,15
0,187235315.0,4,43,43,4,39,44
0,,38,43,46,5,63,45
1,,16,23,21,4,43,30
1,,2,19,46,5,63,24
1,12254448.0,27,32,52,5,63,24
1,15920105.0,46,10,7,8,11,9
1,76325040.0,44,11,19,4,8,3
0,,39,0,1,10,58,5
