Gender,ViafId,FirstName,Profession,Biography,Languages,BirthDate,Birthplace
1,,355,39,304,8,2026,394
1,44454590.0,365,143,661,8,1132,97
1,,446,183,748,8,1686,381
0,90162828.0,382,206,1053,8,2043,277
1,71410192.0,271,105,489,8,1291,408
1,121729244.0,73,183,754,13,83,232
0,,43,185,1296,13,1607,573
1,,140,206,948,8,1106,704
1,,516,42,420,8,2179,726
1,,429,209,149,13,5,442
1,,91,206,993,8,823,596
1,41854454.0,548,119,568,8,2082,697
1,,404,206,1052,8,868,680
1,9.914506717456664e+19,65,98,1337,13,1035,742
1,13606253.0,140,95,313,8,1617,556
1,10643487.0,340,208,38,13,768,680
1,79070038.0,175,203,931,8,1118,680
1,39447181.0,175,273,1546,8,1138,537
1,73983258.0,409,263,1280,8,729,693
1,29416371.0,488,76,405,8,2100,680
1,314780073.0,507,200,926,8,501,36
1,169293298.0,281,8,1296,13,877,232
1,,281,38,262,8,2226,731
1,3.0615528491548705e+20,264,94,439,8,1618,680
1,,429,232,1296,13,842,505
1,,429,183,1296,13,1687,680
1,,429,8,1296,13,495,680
1,,351,159,1296,13,1770,512
1,90286064.0,211,90,433,8,1582,472
0,310662746.0,327,191,29,6,426,374
1,,224,8,1350,13,2226,442
1,,555,81,1136,8,2061,680
1,50735638.0,66,159,1481,6,645,433
1,19114282.0,481,13,169,8,1235,258
1,,379,213,1110,8,1096,680
1,33830521.0,264,183,855,8,1879,56
0,9.374155769105427e+21,10,183,1296,13,2155,530
1,75661511.0,475,206,544,8,656,384
1,230033134.0,115,100,481,8,442,573
1,,281,38,1296,13,2226,648
1,172587122.0,14,206,948,8,1828,471
1,,533,132,602,8,1879,680
1,,214,206,948,8,506,305
1,52940507.0,215,1,136,8,1877,134
1,,38,183,1499,13,409,680
1,,12,95,1296,8,668,680
1,,458,244,1178,8,2177,680
1,,14,183,799,13,1002,680
1,,115,183,858,13,919,680
1,,209,206,1296,8,1762,680
1,89339326.0,547,206,870,8,585,619
1,,449,273,1245,8,54,317
1,,528,98,474,13,785,680
1,,490,259,319,8,1270,500
1,22037684.0,281,95,1372,8,568,384
1,13102851.0,365,183,823,8,1387,284
1,162323202.0,247,38,534,8,1999,52
1,,21,30,223,13,626,384
1,68822721.0,205,76,39,13,2090,281
1,96498312.0,204,183,785,13,831,36
1,,222,38,301,8,2089,444
1,,94,13,163,8,1907,680
0,,164,273,30,13,534,309
1,,249,8,1296,13,315,680
1,,94,273,1245,13,2226,75
1,61639596.0,268,119,575,8,1371,680
1,,461,132,602,8,2083,706
1,24613735.0,222,64,138,8,1866,384
1,,271,98,478,8,1601,680
1,,33,136,636,8,1548,680
1,245077471.0,14,169,728,8,1675,680
1,,505,198,1359,13,234,495
0,59308809.0,103,273,1262,8,1292,680
1,,281,206,1296,13,212,680
1,,429,206,1296,13,234,126
1,,281,38,281,8,1550,680
1,48517312.0,292,8,1400,13,1777,680
1,49216995.0,538,40,309,8,244,680
0,,429,199,921,8,2086,610
1,9.271592346177031e+20,115,209,1082,8,2209,680
0,,185,219,1296,8,1185,680
1,,58,38,296,8,1841,680
0,5.316504813713119e+19,558,177,1182,13,931,680
1,,351,265,1082,8,1942,279
1,,246,198,421,13,218,612
1,161573050.0,126,261,1445,10,4,170
1,,355,209,1296,8,886,680
1,,88,38,516,8,1698,681
1,,403,8,1296,13,207,680
1,,54,95,453,13,647,114
1,139462803.0,94,183,777,13,724,680
1,,317,38,127,13,1329,308
1,,442,183,748,13,2226,442
1,66703759.0,170,206,1061,13,520,697
1,120542951.0,273,159,1296,13,1252,156
1,4850595.0,488,183,1296,8,2064,680
1,165325520.0,94,76,402,13,762,232
1,,288,206,976,13,655,425
1,42105875.0,365,76,386,13,570,96
1,,281,13,164,13,972,235
1,90148473.0,193,200,1401,8,1783,680
0,7410678.0,415,34,1296,8,2002,680
1,,68,51,1438,13,703,440
1,,64,38,273,8,1430,680
1,38020205.0,429,183,753,13,58,277
1,,175,159,31,13,806,347
1,,94,146,670,13,547,680
1,27938341.0,463,95,1296,8,525,697
1,10582771.0,523,268,929,13,804,530
1,,38,206,1012,8,1134,259
1,,271,154,1296,8,1764,729
1,234904144.0,485,266,1236,8,2079,235
1,45189059.0,365,30,1296,13,205,680
1,20461502.0,561,273,1262,8,764,486
1,90227678.0,151,95,444,8,834,675
1,72287237.0,94,183,832,8,1594,299
1,29896639.0,341,206,1522,8,822,680
1,311435479.0,94,218,1126,8,1406,680
1,,222,159,1538,8,1707,680
1,,280,139,1538,8,1706,316
1,210636357.0,547,273,1259,8,1581,680
1,90353492.0,271,141,1530,13,1183,457
1,70780615.0,219,120,589,8,542,317
1,41963413.0,222,203,935,8,1576,732
1,73636114.0,414,196,1296,21,1812,338
1,,397,206,114,6,480,744
1,89367690.0,486,59,354,8,455,444
1,,444,13,163,8,2201,556
1,,365,183,809,8,1238,268
1,90297489.0,38,69,378,8,1219,88
1,2.6011518379852206e+21,117,129,96,6,1007,81
1,,449,206,948,13,733,442
1,81797096.0,409,206,1049,13,346,680
1,,151,19,321,8,1823,16
1,90374323.0,365,59,365,8,1998,305
1,,429,8,1296,13,350,680
0,13860075.0,382,43,248,8,2215,680
1,88846234.0,461,108,550,8,1167,119
1,,449,206,1006,8,1000,440
1,287970297.0,411,8,1204,13,892,134
1,,37,8,1538,8,1751,680
1,,429,1,1296,13,3,442
1,178651384.0,193,76,386,8,1687,36
1,17571656.0,365,200,209,13,356,680
1,,271,38,262,8,1682,145
1,88716941.0,221,230,74,6,91,680
1,,151,183,797,13,989,176
1,18394164.0,219,241,1154,13,165,680
1,7309730.0,396,209,35,9,0,735
1,71655589.0,94,105,486,8,1623,680
1,,429,136,1296,13,2226,680
1,,94,159,1296,13,726,680
1,,561,219,1126,8,1712,680
1,11633433.0,273,76,386,13,2226,305
1,23201783.0,186,203,933,8,1122,455
1,67866029.0,403,146,669,8,2189,680
0,46055900.0,532,226,679,8,1583,680
1,36544324.0,219,159,713,8,421,201
1,,305,185,1296,13,1569,370
1,285578063.0,517,151,703,8,1944,680
1,72570132.0,281,183,1296,13,867,442
1,305118877.0,509,55,316,8,1994,16
1,9200959.0,271,213,1296,13,561,147
1,,280,206,948,8,878,680
1,45046692.0,94,90,434,8,460,680
1,29709430.0,2,156,87,13,422,743
1,,439,30,236,13,780,680
1,34754591.0,190,206,987,8,776,277
1,54481121.0,175,177,1296,13,1312,461
1,,154,102,1296,13,1333,680
1,,56,244,1178,8,1807,75
1,,429,38,277,8,1517,384
1,79419380.0,281,241,1296,13,1760,442
1,2543685.0,219,151,679,8,1497,435
1,,389,13,168,8,1217,680
1,7.507155953608842e+21,409,206,1520,8,789,192
1,,94,8,8,13,325,680
1,19835436.0,28,192,880,8,427,680
1,,281,98,313,8,1738,680
1,305300841.0,190,151,697,8,1421,23
1,,281,44,1101,8,423,680
1,,429,32,1296,13,123,680
0,,369,183,108,6,770,472
1,89060773.0,531,1,347,13,302,493
1,,429,45,1296,13,814,459
1,,204,206,1018,8,1249,645
1,34800363.0,94,69,876,8,355,680
1,,140,206,1288,13,1073,680
1,40593487.0,271,187,437,13,1137,708
0,,565,13,196,8,2034,680
1,68425962.0,273,144,668,8,174,86
1,,429,198,1296,13,1794,680
1,,555,208,1074,8,2226,680
1,201541008.0,429,133,20,13,889,680
1,74621865.0,244,151,686,8,985,444
1,18126795.0,281,95,452,13,1184,697
1,,563,250,415,8,2205,65
1,71825095.0,94,151,706,8,559,680
1,,366,159,1296,13,883,231
1,12357461.0,547,193,890,8,1110,453
1,25356086.0,179,206,583,8,675,732
1,20445026.0,143,203,1284,8,676,192
1,12492294.0,21,268,1238,8,1909,549
1,60754586.0,222,95,440,8,1689,680
1,56973656.0,487,151,690,8,1030,259
1,,483,42,1296,8,2145,33
1,173164820.0,444,206,111,6,291,680
1,,219,206,948,8,847,680
0,90360374.0,125,13,197,8,2112,121
1,6.162178786707851e+18,193,269,1543,8,1259,675
1,257457551.0,429,206,1296,13,508,154
1,79414177.0,94,206,1048,8,1697,697
1,,365,206,948,8,962,680
1,,81,8,1296,13,347,680
1,64896574.0,271,206,1031,8,1977,680
1,34841125.0,204,119,579,13,955,9
1,,429,1,331,13,2226,442
1,96161958.0,543,183,821,8,1377,556
1,88872904.0,59,133,625,8,1395,643
1,,364,8,1296,13,2226,680
1,,193,38,494,8,1206,277
1,90244736.0,219,198,1388,8,1561,60
1,5728839.0,365,183,827,13,1511,680
1,137931.0,561,59,1394,8,1687,556
1,,429,1,1296,13,2226,442
1,7516795.0,271,110,559,8,1433,298
1,14844455.0,132,151,691,8,1055,573
1,,219,95,1003,8,911,36
1,45363148.0,288,183,833,13,1604,680
1,,38,65,374,13,1368,680
0,25617809.0,385,263,1296,13,1581,384
1,,14,8,1296,13,1269,688
1,88707024.0,97,1,1090,8,128,23
1,,115,59,362,8,1936,75
1,61555758.0,280,175,739,8,385,398
1,163140779.0,281,206,948,8,1930,680
1,,281,241,1157,13,563,680
1,,281,206,948,8,531,235
1,91126212.0,281,206,948,8,2088,182
1,,18,206,948,8,599,444
1,,209,198,381,8,1141,139
1,,281,67,377,8,421,277
1,,429,8,1296,13,386,277
1,305118663.0,281,141,1382,8,1222,313
1,23060083.0,219,30,223,13,187,380
1,239984299.0,429,76,394,8,1992,680
1,68635864.0,219,228,380,8,1312,87
1,,440,38,1339,13,1278,55
1,,14,241,23,8,1350,277
1,27882418.0,408,241,1443,13,1173,384
1,69046920.0,231,213,1112,8,967,383
0,86438866.0,119,206,73,6,75,345
1,,365,248,1296,13,535,680
1,308746940.0,151,95,17,13,582,99
1,170200334.0,282,125,720,13,1136,71
1,26664098.0,38,38,493,8,2113,316
1,,212,183,1296,13,1406,119
1,34548311.0,78,141,659,8,1338,680
1,9841361.0,18,206,593,8,1678,697
1,,94,8,1296,13,463,673
1,57620242.0,271,1,1086,8,841,277
1,,271,8,1469,13,288,680
1,51704689.0,361,119,568,8,2151,16
1,19740428.0,361,247,1187,8,1982,680
1,74190132.0,54,193,1460,9,37,680
1,,479,132,1296,8,1650,277
