Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Nationality,Twitter_Username,Sport_Type,Specialty_Position,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
0,13,6162.0,2364,11,131674.0,140923,11,12324.0,7,7,4,1,17,484564,,5,5,11,15061,41,189,4,7
0,1,46381.0,18610,6,77168.0,137427,6,56596.0,3,11,1,4,10,71557,62.0,15,0,5,63999,12474,173,0,8
0,0,10227.0,3360,17,133768.0,140843,17,15207.0,4,15,0,3,3,28586,75.0,3,10,17,18086,95,185,5,3
0,8,6978.0,4377,4,7658.0,140865,4,1203.0,9,1,0,0,9,198213,76.0,7,6,3,18964,31,181,3,9
0,15,,24346,14,,179111,14,,13,6,4,0,0,100931,,18,19,14,107949,37376,183,17,8
0,2,8760.0,4179,0,42225.0,140749,0,6915.0,9,2,4,0,13,32691,78.0,8,7,0,19407,406,181,11,8
0,18,46924.0,16739,16,16023.0,139066,16,,8,14,2,0,11,68892,70.0,14,16,16,60442,3930,178,1,6
0,14,41076.0,13362,13,56034.0,139405,13,54866.0,11,9,5,2,18,65995,70.0,11,1,13,51551,3277,177,10,11
0,5,22663.0,5789,2,1529344.0,140869,2,12014.0,6,12,4,1,7,43936,69.0,4,4,1,22017,713,186,7,5
0,12,26009.0,12193,10,1940308.0,140797,10,9096.0,12,13,3,4,19,54603,78.0,9,15,10,30229,784,184,12,8
0,10,9290.0,84,7,138273.0,140549,7,14484.0,14,3,4,5,2,11232,60.0,0,9,6,4044,4,171,9,12
0,16,39842.0,12843,9,1311517.0,140292,9,52504.0,2,5,4,1,15,67388,58.0,10,14,8,57418,2276,166,14,2
0,5,22663.0,5789,2,1529344.0,140869,2,12014.0,6,12,4,1,7,43936,69.0,4,4,1,22017,713,186,7,5
0,10,9290.0,84,7,138273.0,140549,7,14484.0,14,3,4,5,2,11232,60.0,0,9,6,4044,4,171,9,12
0,17,47214.0,16722,15,34792.0,140674,15,46202.0,1,10,0,4,12,64531,71.0,13,18,15,52973,6228,183,15,1
0,4,5172.0,161,1,,140762,1,11434.0,0,6,3,0,5,13388,68.0,1,3,9,5689,86,174,6,0
0,11,,28521,8,704.0,206257,8,,1,4,4,1,1,154218,,19,17,7,118544,70377,174,17,8
0,19,11585.0,1994,18,569371.0,140778,18,16105.0,5,16,4,1,6,28378,65.0,2,12,18,13069,133,181,13,4
0,9,20041.0,6807,12,61270.0,140781,12,28206.0,10,8,4,1,8,32596,67.0,6,2,12,21225,114,182,8,10
0,6,46049.0,19242,3,,139823,3,39932.0,7,0,1,2,16,69149,80.0,16,13,2,43239,7730,183,16,7
0,3,55192.0,19941,19,31137.0,135398,19,58156.0,1,17,4,0,4,86228,75.0,12,8,19,59790,10971,180,2,1
0,7,59981.0,22676,5,,170164,5,69592.0,5,6,4,0,14,95753,69.0,17,11,4,81741,28781,182,17,4
0,12,26009.0,12193,10,1940308.0,140797,10,9096.0,12,13,3,4,19,54603,78.0,9,15,10,30229,784,184,12,8
0,13,6162.0,2364,11,131674.0,140923,11,12324.0,7,7,4,1,17,484564,,5,5,11,15061,41,189,4,7
