StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GenomicStartPosition
0,8103004,106,106,4,8101955
0,11083412,143,143,0,11082702
1,399424,2,2,4,398357
0,7318448,95,95,4,7317402
0,13676580,185,185,4,13675672
1,12922778,167,167,4,12921741
1,10063828,124,124,4,10062812
1,1070261,10,10,4,1069203
1,650633,5,5,4,649602
0,15869900,219,219,4,15868737
0,2618113,26,26,4,2617085
1,1075153,11,11,4,1074146
0,10697961,135,135,4,10696900
1,14736174,194,194,4,14735137
1,3870901,50,50,4,3869591
1,12752736,164,164,4,12751600
1,6052501,81,81,4,6051458
0,6172949,82,82,4,6171900
0,11908845,156,156,4,11907763
1,11795184,151,151,4,11794162
0,11839496,153,153,4,11838489
1,1091068,13,13,4,1090040
1,6854082,87,87,4,6852934
0,12776244,166,166,4,12775180
1,4722229,60,60,7,4721465
0,12024392,159,159,3,12023694
1,5635227,71,71,4,5634100
0,10700280,136,136,4,10699264
0,3201152,41,41,4,3200130
1,11821242,152,152,4,11820139
0,12975701,169,169,4,12974564
0,2623678,27,27,4,2622551
0,14061641,188,188,4,14060619
1,5560013,67,67,4,5558991
0,3396906,42,42,4,3395821
0,6300408,84,84,4,6299350
1,8611154,109,109,3,8610666
0,11033475,139,139,4,11032478
1,9100845,115,115,4,9099808
0,2062955,21,21,4,2061858
0,15249720,203,203,4,15248707
0,4217830,57,57,4,4216805
1,11636458,150,150,4,11635427
0,7499541,96,96,4,7498552
1,14268702,191,191,9,14267807
1,6860436,88,88,9,6859351
0,15293907,206,206,4,15292789
1,6544562,85,85,4,6543552
0,11039441,140,140,0,11038383
1,6552221,86,86,4,6551190
1,10175978,127,127,4,10174812
1,3909879,51,51,4,3908887
1,10615448,131,131,4,10614405
0,7781,223,223,2,6699
0,5883590,77,77,4,5882568
0,4198138,56,56,7,4197374
0,6876412,89,89,4,6875396
1,13238507,175,175,4,13237458
1,9111286,117,117,3,9110645
1,5610557,70,70,4,5609394
0,7242533,94,94,4,7241340
1,15463627,210,210,4,15462293
0,11072966,142,142,4,11071767
1,13471047,179,179,4,13469977
0,6899142,90,90,4,6898102
1,15548039,214,214,4,15547005
0,4189414,55,55,4,4188470
1,8548650,107,107,3,8547976
1,1968691,20,20,4,1967645
1,13487826,180,180,4,13486831
0,12668918,163,163,4,12667941
1,14803568,195,195,4,14802528
1,9245357,118,118,4,9244299
0,10443593,128,128,4,10442556
1,10142961,125,125,4,10142038
1,11417113,149,149,4,11416202
1,3839108,49,49,0,3838143
0,15245981,202,202,4,15245001
1,4824791,62,62,4,4823715
0,11044403,141,141,0,11043360
1,996150,7,7,4,995096
1,2610589,24,24,3,2610110
1,1948983,19,19,4,1947973
0,12986117,170,170,6,12985017
1,8615199,110,110,4,8613943
0,3159817,37,37,3,3159308
0,5572292,69,69,7,5571425
1,10868784,137,137,4,10867744
1,15381893,207,207,4,15380895
0,2675101,30,30,4,2674088
1,13656596,182,182,1,13655969
1,15734997,217,217,4,15733954
0,8069706,104,104,9,8068948
0,1530030,17,17,4,1528990
0,15617770,215,215,9,15617138
1,8558806,108,108,4,8557664
0,13261045,176,176,5,13259773
0,6795,221,221,2,5740
0,14315393,193,193,4,14314118
0,5692621,74,74,4,5691785
0,13209191,174,174,4,13208058
1,13010781,171,171,4,13009759
1,5645777,72,72,4,5644764
1,2612985,25,25,4,2611942
1,3481477,45,45,4,3480417
0,9056363,113,113,4,9055323
0,11931847,158,158,4,11930744
0,10674708,132,132,4,10673665
1,12650587,162,162,0,12650045
1,972563,6,6,4,971490
1,15771876,218,218,4,15770842
1,14074478,190,190,4,14073441
1,1872491,18,18,4,1871409
1,12769646,165,165,4,12768564
0,361146,1,1,4,360103
1,7128584,92,92,4,7127547
0,2221558,22,22,4,2220551
0,10690268,134,134,4,10689213
1,9964559,122,122,4,9963528
0,10920821,138,138,4,10919787
0,13149864,172,172,4,13148833
0,8079661,105,105,4,8078567
1,3487364,46,46,4,3486321
1,7990190,103,103,1,7989512
1,7603987,97,97,4,7602974
0,15486768,212,212,4,15485722
1,15261276,204,204,4,15260260
0,4009957,52,52,4,4008911
0,13934901,186,186,4,13933864
0,3823268,48,48,4,3822219
0,2827664,32,32,4,2826519
0,12497012,161,161,3,12496449
1,9286248,119,119,6,9285097
0,2667781,29,29,4,2666693
1,7187489,93,93,4,7186437
0,14293891,192,192,3,14293424
1,9110101,116,116,4,9109139
0,1324875,16,16,4,1323609
1,13641800,181,181,4,13640808
0,13431354,178,178,4,13430320
1,4661896,59,59,4,4660850
1,2664952,28,28,4,2663984
1,13192541,173,173,7,13191587
1,11897827,155,155,4,11896778
0,1066919,9,9,3,1066278
1,2860949,33,33,4,2860035
0,5566967,68,68,4,5565966
0,13667314,184,184,4,13666319
1,14830154,197,197,4,14829021
0,11923602,157,157,4,11922572
1,9956399,121,121,4,9955395
1,2822219,31,31,4,2821179
1,8826363,111,111,4,8825320
1,11297800,147,147,4,11296739
0,15489415,213,213,4,15488432
1,59537,0,0,4,58254
0,5887238,78,78,4,5886189
0,3176182,39,39,4,3175151
0,7984382,101,101,4,7983354
0,1472,222,222,2,486
0,13936712,187,187,4,13935648
1,5873017,76,76,4,5871956
1,2920896,35,35,4,2919856
1,10043962,123,123,4,10042970
1,4520224,58,58,1,4519742
0,12243235,160,160,4,12242201
1,2610070,23,23,0,2609618
1,15158519,198,198,4,15157458
1,417139,3,3,9,416217
1,10611003,130,130,4,10610206
1,11866115,154,154,4,11865042
1,15394076,208,208,4,15393006
1,6186983,83,83,1,6186102
1,5429692,66,66,4,5428637
0,4724246,61,61,4,4723203
0,7622452,98,98,8,7621428
0,3162199,38,38,4,3161144
0,5405356,65,65,4,5404328
0,484416,4,4,4,483379
0,1004471,8,8,4,1003449
1,3423184,44,44,4,3422180
1,5267560,64,64,4,5266538
0,7895464,100,100,4,7894349
1,1077793,12,12,4,1076726
1,10169864,126,126,4,10168681
1,4111482,54,54,4,4110442
0,15673392,216,216,4,15672376
0,7988125,102,102,4,7987085
0,15267586,205,205,4,15266558
0,13411218,177,177,4,13409911
1,15414841,209,209,4,15413789
0,3700998,47,47,4,3699940
1,14064855,189,189,3,14064382
0,3178687,40,40,4,3177749
0,6024898,80,80,4,6023867
1,3084352,36,36,4,3083339
1,15162378,199,199,4,15161341
0,10679542,133,133,4,10678550
1,15165420,200,200,4,15164305
1,11287144,146,146,4,11286161
0,11087969,144,144,4,11086974
1,10450524,129,129,4,10449451
0,3399964,43,43,4,3398924
1,2862055,34,34,4,2861071
1,13661537,183,183,4,13660515
1,14825310,196,196,4,14824249
0,1234497,15,15,4,1233469
1,9900372,120,120,4,9899356
1,11415026,148,148,4,11413865
1,15238298,201,201,1,15237602
1,9042467,112,112,4,9041418
0,7716955,99,99,3,7716260
1,9079565,114,114,4,9078525
1,5656284,73,73,4,5655262
0,5100506,63,63,4,5099562
1,12934241,168,168,4,12933154
0,6976684,91,91,3,6976217
0,16053176,220,220,4,16052157
1,1105831,14,14,4,1104776
1,11282491,145,145,1,11281705
1,4105134,53,53,4,4104049
0,5934829,79,79,3,5934188
1,15475077,211,211,0,15474151
0,5847896,75,75,4,5846877
