Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,674303,18,18,3,1,673725
1,947466,44,44,6,34,947014
0,570089,28,28,3,21,569511
1,478865,39,39,3,0,478194
1,1661430,20,20,1,29,1660327
0,9043,56,56,3,25,8369
1,605502,69,69,3,5,604933
1,1573901,40,40,1,29,1573260
0,37689,23,23,3,33,37021
1,4852,25,25,3,7,4175
0,509037,87,87,3,29,508240
0,1104782,83,83,3,0,1104102
1,670988,35,35,3,20,670362
1,1346554,53,53,4,3,1345826
1,1154177,67,67,1,21,1153497
1,1507852,61,61,1,39,1507205
0,226568,60,60,4,24,225903
0,1732531,57,57,3,39,1731896
0,2154696,63,63,3,33,2154196
0,1153891,12,12,3,26,1153361
0,1164151,80,80,3,0,1163459
0,430900,27,27,3,15,430274
1,23414,75,75,3,0,22770
0,1142124,79,79,3,0,1141357
0,1170502,54,54,3,1,1169873
0,487905,32,32,4,31,487330
1,1565614,1,1,3,29,1565111
1,743660,17,17,3,38,742947
0,40393,26,26,3,13,39713
0,1064488,68,68,3,21,1063814
1,458055,70,70,1,8,457426
0,17347,21,21,3,8,16595
0,16318,36,36,3,18,15653
0,905931,43,43,3,8,905182
1,388745,86,86,4,12,388080
0,28212,65,65,3,23,27637
1,1702393,5,5,3,39,1701380
1,547641,34,34,3,28,547144
0,10697,77,77,3,37,10023
0,738855,29,29,3,34,738181
1,590414,58,58,3,0,589821
0,136301,84,84,3,4,135930
1,179239,38,38,3,0,178622
1,17274,14,14,1,11,16765
1,430064,9,9,4,24,429414
1,18257,76,76,1,27,17595
0,7133,46,46,1,9,6462
0,17466,31,31,3,17,16792
0,624606,16,16,3,12,623983
0,1721960,42,42,4,17,1721430
0,7796,51,51,3,36,7137
1,1654501,41,41,1,39,1653854
1,1832,13,13,1,14,1149
1,2105453,24,24,3,12,2104848
0,11162,78,78,3,2,10509
1,20358,64,64,3,23,19783
1,1548861,62,62,3,39,1548016
0,974933,47,47,3,12,974307
1,1690792,4,4,3,39,1690151
0,9429,45,45,3,22,8836
1,840636,6,6,3,12,840031
0,755,55,55,3,35,93
0,1091842,81,81,3,0,1091081
1,4297,74,74,3,19,3704
0,989314,48,48,1,12,988862
0,381646,10,10,3,38,381053
1,5579,85,85,3,24,4953
0,1192387,82,82,3,0,1191707
0,405260,3,3,3,0,404595
0,25270,49,49,3,16,24593
0,468982,19,19,3,11,468374
0,1728460,2,2,2,40,1728161
0,490761,72,72,3,21,490084
1,524975,59,59,3,0,524382
0,587573,73,73,3,34,586902
0,4340,22,22,3,16,3579
1,5600,52,52,0,6,4947
1,2529,30,30,5,12,1873
0,3403,15,15,1,10,2810
0,71817,11,11,1,4,71311
0,1266,0,0,3,30,595
0,475933,71,71,1,34,475256
0,1682099,8,8,3,33,1681482
1,7594,7,7,3,32,6935
1,472195,50,50,3,23,471323
0,4574,33,33,1,6,3870
0,1728056,37,37,1,39,1727928
1,68829,66,66,3,23,68515
