Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,301826,242,242,2,91,299487
1,32772,97,97,1,119,29866
1,373899,29,29,2,28,371611
1,721934,74,74,2,36,719244
0,428427,87,87,3,85,425755
1,1516533,43,43,2,63,1514173
0,465591,162,162,2,115,462814
1,54199,32,32,2,48,51578
1,952113,116,116,1,41,949273
1,1062895,234,234,2,87,1060310
1,199898,36,36,1,95,197364
0,404584,119,119,2,94,402206
0,473501,203,203,3,125,470631
0,246580,86,86,2,6,243767
0,33755,27,27,2,57,30969
0,355891,244,244,2,119,353552
1,993191,44,44,2,63,990858
1,1150558,193,193,1,90,1147775
0,1152306,222,222,2,118,1149583
0,1161129,167,167,2,114,1158613
1,32977,216,216,1,117,30248
1,33431,26,26,2,100,30843
0,184674,6,6,2,97,182293
1,1757922,189,189,2,35,1755496
0,553480,174,174,3,67,550610
0,16153,30,30,2,48,13502
1,292921,245,245,2,122,290183
0,256062,179,179,2,124,253732
0,25495,50,50,2,100,22811
1,8691,196,196,2,31,6085
1,180436,213,213,2,46,177890
1,15222,212,212,2,8,12538
0,849988,206,206,2,81,847319
1,1966199,103,103,2,42,1963551
0,546874,143,143,2,108,544250
0,1024944,233,233,2,87,1022305
0,519004,251,251,2,76,516413
0,1176004,166,166,2,107,1173581
1,82609,138,138,3,44,79808
1,447956,177,177,2,66,445458
0,735391,129,129,2,75,733043
0,1102343,226,226,2,79,1099539
0,1314205,89,89,2,114,1311887
1,1034195,209,209,2,5,1031508
1,204433,62,62,2,47,201761
1,1800605,108,108,2,75,1797939
1,125132,80,80,2,49,122370
0,17633,22,22,1,66,14982
0,4209,122,122,2,69,1423
0,187941,232,232,2,39,185287
0,1065877,199,199,2,113,1063010
0,425184,136,136,2,55,422410
0,513629,257,257,3,84,510834
1,568671,173,173,2,2,566338
0,1123469,221,221,1,96,1120611
0,432436,159,159,1,63,429818
1,218715,55,55,2,72,215884
1,86749,153,153,1,70,84020
0,396102,69,69,1,95,393418
0,107074,254,254,1,74,104540
0,622377,41,41,2,10,620053
0,389747,164,164,1,130,387120
0,422008,201,201,2,34,419294
0,185153,24,24,2,132,182502
0,378614,163,163,2,89,375975
0,309384,110,110,2,124,306937
1,585607,81,81,2,122,583331
0,7162,20,20,2,48,4697
1,650434,39,39,3,40,647633
1,23290,218,218,2,75,20606
0,9867,60,60,2,100,7462
1,442799,202,202,1,50,439932
0,1713823,8,8,2,88,1711409
0,700388,15,15,2,109,697620
0,14845,47,47,3,52,11996
0,8092,214,214,2,45,5759
1,13979,198,198,1,0,11352
0,1053239,112,112,2,3,1050549
0,15062,85,85,2,48,12438
1,1100880,195,195,1,41,1098211
1,8115,172,172,3,47,5269
1,379418,170,170,2,53,376740
1,2047179,185,185,2,82,2044399
0,585177,205,205,3,24,582301
0,475012,142,142,2,116,472298
0,1324430,88,88,2,63,1322082
0,1156973,236,236,2,32,1154469
1,9580,197,197,1,40,6749
