WikimediaFocusList,EncyclopdiaBritannicaOnlineId,YsoId,OnlinePwnEncyclopediaId,YsaId,CommonsCategory,UnescoThesaurusId,YleTopicId,WikiKidsId,NamuwikiId,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,FrenchVikidiaId,MainTemplate,EuKnowledgeGraphItemId,BibliothequeNationaleDeFranceId,ZhihuTopicId,MainCategory,BabelNetId,KBpediaId,NationalLibraryOfIsraelJ9uId,KlexikonArticleId,KrugosvetArticle,LibraryOfCongressAuthorityId,WordNet31SynsetId,UkParliamentThesaurusId,NicoNicoPediaId,NlCrAutId,NdlAuthorityId,GndId,IabCode,GitHubTopic,DeweyDecimalClassification,LoCAndMarcVocabulariesId,FactGridItemId,DenStoreDanskeId,BbcThingsId,FreebaseId,StoreNorskeLeksikonId,OmegaWikiDefinedMeaning
0,0,14417.0,3870569.0,3,0,8,5,0,4,0,1825637.0,6,0,7,,19576130.0,0,0,1,9.870072947096051e+17,0,1,0,11,419225.0,1,3,560295.0,11,1038.0,1,10,0,7,0,4,10,1,6093.0
0,3,2573.0,3869480.0,4,3,7,3,3,5,3,1821310.0,1,0,0,119308987.0,19553528.0,3,2,3,9.870075458792051e+17,2,0,3,4,9946.0,10,0,561788.0,0,1068.0,4,0,3,1,1,0,2,3,5685.0
0,9,7643.0,3968998.0,1,9,4,1,9,2,9,3521628.0,8,5,10,,19574202.0,9,7,9,9.870075485322052e+17,8,8,9,3,417762.0,8,9,569746.0,1,1166.0,9,7,9,0,5,5,7,9,6092.0
0,11,10426.0,3990072.0,8,11,6,6,11,0,11,4209912.0,9,0,4,,19660578.0,11,9,11,9.870075560319052e+17,10,9,11,0,,5,10,573335.0,7,1195.0,11,9,11,6,7,2,3,0,6296.0
0,4,12148.0,3947380.0,7,4,5,2,2,1,4,2258617.0,0,2,11,119756721.0,19575020.0,4,4,4,9.870075654497052e+17,1,5,4,5,423342.0,6,2,561611.0,4,1063.0,6,1,4,2,8,7,6,11,5688.0
1,7,19806.0,3929175.0,0,7,10,8,6,8,7,2125195.0,5,0,8,,,7,10,7,9.870075484770052e+17,5,11,7,10,417955.0,0,7,567049.0,9,1118.0,8,6,7,0,3,6,9,6,6226.0
0,10,12398.0,3912045.0,5,10,0,0,10,3,10,2024508.0,2,0,3,119312813.0,19571417.0,10,8,10,9.870075657378052e+17,9,3,10,8,423683.0,4,11,571703.0,3,1070.0,10,4,10,3,6,3,8,10,5692.0
1,2,15311.0,3947172.0,0,2,11,8,7,0,2,4046950.0,7,0,1,,,2,10,2,9.870075654779052e+17,6,6,2,6,,3,1,568910.0,10,1146.0,3,2,2,4,4,6,1,7,5684.0
1,1,12754.0,3951889.0,2,1,9,7,1,0,1,1830971.0,6,1,6,120145318.0,,1,1,0,9.870072949841052e+17,7,2,1,2,,0,4,560354.0,8,1093.0,2,8,1,8,0,6,11,2,6015.0
0,8,15895.0,3956075.0,0,8,2,8,8,0,8,2332826.0,6,4,9,119365051.0,19638301.0,8,3,8,9.870075364854052e+17,7,7,8,9,,7,8,569099.0,2,1073.0,5,5,8,0,0,1,4,8,6239.0
1,5,9203.0,3997127.0,6,5,3,4,4,6,5,2027590.0,3,0,2,119355095.0,19599064.0,5,5,5,9.870075653991052e+17,3,4,5,7,,2,5,564305.0,5,1103.0,0,3,5,5,2,6,0,4,6063.0
0,6,19175.0,3916950.0,0,6,1,8,5,7,6,4919813.0,4,3,5,,19565918.0,6,6,6,9.870075315467052e+17,4,10,6,1,423322.0,9,6,568376.0,6,1105.0,7,10,6,0,0,8,5,5,6220.0
