StrandOrientation,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,320234,146,0,15,319014
1,81801,40,0,45,80905
1,15410,227,1,38,14340
0,2162466,66,0,19,2161639
0,779639,95,1,14,778437
1,1098996,240,0,18,1097833
1,444826,202,0,14,443996
0,1077230,228,0,15,1076451
1,33929,170,0,2,32910
0,1422032,55,0,19,1421220
0,745129,162,1,8,744176
0,432927,247,0,5,431740
0,18040,108,0,58,16886
1,402910,138,0,14,402068
0,1153229,241,0,18,1151997
1,750678,155,0,18,750031
1,9906,4,0,23,8728
1,12258,154,0,69,11053
1,2202990,65,0,19,2202343
0,1011398,158,0,18,1010715
0,375897,23,0,19,375253
1,992655,212,0,14,991897
1,4632,136,0,32,3406
0,581117,206,0,14,580287
1,493669,120,1,15,492404
1,749602,56,0,19,748862
0,1832,61,0,47,591
0,223492,245,1,5,222386
1,1088191,239,0,18,1087412
0,822069,209,0,14,821287
0,10709,219,1,78,9531
0,23056,194,0,74,22262
0,691455,92,0,14,690643
0,497406,34,1,4,496306
1,365512,36,0,4,364310
0,9985,150,0,66,9303
0,4174,29,1,42,2966
0,1070767,197,0,14,1069991
1,599280,205,0,14,598465
1,26139,27,0,42,25351
1,226729,43,0,12,226322
0,204825,243,0,5,203728
1,394684,22,0,14,394031
0,1897997,127,0,18,1897239
1,1860,163,0,70,1114
0,589228,207,0,14,588062
0,400728,177,0,15,399566
0,617253,208,0,14,616495
0,381597,14,1,9,380962
0,1428734,54,0,19,1428093
1,1968229,125,0,18,1967444
0,13702,26,1,41,12743
0,1193619,233,0,15,1192936
0,217780,244,0,5,216641
0,17599,79,1,51,16553
0,1057942,132,0,14,1056725
1,663709,105,0,18,662936
0,1471918,184,0,17,1470884
1,884301,140,1,14,883339
0,18090,97,0,53,17131
1,1783506,129,0,18,1782673
0,1194158,234,0,15,1193721
1,5205,98,1,54,4201
0,177073,106,1,20,175745
0,153559,236,0,80,152606
0,4472,217,0,76,3321
1,979496,116,0,19,978543
1,1905082,69,0,19,1904309
1,27009,45,1,28,25858
0,38006,198,0,75,37197
0,1221966,179,0,17,1220947
1,227094,18,0,12,226831
0,76658,39,1,45,76494
1,987733,114,0,19,987176
1,937169,157,1,18,936387
1,416187,121,0,15,415021
1,983808,115,0,19,982858
1,497744,119,1,15,496932
1,3831,171,1,73,3070
0,3587,164,1,71,2544
1,10011,38,0,44,9199
0,1474427,53,0,19,1473666
0,36547,224,0,37,35690
1,531335,175,0,1,530982
1,477748,118,1,15,476525
1,1925877,68,1,19,1925107
1,1564778,74,0,19,1564014
0,1106541,229,0,15,1105297
1,15525,110,0,31,14710
1,2102,112,1,59,1101
1,178084,111,0,16,176870
1,712890,93,0,14,712129
1,652441,52,1,7,651695
0,855470,139,0,14,854496
1,1677,77,0,49,712
0,301271,147,0,15,300510
0,11639,199,1,75,10170
1,2202884,186,0,18,2202237
1,1487286,182,0,17,1486264
1,2879,134,0,62,2091
0,12102,221,0,35,11231
1,563168,90,1,14,561921
1,12897,5,0,24,11857
0,878597,142,0,14,877761
0,2640,173,1,33,1327
1,2089274,124,0,18,2088630
0,384191,37,0,4,383100
0,137805,160,1,12,136807
1,77581,8,0,7,76523
0,684782,58,0,19,683826
0,914563,156,0,18,913814
0,31139,62,0,48,29922
0,1247221,181,1,17,1246121
1,1222996,107,0,19,1222181
0,297062,81,0,14,295851
0,1049347,133,0,14,1048619
1,36628,46,0,28,35402
1,1131697,172,1,19,1130438
0,31870,223,0,37,31118
1,363876,159,0,12,363610
1,946792,6,0,14,945539
0,2901,222,1,36,1762
0,1639752,123,0,17,1638709
0,550504,49,0,6,549704
1,17814,237,0,80,16873
1,826530,12,0,18,825718
0,335,10,0,25,3
1,7239,185,1,0,5971
0,41030,152,1,68,39978
0,19059,168,0,72,18244
0,1188618,195,0,14,1187623
0,1745136,193,0,19,1744339
1,2521,109,1,58,1283
0,250812,145,0,15,249592
0,731234,57,0,19,730422
1,1075329,3,0,14,1075195
1,182780,42,1,12,181743
0,492438,203,0,14,491209
0,1604402,190,0,18,1603254
1,11189,50,0,46,10047
1,13960,13,1,26,13361
0,39296,63,0,48,38151
1,375903,35,0,4,374896
0,12268,238,0,81,10958
1,2097143,192,0,19,2096334
0,13009,153,0,68,11804
0,571633,48,0,6,570836
1,11743,225,0,37,10985
0,556235,174,1,1,555144
0,1165493,231,0,15,1164663
1,613080,201,1,10,611866
1,9178,76,0,29,8375
1,2165485,187,0,18,2164835
0,41345,80,1,30,40839
0,29968,166,1,72,28721
0,358168,103,0,18,357524
1,517373,21,1,14,516597
0,37518,31,0,27,36670
0,1588977,122,0,17,1588012
1,1147481,178,0,17,1146423
0,15379,220,0,78,14528
0,77977,41,0,3,77144
0,658646,91,0,14,657867
1,3650,149,0,65,2478
1,551759,89,1,14,550737
0,79682,169,0,13,78918
1,614,51,0,46,222
1,1921338,126,1,18,1920505
1,295086,101,1,12,293887
0,1173402,232,0,15,1172566
1,37248,167,0,72,35989
1,55904,32,1,27,55386
0,1887968,128,1,18,1886823
1,489292,88,1,5,488510
1,13082,113,0,60,12327
0,386514,176,0,15,385279
0,832741,211,0,14,831566
0,28969,25,0,40,28568
0,738,2,0,22,1
0,5008,9,0,25,4142
1,287088,100,1,12,285889
0,14090,64,0,48,12945
1,1026,226,0,79,841
0,1863,104,0,57,1015
1,2029082,19,0,19,2027874
0,445921,17,1,4,445157
0,251858,20,0,14,251211
