Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,320234,147,0,319014,0
0,81801,41,0,80905,1
1,15410,226,1,14340,1
0,2162466,67,0,2161639,0
1,779639,95,1,778437,0
0,1098996,239,0,1097833,1
0,444826,201,0,443996,1
0,1077230,227,0,1076451,0
0,33929,169,0,32910,1
0,1422032,56,0,1421220,0
1,652441,53,1,651695,1
0,402463,87,0,401243,0
0,18040,108,0,16886,0
0,402910,139,0,402068,1
0,1153229,240,0,1151997,0
0,750678,156,0,750031,1
0,9906,4,0,8728,1
0,12258,155,0,11053,1
0,2202990,66,0,2202343,1
0,1011398,159,0,1010715,0
0,375897,24,0,375253,0
0,992655,211,0,991897,1
0,4632,137,0,3406,1
0,581117,205,0,580287,0
1,493669,121,1,492404,1
0,749602,57,0,748862,1
0,1832,62,0,591,0
0,217780,244,0,216641,0
0,1088191,238,0,1087412,1
0,822069,208,0,821287,0
1,10709,218,1,9531,0
0,23056,193,0,22262,0
0,691455,92,0,690643,0
1,497406,35,1,496306,0
0,365512,37,0,364310,1
0,9985,151,0,9303,0
1,4174,30,1,2966,0
0,1070767,196,0,1069991,0
0,599280,204,0,598465,1
0,26139,28,0,25351,1
1,182780,43,1,181743,1
0,196658,242,0,195561,0
0,394684,23,0,394031,1
0,1897997,128,0,1897239,0
0,1860,163,0,1114,1
0,589228,206,0,588062,0
0,400728,176,0,399566,0
0,617253,207,0,616495,0
1,745129,162,1,744176,0
0,1428734,55,0,1428093,0
0,1968229,126,0,1967444,1
1,13702,27,1,12743,0
0,1193619,232,0,1192936,0
0,210588,243,0,209491,0
1,17599,80,1,16553,0
0,1057942,133,0,1056725,0
0,663709,105,0,662936,1
0,1471918,183,0,1470884,0
1,884301,141,1,883339,1
0,18090,97,0,17131,0
0,1783506,130,0,1782673,1
0,1194158,233,0,1193721,0
1,5205,98,1,4201,1
1,177073,106,1,175745,0
0,153559,235,0,152606,0
0,4472,216,0,3321,0
0,979496,116,0,978543,1
0,1905082,70,0,1904309,1
1,27009,46,1,25858,1
0,38006,197,0,37197,0
0,1221966,178,0,1220947,0
0,226729,44,0,226322,1
1,76658,40,1,76494,0
0,987733,114,0,987176,1
1,937169,158,1,936387,1
0,416187,122,0,415021,1
0,983808,115,0,982858,1
1,497744,120,1,496932,1
1,3831,170,1,3070,1
1,3587,164,1,2544,0
0,10011,39,0,9199,1
0,1474427,54,0,1473666,0
0,36547,223,0,35690,0
0,531335,174,0,530982,1
1,477748,119,1,476525,1
1,1925877,69,1,1925107,1
0,1564778,75,0,1564014,1
0,1106541,228,0,1105297,0
0,15525,110,0,14710,1
1,2102,112,1,1101,1
0,178084,111,0,176870,1
0,712890,93,0,712129,1
0,77581,8,0,76523,1
0,855470,140,0,854496,0
0,1677,78,0,712,1
0,301271,148,0,300510,0
1,11639,198,1,10170,0
0,2202884,185,0,2202237,1
0,1487286,181,0,1486264,1
0,2879,135,0,2091,1
0,12102,220,0,11231,0
1,563168,90,1,561921,1
0,12897,5,0,11857,1
0,878597,143,0,877761,0
1,2640,172,1,1327,0
0,2089274,125,0,2088630,1
0,384191,38,0,383100,0
0,323886,161,0,323095,1
0,571633,49,0,570836,0
0,684782,59,0,683826,0
0,914563,157,0,913814,0
0,31139,63,0,29922,0
1,1247221,180,1,1246121,0
0,1222996,107,0,1222181,1
0,297062,82,0,295851,0
0,1049347,134,0,1048619,0
0,36628,47,0,35402,1
1,1131697,171,1,1130438,1
0,31870,222,0,31118,0
1,295086,101,1,293887,1
0,946792,6,0,945539,1
1,2901,221,1,1762,0
0,1639752,124,0,1638709,0
0,644758,118,0,643769,0
0,17814,236,0,16873,1
0,826530,13,0,825718,1
0,335,10,0,3,0
1,7239,184,1,5971,1
1,41030,153,1,39978,0
0,19059,168,0,18244,0
0,1188618,194,0,1187623,0
0,1745136,192,0,1744339,0
1,2521,109,1,1283,1
0,250812,146,0,249592,0
0,731234,58,0,730422,0
0,1075329,3,0,1075195,1
1,137805,160,1,136807,0
0,492438,202,0,491209,0
0,1604402,189,0,1603254,0
0,11189,51,0,10047,1
1,13960,14,1,13361,1
0,39296,64,0,38151,0
0,375903,36,0,374896,1
0,12268,237,0,10958,0
0,2097143,191,0,2096334,1
0,13009,154,0,11804,0
0,550504,50,0,549704,0
0,11743,224,0,10985,1
1,556235,173,1,555144,0
0,1165493,230,0,1164663,0
1,381597,15,1,380962,0
0,9178,77,0,8375,1
0,2165485,186,0,2164835,1
1,41345,81,1,40839,0
1,29968,166,1,28721,0
0,358168,103,0,357524,0
1,517373,22,1,516597,1
0,37518,32,0,36670,0
0,1588977,123,0,1588012,0
0,1147481,177,0,1146423,1
0,15379,219,0,14528,0
0,77977,42,0,77144,0
0,658646,91,0,657867,0
0,3650,150,0,2478,1
1,551759,89,1,550737,1
1,35179,45,1,34406,1
0,614,52,0,222,1
1,1921338,127,1,1920505,1
1,287088,100,1,285889,1
0,1173402,231,0,1172566,0
0,37248,167,0,35989,1
1,55904,33,1,55386,1
1,1887968,129,1,1886823,0
0,432927,247,0,431740,0
0,13082,113,0,12327,1
0,386514,175,0,385279,0
0,832741,210,0,831566,0
0,28969,26,0,28568,0
0,738,2,0,1,0
0,5008,9,0,4142,0
0,227094,19,0,226831,1
0,14090,65,0,12945,0
0,1026,225,0,841,1
0,1863,104,0,1015,0
0,2029082,20,0,2027874,1
1,445921,18,1,445157,0
0,247162,12,0,246347,0
0,1022329,213,0,1021526,1
0,23025,136,0,22318,0
0,1675,215,0,854,1
1,26635,165,1,25832,0
0,2151652,68,0,2150759,1
0,2155792,187,0,2155145,0
0,392050,88,0,391007,0
0,19523,48,0,18321,1
0,1687805,72,0,1687044,0
0,10624,96,0,9845,0
0,266241,144,0,265438,0
0,313431,85,0,312547,0
0,486743,60,0,485586,0
0,277578,84,0,276769,0
1,827468,209,1,826311,1
0,1047,1,0,259,0
0,265814,200,0,265029,1
0,18784,99,0,18002,0
0,997273,212,0,996476,1
0,305564,86,0,304740,0
1,13592,102,1,12324,1
0,30765,29,0,29968,1
0,422034,17,0,420934,0
0,941707,7,0,940901,1
0,12388,138,0,11468,0
1,269718,149,1,269074,1
0,65754,234,0,64810,1
0,1522877,182,0,1521903,1
0,17173,217,0,16040,1
0,13948,31,0,13148,0
0,387281,11,0,386064,0
0,285745,83,0,284939,0
0,975187,117,0,974237,1
0,1679298,74,0,1678525,0
1,6002,241,1,5043,0
1,1592913,76,1,1591840,1
1,663114,16,1,662260,0
1,432941,203,1,432381,1
0,251858,21,0,251211,0
1,4723,25,1,4340,1
0,23810,61,0,22572,1
0,231201,246,0,230431,0
0,2142542,188,0,2141583,0
0,13418,152,0,12669,0
0,1694274,71,0,1693627,0
1,25842,199,1,24370,0
1,9998,79,1,9753,0
0,1577124,190,0,1576114,0
0,1229889,179,0,1228786,0
0,1778534,131,0,1777443,0
1,1152958,195,1,1151783,1
0,907521,142,0,906301,0
1,23852,34,1,23046,0
0,1148502,229,0,1147669,0
1,655,0,1,2,1
1,223492,245,1,222386,0
0,1631767,73,0,1631120,0
1,667923,94,1,666610,1
0,272963,214,0,272211,0
1,11872,132,1,11348,0
0,247509,145,0,246700,0
