GeneClassification,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
0,1037760,370,1037092,1
1,18293,404,17649,0
0,1236,126,691,0
0,55025,360,54438,0
0,1457890,90,1457246,0
0,487260,206,486679,1
0,1995197,223,1994529,0
0,9057,388,8128,0
1,28680,132,27985,0
0,622513,28,621803,0
0,807166,156,806492,1
1,112468,401,111971,0
0,4870,342,4217,0
0,2682,269,1954,0
0,163066,9,162521,1
0,1943209,10,1942577,0
0,735451,97,734867,0
0,1357417,313,1356881,1
0,1481322,93,1480762,1
0,36247,73,35642,1
0,1187163,348,1186465,0
0,120884,36,120498,0
0,1894275,111,1893637,1
0,438865,353,438233,0
0,308712,371,308044,0
0,1033564,302,1032920,0
0,1578872,120,1578312,0
0,77237,62,76545,0
0,17407,266,16820,0
0,497483,127,496893,0
0,1707996,30,1707370,1
0,6677,380,6162,1
0,278070,228,277438,1
0,1686468,112,1685914,0
0,477620,211,476973,0
0,565167,383,564760,0
0,3882,128,3223,1
0,1685667,117,1685527,0
0,4704,235,4066,0
0,1645,357,1004,0
0,376974,57,376393,1
0,767988,276,767290,0
0,426818,141,426186,1
0,7249,55,6641,0
0,265007,264,264339,0
0,28027,46,27344,0
0,1118634,322,1117975,1
0,30799,74,30158,1
0,159847,68,159101,1
0,694973,310,694383,0
0,1610144,115,1609563,0
0,487905,173,487330,0
1,356421,430,355831,1
0,1921473,108,1920904,1
0,10499,40,10110,1
0,1739252,338,1738602,0
0,515441,212,514617,0
0,1109679,319,1109041,1
1,347837,19,347313,0
0,250738,326,250097,0
0,4939,8,4241,1
0,570400,76,569783,0
1,544317,150,543658,0
0,52129,270,51491,0
1,19103,381,18480,1
0,4829,263,4128,0
0,599763,238,598996,1
0,430625,13,430509,0
0,1142859,409,1142287,1
0,339516,231,338926,0
0,1413348,215,1412725,1
0,1066542,405,1065931,1
0,15668,346,15015,0
0,6518,307,5874,1
0,26110,309,25487,1
1,504309,428,503911,1
0,610947,368,610288,1
0,1935320,222,1934724,0
0,216763,325,216122,0
1,588625,161,587969,1
0,412598,286,411981,1
1,463493,102,462885,1
0,14001,394,13402,1
0,276224,140,275592,0
0,602338,323,601643,1
0,1845,389,1489,1
