cycling_discipline,profile_image,weight_kg,birth_date,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,last_name,first_name,first_cycling_rider_id,height_cm,commons_category,google_knowledge_graph_id,instagram_handle,pro_cycling_stats_cyclist_id,birth_place,uci_rider_id,languages,cycling_archives_cyclist_id
0,11,,6,61537.0,24873.0,2,11,37297,184,12,1,11,185567,14,111336,4,104450
1,7,,11,,28521.0,12,7,70377,174,7,9,0,206257,2,154218,4,118544
1,10,56.0,1,49272.0,17881.0,0,8,4863,169,9,12,7,140294,6,76092,0,38092
1,13,62.0,13,83297.0,30649.0,11,0,96981,182,0,6,2,217290,5,308040,3,150789
1,3,,12,89232.0,,6,4,80489,194,4,8,1,209985,11,301151,3,154036
1,9,,14,92920.0,31654.0,7,5,114659,183,5,11,5,240140,1,415141,6,140379
0,12,65.0,0,12832.0,7751.0,9,12,929,183,14,12,12,140343,12,862522,4,25301
1,4,,3,62259.0,24110.0,8,1,27301,184,1,4,3,181212,0,250807,2,94988
1,14,,10,,,4,11,87900,176,13,10,10,222121,4,798903,4,142691
2,0,58.0,2,49682.0,17893.0,13,9,6242,172,10,12,0,134456,3,553301,1,65130
1,6,,7,70041.0,27132.0,5,6,54660,170,6,5,6,198315,9,153513,6,138346
1,5,65.0,5,66256.0,25157.0,7,3,41249,174,3,2,4,189438,10,96372,4,97448
1,1,66.0,9,69634.0,26526.0,10,10,45992,176,11,3,9,194619,8,149727,5,115790
1,8,,8,84444.0,,1,9,51252,182,8,7,8,209865,7,266691,2,140707
2,2,82.0,4,61538.0,24057.0,3,2,27099,193,2,0,0,177672,13,91640,3,79184
