Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,6912,13,1,0,4054
0,152656,69,1,0,149750
1,3512,39,1,0,570
0,2374,41,3,1,2
1,595601,34,1,0,591036
1,478366,53,1,0,476669
0,623307,61,1,0,621664
0,2321780,59,1,0,2320431
0,2321637,24,3,1,2320534
1,613086,35,1,0,611617
1,5459,14,3,1,369
1,85207,70,3,1,81746
1,6009,71,3,1,1594
0,241168,58,1,0,239609
0,10189,66,1,0,8723
1,12357,16,1,0,7624
1,48747,74,3,1,45235
0,166284,40,3,1,162214
0,2470,33,1,0,2
1,39716,23,1,0,38265
0,585395,44,1,0,582072
1,1879,4,2,0,2
0,685088,8,1,0,683411
1,187784,11,1,0,184617
1,3165,36,2,0,1
1,467386,67,0,1,461438
0,2326,15,3,1,2
0,463665,38,1,0,460870
0,769652,6,1,0,767703
0,576641,68,3,1,572922
0,219070,19,1,0,217661
1,1119042,64,3,1,1112740
1,14382,52,1,0,9970
1,31870,54,3,1,22712
0,574606,45,1,0,573398
0,2053,48,1,0,2
1,13981,7,3,1,12296
1,6974,51,3,1,1995
1,1537,1,2,0,2
1,1556,2,2,0,3
0,1997,5,1,0,1
1,26175,26,2,0,23011
0,375450,18,3,1,373273
1,11280,10,3,1,2713
1,72487,43,1,0,68564
0,3322,12,2,0,2
0,2309,32,1,0,3
1,5982,0,1,0,4234
0,4784,28,1,0,3
0,1059473,73,1,0,1058121
1,2868,27,1,0,1600
1,348754,57,1,0,344585
1,4686,63,2,0,1
1,24031,25,1,0,21731
1,513352,30,3,1,509741
0,4676,65,1,0,3
0,1271,29,1,0,3
0,8695,49,3,1,5075
0,2498,42,1,0,3
1,13747,21,3,1,12191
1,304737,75,3,1,299488
1,78154,46,1,0,73799
1,37338,37,1,0,35617
1,35785,3,1,0,34078
1,89064,47,1,0,84641
1,50380,9,1,0,48473
1,5803,62,1,0,896
0,4720,22,1,0,2
1,4039,60,1,0,1
0,2312,50,1,0,2
1,22057,55,1,0,19652
1,5221,31,1,0,2141
0,4653,17,3,1,1
1,72456,20,3,1,65872
0,2190,72,1,0,1
1,21673,56,1,0,20189
