Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
0,320234,148,148,319014
1,81801,40,40,80905
1,15410,226,226,14340
0,2162466,66,66,2161639
1,749937,95,95,749176
1,1098996,239,239,1097833
1,432941,203,203,432381
0,1077230,227,227,1076451
1,33929,170,170,32910
0,1422032,55,55,1421220
1,652441,52,52,651695
0,402463,87,87,401243
0,18040,109,109,16886
1,394684,22,22,394031
0,1153229,240,240,1151997
1,750678,157,157,750031
1,9906,4,4,8728
1,12258,156,156,11053
1,2202990,65,65,2202343
0,1011398,160,160,1010715
0,375897,23,23,375253
1,946792,6,6,945539
1,4632,138,138,3406
1,563168,91,91,561921
1,493669,122,122,492404
1,749602,56,56,748862
0,1832,61,61,591
0,217780,244,244,216641
1,1088191,238,238,1087412
0,779639,96,96,778437
0,10709,218,218,9531
0,23056,194,194,22262
1,667923,94,94,666610
0,497406,34,34,496306
1,365512,36,36,364310
0,9985,152,152,9303
0,4174,29,29,2966
0,1057942,134,134,1056725
0,589228,206,206,588062
1,26139,27,27,25351
1,182780,42,42,181743
0,196658,242,242,195561
0,387281,11,11,386064
0,1897997,129,129,1897239
1,1860,164,164,1114
0,581117,205,205,580287
0,400728,177,177,399566
1,599280,204,204,598465
0,745129,163,163,744176
0,1428734,54,54,1428093
1,1968229,127,127,1967444
0,13702,26,26,12743
0,1193619,232,232,1192936
0,210588,243,243,209491
0,17599,79,79,16553
0,1049347,135,135,1048619
1,663709,106,106,662936
0,1471918,184,184,1470884
0,878597,144,144,877761
0,18090,98,98,17131
1,1783506,131,131,1782673
0,1194158,233,233,1193721
1,5205,99,99,4201
0,177073,107,107,175745
0,153559,235,235,152606
0,4472,216,216,3321
1,979496,117,117,978543
1,1905082,69,69,1904309
1,27009,45,45,25858
0,38006,197,197,37197
0,1221966,179,179,1220947
1,226729,43,43,226322
0,76658,39,39,76494
1,987733,115,115,987176
1,937169,159,159,936387
1,416187,123,123,415021
1,983808,116,116,982858
1,497744,121,121,496932
1,3831,171,171,3070
0,3587,165,165,2544
1,10011,38,38,9199
0,1474427,53,53,1473666
0,36547,223,223,35690
1,531335,175,175,530982
1,477748,120,120,476525
1,1925877,68,68,1925107
1,1564778,74,74,1564014
0,1106541,228,228,1105297
1,15525,111,111,14710
1,2102,113,113,1101
1,178084,112,112,176870
0,705599,93,93,704769
1,77581,8,8,76523
0,837722,210,210,837087
1,1677,77,77,712
0,301271,149,149,300510
0,11639,198,198,10170
1,2202884,186,186,2202237
1,1487286,182,182,1486264
1,2879,136,136,2091
0,12102,220,220,11231
1,551759,89,89,550737
1,12897,5,5,11857
0,863354,143,143,862533
0,2640,173,173,1327
1,2089274,126,126,2088630
0,384191,37,37,383100
1,323886,162,162,323095
0,571633,48,48,570836
0,684782,58,58,683826
0,914563,158,158,913814
0,31139,62,62,29922
0,1247221,181,181,1246121
1,1222996,108,108,1222181
0,290434,82,82,289571
1,1022329,213,213,1021526
1,36628,46,46,35402
1,1131697,172,172,1130438
0,31870,222,222,31118
1,295086,102,102,293887
1,941707,7,7,940901
0,2901,221,221,1762
0,1639752,125,125,1638709
0,644758,119,119,643769
1,17814,236,236,16873
1,826530,13,13,825718
0,335,10,10,3
1,7239,185,185,5971
0,41030,154,154,39978
0,19059,169,169,18244
1,1152958,195,195,1151783
0,1745136,193,193,1744339
1,2521,110,110,1283
0,250812,147,147,249592
0,731234,57,57,730422
0,1070767,196,196,1069991
0,137805,161,161,136807
1,461022,201,201,460051
0,1604402,190,190,1603254
1,11189,50,50,10047
1,13960,14,14,13361
0,39296,63,63,38151
1,375903,35,35,374896
