GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation
0,13580138,100,100,1,2,0,7,13578653,1
0,10821920,84,84,1,2,0,2,10820229,0
0,6956172,54,54,1,2,0,2,6955569,0
1,8422594,65,65,1,3,1,9,8420066,0
0,9310089,75,75,1,2,0,7,9309220,0
0,10429864,78,78,1,5,0,7,10428729,1
0,3235158,27,27,1,2,0,7,3233849,1
0,2102690,15,15,1,11,0,7,2100093,1
0,20867515,143,143,1,1,0,1,20866022,0
0,12246771,92,92,1,2,0,7,12245099,0
0,2728681,19,19,1,23,0,7,2727125,1
0,1401408,10,10,1,1,0,7,1400647,0
0,20915947,144,144,1,1,0,1,20914958,1
0,9221896,74,74,1,5,0,7,9220525,1
0,6842720,53,53,1,5,0,7,6840311,1
1,6638754,52,52,1,4,1,8,6637225,0
0,15741,0,0,1,19,0,7,14537,1
0,18735986,133,133,1,15,0,1,18734498,0
0,5596435,43,43,1,2,0,7,5595701,0
0,9311660,76,76,1,1,0,7,9310200,0
1,17401205,123,123,1,13,1,8,17399302,1
0,23649517,155,155,1,2,0,1,23648664,1
0,6441604,51,51,1,2,0,7,6440312,0
0,12849258,96,96,1,2,0,7,12848426,1
1,20479303,141,141,1,6,1,9,20477665,0
0,2862968,20,20,1,5,0,7,2861630,1
0,981427,6,6,1,5,0,7,980799,0
0,3097194,24,24,1,1,0,2,3096508,0
0,2680808,18,18,1,16,0,2,2679423,0
1,3802426,31,31,1,13,1,8,3800009,0
0,14451589,108,108,1,1,0,2,14449142,0
0,23514561,154,154,1,1,0,1,23513521,1
0,15398283,113,113,1,1,0,7,15396637,1
0,4910787,39,39,1,5,0,7,4909550,1
0,12488986,93,93,1,2,0,7,12486822,1
0,18766836,134,134,1,2,0,3,18765534,1
0,7776355,59,59,1,1,0,7,7775540,1
0,3511059,30,30,1,5,0,7,3509868,0
0,18932862,135,135,1,2,0,1,18931125,0
0,8066513,61,61,1,5,0,2,8065765,0
0,13391838,99,99,1,5,0,2,13390600,1
0,2597044,16,16,1,14,0,7,2596686,1
0,14931220,111,111,1,1,0,7,14928527,0
0,11473094,86,86,1,1,0,2,11472201,1
0,13980614,105,105,1,2,0,7,13979644,1
0,34835,165,165,0,20,0,0,33567,1
0,7857029,60,60,1,1,0,7,7856016,1
0,4365383,34,34,1,24,0,7,4363173,1
0,13813861,101,101,1,1,0,2,13812362,0
0,11600931,88,88,1,2,0,7,11599714,1
1,8836279,70,70,1,7,1,9,8834339,1
0,8643477,66,66,1,5,0,7,8642485,1
0,14939089,112,112,1,5,0,7,14937890,0
0,3098509,25,25,1,1,0,7,3097631,0
0,12567288,94,94,1,2,0,7,12566661,1
0,6088421,47,47,1,1,0,7,6085950,0
0,1662089,13,13,1,5,0,7,1659698,1
0,14766244,110,110,1,21,0,2,14765282,0
0,11497432,87,87,1,2,0,7,11496159,0
0,3049161,22,22,1,25,0,7,3048399,0
0,938369,5,5,1,2,0,7,937674,0
0,24218799,160,160,1,1,0,1,24217882,0
0,18449802,131,131,1,2,0,3,18448896,0
0,421354,1,1,1,11,0,7,418907,0
0,2642795,17,17,1,16,0,7,2641014,0
0,22586503,151,151,1,8,0,1,22583996,1
0,23902858,158,158,1,2,0,1,23901544,1
0,15431493,114,114,1,10,0,7,15429022,1
0,42748,167,167,0,14,0,5,41047,1
0,2912105,21,21,1,1,0,7,2911437,1
0,12160930,91,91,1,8,0,2,12160046,1
0,16835079,119,119,1,23,0,1,16833925,1
0,23866829,157,157,1,2,0,1,23865703,1
0,16416071,118,118,1,22,0,2,16413631,1
0,11654127,89,89,1,8,0,2,11653435,1
1,563875,4,4,1,6,1,9,561461,0
0,6170322,48,48,1,2,0,7,6168823,1
0,13282465,98,98,1,26,0,7,13280789,0
0,16920482,120,120,1,19,0,1,16919435,1
0,19133424,137,137,1,1,0,3,19132048,1
0,6835,163,163,0,14,0,0,4667,1
0,21703774,148,148,1,2,0,1,21701900,0
0,17627223,126,126,1,2,0,3,17625592,1
0,7009171,55,55,1,2,0,7,7008393,1
0,18038313,128,128,1,2,0,3,18037247,1
0,6362947,50,50,1,5,0,2,6361372,1
0,4253831,33,33,1,8,0,7,4252749,1
0,14479105,109,109,1,2,0,7,14478302,0
0,3453161,29,29,1,1,0,7,3451287,0
0,13013122,97,97,1,1,0,2,13011857,0
0,2003214,14,14,1,5,0,2,2002366,0
0,17542792,124,124,1,2,0,1,17541345,0
0,17122877,121,121,1,5,0,3,17120601,1
0,8306625,63,63,1,5,0,7,8305246,1
0,3312359,28,28,1,1,0,2,3311109,1
0,20286216,139,139,1,5,0,1,20285100,1
0,4431456,35,35,1,27,0,7,4430512,1
0,9200825,73,73,1,5,0,7,9199485,1
0,17643761,127,127,1,2,0,3,17642746,0
0,4102721,32,32,1,12,0,7,4101290,1
1,15463044,115,115,1,0,1,9,15461240,1
1,40361,166,166,0,18,1,4,37650,1
0,10634319,81,81,1,1,0,7,10632709,1
0,5212347,41,41,1,1,0,7,5211163,1
0,14201412,106,106,1,23,0,2,14200354,1
0,21840929,149,149,1,1,0,3,21839502,1
0,18150907,129,129,1,5,0,1,18149782,1
0,23311866,153,153,1,2,0,1,23310921,0
0,4756236,37,37,1,5,0,7,4754812,0
0,8297673,62,62,1,2,0,7,8296462,1
1,3054496,23,23,1,4,1,6,3053067,0
0,424362,2,2,1,23,0,7,423166,0
0,11412405,85,85,1,2,0,7,11411355,0
1,8987276,71,71,1,4,1,8,8985246,0
0,8380600,64,64,1,2,0,7,8379902,1
0,21107478,146,146,1,2,0,1,21106076,0
0,22342311,150,150,1,1,0,1,22341328,1
0,8750931,69,69,1,1,0,2,8750116,0
0,448516,3,3,1,16,0,7,445739,0
0,1005104,7,7,1,2,0,2,1003707,1
0,5776202,46,46,1,1,0,7,5773752,1
0,20600592,142,142,1,1,0,1,20599396,0
0,13967339,104,104,1,16,0,7,13965975,0
0,1044324,9,9,1,5,0,2,1043726,0
0,18233087,130,130,1,1,0,3,18230676,0
0,7252202,57,57,1,5,0,7,7251567,0
0,21033305,145,145,1,1,0,1,21032577,1
0,14264630,107,107,1,5,0,7,14263463,0
0,19361160,138,138,1,2,0,1,19359904,0
0,22800650,152,152,1,1,0,3,22799643,0
0,6283351,49,49,1,2,0,7,6282458,0
0,5252907,42,42,1,17,0,2,5251626,1
0,10815148,83,83,1,2,0,7,10814110,1
0,4838125,38,38,1,9,0,7,4836803,0
0,19131431,136,136,1,11,0,3,19128978,1
0,24324304,161,161,1,2,0,1,24323249,0
0,18526135,132,132,1,1,0,1,18525296,0
0,5764705,45,45,1,2,0,7,5763288,1
0,4622430,36,36,1,24,0,7,4620634,1
1,8706530,68,68,1,3,1,8,8704372,0
0,1565906,12,12,1,5,0,7,1564519,1
0,5646569,44,44,1,1,0,7,5645517,0
0,17573162,125,125,1,1,0,1,17572161,0
0,24075061,159,159,1,2,0,3,24073248,1
0,13816694,102,102,1,16,0,7,13815414,0
0,3221626,26,26,1,5,0,7,3220494,0
0,17383110,122,122,1,5,0,1,17381675,1
0,23718778,156,156,1,2,0,1,23717642,0
0,9294,164,164,0,14,0,5,6891,1
0,5210452,40,40,1,25,0,2,5209340,1
0,15945723,116,116,1,2,0,2,15943858,1
0,13953853,103,103,1,1,0,2,13952477,0
0,16025845,117,117,1,8,0,2,16025135,0
0,10517795,80,80,1,2,0,7,10516812,1
0,9369143,77,77,1,5,0,7,9368165,0
0,11737964,90,90,1,2,0,2,11736173,0
0,8662629,67,67,1,1,0,7,8661322,0
1,7507311,58,58,1,4,1,9,7506176,0
0,12665749,95,95,1,1,0,7,12664313,1
0,24717108,162,162,1,2,0,3,24715475,1
0,1471242,11,11,1,2,0,7,1469688,1
0,21368024,147,147,1,2,0,3,21366772,1
0,7207112,56,56,1,1,0,2,7205454,1
0,10790484,82,82,1,1,0,7,10789222,0
0,1005618,8,8,1,2,0,7,1005001,1
0,9120663,72,72,1,1,0,7,9118189,1
0,20333137,140,140,1,1,0,1,20331131,0
0,10514318,79,79,1,1,0,7,10512900,0
