GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation
0,520756,28,28,2,3,0,2,519809,1
0,434643,30,30,4,3,0,0,432829,0
0,11546763,14,14,7,3,0,6,11545570,1
0,16157563,18,18,7,4,0,6,16156159,1
0,6549201,8,8,7,3,0,6,6548746,0
0,2780894,6,6,7,4,0,9,2779937,1
0,1579373,2,2,7,2,0,9,1578207,1
0,22979736,24,24,7,3,0,4,22978261,1
0,2646920,4,4,7,8,0,6,2645877,0
1,559806,32,32,6,5,1,4,558834,0
0,2775423,5,5,7,3,0,9,2774086,0
0,15089831,17,17,7,3,0,9,15088605,0
0,11438889,13,13,7,7,0,6,11438077,1
0,73871,0,0,0,0,0,1,73416,0
0,12197203,16,16,7,6,0,6,12196105,0
0,23628449,25,25,7,4,0,3,23628117,1
0,1120997,29,29,3,3,0,5,1120479,1
0,3138110,34,34,6,3,0,7,3137298,1
0,16867243,19,19,7,3,0,4,16866602,1
0,3848398,1,1,1,2,0,8,3847910,0
0,21906493,23,23,7,4,0,3,21905750,1
0,7635530,11,11,7,3,0,9,7634784,1
0,8559,27,27,2,3,0,2,7741,1
0,17983993,20,20,7,3,0,3,17983292,1
0,9721730,12,12,7,6,0,6,9720415,0
0,18607403,21,21,7,3,0,4,18606726,0
0,2858803,33,33,6,3,0,7,2858432,0
0,7636842,10,10,7,2,0,9,7635970,1
0,5649719,7,7,7,3,0,9,5648142,1
0,24599377,26,26,7,1,0,4,24599018,1
0,7139860,9,9,7,3,0,6,7138967,1
0,1966177,31,31,5,3,0,10,1965272,0
0,1833747,3,3,7,3,0,6,1832821,1
0,11705435,15,15,7,7,0,6,11704542,0
0,21871006,22,22,7,4,0,3,21870218,0
