cycling_discipline,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,biography,nationality,birth_place,uci_rider_id,languages,weight_kg,birth_date,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id
3,2,56070.0,20777.0,8,203494.0,179769,14,8,6,2,9,86568,6,71.0,13,8,79781,18575.0,180,13
2,6,70678.0,27025.0,6,,194068,8,6,3,10,11,101820,1,,19,6,120394,45349.0,178,13
1,9,50824.0,18498.0,3,5628.0,138830,9,3,5,10,20,63841,1,72.0,9,3,58906,16154.0,187,4
0,15,,16957.0,20,4989.0,139873,15,20,1,1,10,64668,5,67.0,8,13,38447,6097.0,180,0
2,10,56436.0,20917.0,15,5649.0,156570,12,16,10,4,8,77380,3,78.0,12,16,71706,9746.0,180,13
3,14,2747.0,3448.0,12,1352523.0,140768,11,13,4,10,5,32923,1,70.0,0,12,16824,14.0,175,7
0,8,43344.0,16653.0,1,63128.0,140818,3,1,9,3,3,64670,2,78.0,7,1,52068,2337.0,181,9
2,20,46998.0,16666.0,19,22458.0,140492,19,19,13,5,4,64680,4,71.0,3,19,48356,2338.0,176,10
2,7,8760.0,4179.0,0,42225.0,140749,4,0,14,7,17,32691,5,78.0,1,0,19407,406.0,181,6
3,12,46847.0,16697.0,5,14517.0,138471,20,5,2,1,6,70799,0,72.0,6,5,65315,10382.0,183,1
2,11,65955.0,26396.0,21,12337.0,189441,7,21,7,2,2,92304,6,,17,20,110201,41293.0,186,13
0,16,8424.0,6784.0,11,226627.0,140342,14,12,11,4,1,45024,3,82.0,2,11,18093,1007.0,188,8
2,3,,30595.0,13,,222307,5,14,15,9,19,159068,6,,20,14,152981,67846.0,189,13
2,13,,26392.0,9,,193131,1,9,1,1,12,148275,5,69.0,18,9,89152,45363.0,176,13
3,0,57256.0,23463.0,18,,189196,6,11,7,2,15,89712,6,72.0,14,10,72654,34624.0,180,3
2,5,82827.0,30643.0,14,,217465,16,15,8,6,14,227110,5,,21,15,151350,97547.0,184,13
3,19,59207.0,,17,,192552,0,18,0,0,18,91180,5,82.0,15,18,74088,,180,13
3,1,47767.0,18714.0,2,33298.0,137724,18,2,9,3,16,68950,2,58.0,10,2,38737,16752.0,169,11
3,17,41076.0,13362.0,16,56034.0,139405,2,17,12,8,21,65995,5,70.0,5,18,51551,3277.0,177,5
0,18,51744.0,19238.0,4,38200.0,138396,17,4,8,6,0,72932,5,70.0,11,4,66031,7720.0,177,2
2,21,49495.0,23426.0,7,29588.0,177246,13,7,8,6,7,87061,5,,16,7,88470,37748.0,181,13
0,4,47686.0,17534.0,10,8603.0,140333,10,10,15,9,13,59773,6,72.0,4,17,37589,2325.0,183,12
