cycling_discipline,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,biography,nationality,birth_place,uci_rider_id,languages,weight_kg,birth_date,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id
2,10,46847.0,16697,6,14517.0,138471,17,6,3,1,7,70799,1,72.0,12,6,65315,10382,183,1
1,2,28089.0,9851,12,61894.0,140765,4,12,12,5,6,53793,4,77.0,8,12,22100,1013,179,11
1,7,,21930,4,2272.0,171075,9,4,7,7,21,94033,6,,20,4,89029,31208,194,19
2,14,39287.0,13240,7,66281.0,140835,5,7,15,6,9,55029,5,67.0,9,7,21075,1310,178,12
2,0,47767.0,18714,3,33298.0,137724,15,3,10,4,17,68950,3,58.0,14,3,38737,16752,169,16
1,11,47066.0,16881,18,41605.0,140633,3,18,19,4,22,59614,3,,10,18,32178,2530,175,14
1,17,40092.0,15168,17,11552.0,140244,13,17,8,7,14,62887,6,71.0,13,17,49655,2524,179,18
1,9,6679.0,2086,2,170534.0,140786,0,2,13,5,15,22143,4,82.0,2,2,9414,377,184,13
1,8,1183.0,1216,5,40183.0,140550,14,5,16,6,1,14815,5,76.0,1,5,1921,129,184,8
1,13,18608.0,237,11,,140563,6,11,20,10,19,11303,0,67.0,0,11,6943,87,184,9
2,16,2747.0,3448,15,1352523.0,140768,7,15,4,11,5,32923,2,70.0,5,15,16824,14,175,6
1,19,56345.0,20861,20,2247.0,155558,1,20,11,5,2,86624,4,71.0,18,20,80972,16816,184,3
1,6,8760.0,4179,1,42225.0,140749,2,1,17,8,18,32691,6,78.0,6,1,19407,406,181,5
2,1,56070.0,20777,9,203494.0,179769,11,9,5,2,11,86568,8,71.0,19,9,79781,18575,180,19
1,22,49495.0,23426,8,29588.0,177246,10,8,7,7,8,87061,6,,21,8,88470,37748,181,19
2,4,55905.0,21308,21,7567.0,163272,18,21,9,4,12,79000,3,69.0,17,21,71005,16796,175,2
1,5,,26965,0,,206730,19,0,14,6,0,162997,5,70.0,22,0,128820,71333,176,19
1,18,55576.0,20102,19,6934.0,160650,16,19,14,6,4,75007,5,68.0,16,19,66272,16823,172,0
1,12,16313.0,3333,10,134950.0,140752,2,10,2,1,13,44513,1,74.0,4,10,18746,150,181,4
1,20,38259.0,13066,16,26443.0,140384,13,16,1,0,3,62919,2,72.0,11,16,39964,2211,178,7
0,15,45487.0,15789,13,7186.0,133565,12,13,18,9,10,55607,7,72.0,7,13,62028,9234,183,15
1,3,52879.0,19448,14,15757.0,132428,12,14,6,3,16,73817,6,,15,14,71390,7695,184,17
1,21,5275.0,846,22,,140758,8,22,0,12,20,26885,6,74.0,3,22,10655,53,183,10
