Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
1,1037092,1037760,369
0,17649,18293,404
0,6637,7200,136
0,54438,55025,359
0,1457246,1457890,91
1,486679,487260,204
0,1994529,1995197,221
0,8128,9057,388
0,3962,4555,133
0,621803,622513,27
1,806492,807166,154
0,111971,112468,401
0,4217,4870,341
0,1954,2682,268
1,162521,163066,8
0,1955171,1955674,333
0,734867,735451,97
1,1356881,1357417,312
1,1480762,1481322,94
1,35642,36247,73
0,1186465,1187163,347
0,120498,120884,35
1,1920904,1921473,109
0,438233,438865,352
0,308044,308712,370
0,1032920,1033564,301
0,1578312,1578872,120
0,84681,85370,62
0,16820,17407,265
0,496893,497483,126
1,1707370,1707996,29
1,6162,6677,379
1,277438,278070,226
0,1730895,1731530,337
0,476973,477620,209
0,564760,565167,382
0,9749,10321,127
0,1685914,1686468,113
0,6979,7629,234
0,1004,1645,356
1,376393,376974,56
0,767290,767988,275
1,426186,426818,139
1,39237,39701,53
0,264339,265007,263
1,129,782,47
1,1117975,1118634,321
1,30158,30799,74
1,159101,159847,68
0,694383,694973,309
1,1637185,1637787,115
0,487330,487905,171
1,355831,356421,430
0,1931470,1932015,108
0,1341,2027,40
0,1743146,1743790,336
0,514617,515441,210
1,1109041,1109679,318
0,347313,347837,18
0,250097,250738,325
1,1004,1579,3
0,569783,570400,77
0,543658,544317,148
0,51491,52129,269
1,18480,19103,380
0,4128,4829,262
1,598996,599763,237
0,430509,430625,12
1,1142287,1142859,409
0,338926,339516,229
1,1412725,1413348,213
1,1065931,1066542,405
0,15015,15668,345
1,5874,6518,306
1,25487,26110,308
1,503911,504309,428
1,610288,610947,367
0,1934724,1935320,220
0,216122,216763,324
1,587969,588625,159
0,415541,416038,383
1,462885,463493,102
1,13402,14001,394
0,275592,276224,138
1,601643,602338,322
1,1489,1845,389
0,314181,314714,123
0,1463646,1464254,90
1,1099440,1100102,407
0,444042,444695,32
0,41594,42175,386
0,8539,9261,129
0,382086,382637,58
1,34388,35038,305
0,409331,410050,252
1,12661,13194,350
1,640880,641578,84
1,319437,320021,423
0,69732,70385,302
0,2228,2893,384
