Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
1,6745,7608,43
0,323649,326018,104
0,476025,476915,38
1,346178,346408,206
0,214952,216862,126
1,78453,80177,231
1,5234,8014,86
1,3,557,93
1,73355,74182,14
1,346512,346850,205
0,889150,890682,192
0,1130442,1130987,148
0,1884,2216,42
1,55507,56787,223
1,45670,45867,21
0,3,929,176
1,6119,9109,154
1,33647,35665,152
0,221369,223303,157
1,27628,30441,197
0,1836461,1839347,132
1,71398,71748,33
0,121053,122795,36
0,1121249,1122061,146
1,216302,216652,230
1,32212,33312,81
1,16818,17807,29
1,214062,215357,64
0,542011,543960,138
1,21764,23503,235
1,56893,57738,224
0,869711,870832,54
0,612868,615828,188
0,564,3521,177
0,638082,640889,124
1,118959,119855,183
0,348930,351059,66
1,1115,4441,71
0,3,218,156
0,577500,578507,189
0,1,835,4
1,10753,12423,128
1,98553,100170,26
1,74227,76293,27
1,15111,17384,125
1,3,395,202
0,1442287,1444050,22
0,227562,229154,239
1,64071,64517,123
0,746714,747484,169
1,55821,58454,115
0,10074,10805,108
0,704473,706956,37
0,3411,4265,68
1,5802,8105,61
1,42014,42976,228
0,157230,157631,186
1,7741,7838,216
0,3,794,8
1,899,1231,13
0,49106,51751,109
0,2330257,2332647,200
1,112584,114401,65
1,39177,41471,158
0,1415230,1415811,19
1,4031,6985,84
1,44298,46358,94
0,1128836,1129891,147
0,1,535,6
0,11061,11717,178
0,1337487,1338938,195
1,35452,36096,30
1,55923,56420,159
1,20007,20561,121
0,211,2400,168
0,647,3058,140
1,31590,33980,166
0,355485,358301,174
0,201683,202126,78
1,83233,83691,198
0,1031220,1034156,75
1,390821,393196,83
0,367493,368350,51
1,63011,66037,96
0,2,877,16
0,2,1381,105
0,1152030,1153652,149
1,32362,33975,35
1,46339,47107,232
1,23602,25397,153
0,1445,2035,130
0,919047,921959,67
1,1,282,119
0,902475,903359,162
0,1112,3364,172
0,6310,8634,62
0,3256,6051,112
0,87465,88109,220
0,1,147,10
1,35931,36817,151
1,14362,15156,24
1,941918,944659,163
0,513297,513917,237
1,23342,24472,190
1,44094,46075,233
0,1049748,1050263,160
1,321,1991,180
1,6150,7580,89
0,315381,317768,194
0,580762,581031,238
1,10619,10942,201
0,492,929,17
0,3546,6341,63
1,28311,28634,143
0,389835,392192,107
1,1968,2270,60
0,627348,629366,209
0,606950,609376,208
1,1362,2735,217
1,1346,4117,225
0,4295,6226,11
0,478592,481120,110
0,3,215,5
1,1,2208,145
0,854629,857583,111
0,2632,4959,102
1,38134,38673,92
1,2181870,2184398,88
0,818471,821170,101
1,45609,46181,185
0,701207,703894,116
0,2028950,2029693,141
1,2810,4564,46
1,692,1582,12
0,605,3052,58
0,497942,498493,236
0,3066,6017,221
1,2173,4965,127
0,583600,585603,191
1,1,2706,90
1,86623,89160,184
0,473026,475584,98
1,100433,101201,25
1,4936,6087,15
0,1637255,1639600,199
1,1,1686,2
1,7736,10351,179
0,1397420,1399795,23
0,696140,699100,73
1,17345,17833,31
1,103,612,72
0,29822,32383,203
1,68706,69602,85
1,69540,71222,129
0,15659,18217,120
0,56951,57820,34
1,71692,73875,212
0,3972,5666,171
0,267153,267665,226
0,576644,578251,165
0,1120731,1121147,215
0,2,583,161
1,909,2783,39
1,66466,67398,222
0,452610,453362,133
0,9216,11981,106
0,933350,935665,193
0,769332,772241,49
0,1,228,18
1,1520,2248,20
1,72187,74451,229
1,735,3080,56
0,42281,45115,204
1,1,2190,100
0,412,922,9
0,518895,521339,136
0,611934,612431,134
0,783721,783875,69
0,22313,24991,117
1,288,1238,214
1,3526,4197,150
1,947,1066,0
0,1159086,1161359,95
1,63425,63967,211
0,5343,8168,50
0,1840004,1842055,210
1,38052,40883,52
1,7402,9729,91
0,15238,17064,79
0,519241,521580,40
1,204852,207218,122
1,33176,34273,7
1,103,957,170
0,502038,504842,74
1,44981,45868,114
1,15392,18211,55
0,109194,112160,87
0,750136,752571,48
0,1097,1411,1
0,630173,630925,173
1,35374,35958,41
0,586959,587282,70
0,1,617,57
0,477242,478396,137
0,821002,822273,213
1,25624,28437,219
0,3232,4194,218
1,13620,16367,32
1,10472,13228,196
1,3,1874,59
0,637990,640440,118
1,103,963,77
0,183608,184333,76
0,380155,382722,103
0,7086,9773,227
1,8487,10829,82
0,279111,281858,155
1,22973,23155,187
0,662509,663276,135
1,3,563,45
0,7165,8610,80
0,247890,250640,175
0,1018377,1020701,164
0,21104,23344,167
1,55331,57748,53
1,5580,7904,99
0,2010699,2011553,3
1,26201,26773,113
0,2030554,2033316,142
1,15195,15743,207
0,802591,805101,144
0,15296,16756,28
1,86619,88412,97
0,4494,7310,234
0,586129,586872,181
1,358083,360854,47
1,180932,182518,44
1,251879,254233,182
0,26184,26957,139
0,855554,856711,131
