Sport_Type,Host_Country,Race_Description,General_Classification_Winner,Official_Website,Pro_Cycling_Stats_Race_Id,Edition_Number,Start_Location,Race_Instance,End_Location,Google_Knowledge_Graph_Id,Race_Winner,Participating_Team
1,3,6,1,1,163768.0,71.0,4,3,0,2,4,2
1,0,0,5,2,124228.0,101.0,1,1,2,7,7,1
1,0,9,2,6,,,3,0,1,7,5,5
1,3,6,1,1,163768.0,71.0,4,3,0,2,4,2
1,0,2,4,0,247301.0,107.0,2,1,2,6,2,0
1,0,3,0,3,171088.0,104.0,0,1,2,0,1,3
1,3,6,1,1,163768.0,71.0,4,3,0,2,4,2
1,3,7,2,5,,,3,0,1,7,5,5
0,1,5,2,0,,,3,4,1,7,5,5
1,3,7,2,5,,,3,0,1,7,5,5
0,1,5,2,0,,,3,4,1,7,5,5
1,0,3,0,3,171088.0,104.0,0,1,2,0,1,3
1,0,0,5,2,124228.0,101.0,1,1,2,7,7,1
1,3,7,2,5,,,3,0,1,7,5,5
1,2,4,2,4,,13.0,3,2,1,1,3,5
1,2,8,2,4,,15.0,3,2,1,4,0,5
1,2,4,2,0,,5.0,3,5,1,5,5,5
1,0,9,2,6,,,3,0,1,7,5,5
1,0,2,4,0,247301.0,107.0,2,1,2,6,2,0
1,0,9,2,6,,,3,0,1,7,5,5
1,0,3,0,3,171088.0,104.0,0,1,2,0,1,3
1,3,1,3,1,210068.0,74.0,5,3,0,3,6,4
1,2,4,2,0,,5.0,3,5,1,5,5,5
1,2,4,2,4,,13.0,3,2,1,1,3,5
