Sport_Type,Host_Country,Race_Description,General_Classification_Winner,Official_Website,Pro_Cycling_Stats_Race_Id,Edition_Number,Start_Location,Race_Instance,End_Location,Google_Knowledge_Graph_Id,Race_Winner,Participating_Team
1,3,1,2,0,,65.0,22,3,22,13,1,17
1,4,1,18,0,,,28,22,32,24,15,17
1,1,1,6,0,248213.0,,2,24,28,24,6,17
1,1,0,26,0,174321.0,111.0,27,15,3,4,25,1
1,4,1,8,0,,,14,23,16,24,8,17
1,3,3,23,10,173975.0,22.0,15,6,20,3,23,16
1,1,3,4,22,256798.0,115.0,27,15,4,24,4,12
1,0,3,33,20,268265.0,77.0,19,13,10,24,32,13
1,1,3,13,21,268313.0,119.0,24,14,6,24,13,13
1,0,3,32,5,180921.0,58.0,20,2,14,7,31,15
1,1,3,21,1,180736.0,60.0,4,7,7,6,21,2
1,2,3,1,6,181068.0,57.0,7,5,8,8,0,2
1,0,1,9,3,182042.0,31.0,0,0,1,10,9,2
1,3,3,11,7,248635.0,68.0,22,3,22,17,11,7
1,3,3,29,9,229768.0,24.0,15,6,20,16,28,6
0,3,1,10,0,,61.0,22,3,22,23,10,17
1,1,5,4,11,255625.0,19.0,27,11,30,22,4,9
1,6,1,24,0,221125.0,,26,25,12,24,6,17
1,5,1,12,0,,11.0,17,18,18,18,12,5
1,0,1,26,13,173927.0,7.0,1,16,2,2,25,1
1,4,3,19,23,219591.0,79.0,14,19,16,11,19,4
1,7,2,30,0,,,10,24,19,24,29,17
1,7,1,25,2,247513.0,29.0,21,21,21,19,24,8
1,3,1,29,0,164919.0,64.0,22,3,22,1,28,0
1,1,1,22,4,181294.0,61.0,3,1,5,12,22,17
1,8,1,14,0,164640.0,53.0,9,10,11,0,14,17
1,5,1,28,14,255504.0,58.0,11,17,0,24,27,11
1,7,1,25,2,247509.0,29.0,6,20,31,20,24,8
1,9,7,3,0,181907.0,,18,22,23,24,2,17
1,2,3,17,17,255759.0,60.0,7,5,8,24,18,10
1,1,1,15,15,181224.0,,16,25,29,24,16,17
1,8,1,1,18,181378.0,55.0,12,10,13,9,0,3
1,4,1,0,0,,,25,22,27,24,1,17
1,0,3,7,16,279111.0,77.0,29,4,26,24,7,14
1,4,1,2,0,,,14,22,17,24,3,17
1,0,1,16,0,182131.0,30.0,0,0,1,5,17,1
1,0,4,31,12,255476.0,53.0,5,12,25,21,30,9
1,1,3,20,19,187674.0,53.0,13,8,15,14,20,17
1,1,1,5,8,219533.0,43.0,23,9,24,15,5,17
1,3,6,27,0,247689.0,,8,22,9,24,26,17
