Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline
0,1,87842.0,30666,7,,216727,7,1,1,765724,5,72.0,10,6,150321,95151.0,4,182.0,0
0,0,56070.0,20777,1,203494.0,179769,1,4,7,86568,3,71.0,5,1,79781,18575.0,0,180.0,1
0,8,62729.0,23558,3,20811.0,181257,3,5,6,97437,2,75.0,6,3,101407,27121.0,3,192.0,0
0,3,55192.0,19941,10,31137.0,135398,10,2,4,86228,7,75.0,2,9,59790,10971.0,1,180.0,0
0,4,41029.0,12100,0,8633.0,140350,0,8,10,58746,0,65.0,1,0,52066,965.0,5,181.0,0
0,2,,30642,8,,208809,8,6,3,226848,3,,9,7,137473,77137.0,4,,0
0,6,56436.0,20917,5,5649.0,156570,5,9,5,77380,3,78.0,4,5,71706,9746.0,4,180.0,0
0,7,66256.0,25157,2,22666.0,189438,2,7,9,96372,1,65.0,8,2,97448,41249.0,4,174.0,0
0,10,53950.0,24932,6,3384.0,185581,6,6,2,93345,3,70.0,7,5,84264,37308.0,4,185.0,0
0,5,56664.0,20678,4,20194.0,132382,4,3,0,72234,4,73.0,3,4,66001,,6,1.81,1
0,9,57445.0,21387,9,,127751,9,0,8,88568,6,,0,8,77244,16909.0,2,,0
