FREEBASE_ID,TWITTER_USERNAME,COMMONS_CATEGORY
25,8,12
0,13,7
13,7,29
10,0,17
19,4,20
15,11,19
20,14,13
4,7,14
13,7,29
15,11,19
22,12,22
18,3,6
16,7,24
26,7,1
23,5,27
27,10,18
3,7,5
24,7,8
12,1,0
30,7,13
2,7,13
30,7,13
23,5,27
1,9,25
16,7,24
29,7,9
26,7,1
25,8,12
21,7,28
5,7,16
17,6,23
12,1,0
15,11,19
18,3,6
11,7,26
1,9,25
6,2,4
26,7,1
21,7,28
1,9,25
23,5,27
0,13,7
25,8,12
0,13,7
18,3,6
2,7,13
20,14,13
8,7,15
22,12,22
3,7,5
16,7,24
2,7,13
19,4,20
14,7,10
19,4,20
9,7,3
7,7,11
26,7,1
31,7,21
24,7,8
29,7,9
24,7,8
17,6,23
20,14,13
28,7,2
29,7,9
