GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,24,38827,227,25,35924,1
1,0,185,4679,184,135,1893,0
1,0,13,308397,304,59,305485,0
1,0,70,847503,312,40,845194,0
0,0,139,502030,133,0,499289,0
1,0,97,79193,80,3,76656,1
1,0,142,2449,0,153,11,0
0,0,141,7010,292,149,4233,1
1,0,130,491613,136,41,488857,1
1,0,26,21822,317,13,18838,1
1,0,84,3014,98,67,228,1
0,0,5,77950,18,24,74987,1
1,0,4,510295,143,27,507728,1
1,0,159,7457,215,41,4911,1
1,0,92,6673,234,140,3815,0
1,0,9,181574,314,30,180063,1
1,0,36,625252,230,28,622190,0
1,0,145,1133115,272,53,1130755,1
1,0,137,60671,177,47,58218,1
1,0,154,2940,213,137,73,1
0,0,19,8383,220,138,7271,0
0,0,183,17724,294,60,14986,1
1,0,174,13435,274,145,10745,0
0,0,163,86361,189,15,83876,1
1,0,4,225780,81,27,223900,0
1,0,4,578138,102,27,576360,0
1,0,27,504140,269,2,500865,0
1,0,26,636457,214,13,635763,0
1,0,1,848494,164,35,847454,0
1,0,168,492362,28,1,490971,0
1,0,47,236472,224,3,233641,0
0,0,138,779582,204,31,776703,0
1,0,110,7188,127,122,4384,0
1,0,111,8831,113,120,6234,1
0,0,52,650247,104,27,648161,0
1,0,108,984,306,152,31,0
1,0,107,1094,24,76,159,1
0,0,134,24358,275,145,21590,0
0,0,90,1225,54,80,1,1
1,0,124,628999,145,12,626735,0
1,0,11,13990,118,16,11384,1
1,0,135,28068,66,68,25282,1
1,0,68,3158,256,94,408,1
1,0,133,2351295,266,59,2348338,0
0,0,29,9939,58,103,8926,0
0,0,23,65081,87,25,62292,1
1,0,14,9052,248,143,7148,1
0,0,46,811998,313,40,810235,0
0,0,94,782600,205,31,781197,0
1,0,87,3790,211,90,806,0
1,0,13,1721524,41,59,1718519,1
0,0,155,2010044,11,57,2009265,0
0,0,144,4119,43,34,967,1
