GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,3,12909,141,110,10807,1
0,0,122,6110,99,98,3849,0
1,0,39,457048,88,9,454787,0
0,0,136,478833,231,6,476677,0
0,0,90,16869,150,113,14662,0
1,0,48,552888,219,15,550654,0
0,0,97,835809,95,28,833647,0
0,0,122,3770,50,86,732,1
1,0,10,1069200,209,45,1067095,0
1,0,41,9061,55,71,6806,1
0,0,40,2776,153,114,509,0
1,0,29,76342,178,33,73994,1
1,0,109,1167843,143,41,1165567,0
0,0,1,3747,24,69,1363,1
0,1,88,692573,69,19,690150,0
0,0,87,27924,7,17,26149,1
0,0,0,754574,174,26,752403,0
1,0,49,1157625,116,42,1155433,0
1,0,35,12933,112,39,10912,1
1,0,24,96434,222,5,94266,1
1,0,23,45480,197,119,43330,1
0,0,64,604953,80,20,602554,0
1,0,2,5633,13,59,4134,0
1,0,110,763015,83,37,760970,0
0,0,47,4215,71,19,1969,1
0,0,86,480713,38,4,478230,0
1,0,65,114439,9,3,112868,1
0,0,59,14957,64,73,12933,0
1,0,125,61722,221,51,61057,1
0,0,20,45278,100,18,42840,0
1,0,54,50723,120,103,48507,1
1,0,67,562476,172,10,560179,0
0,0,30,56175,84,5,53914,1
1,0,84,1621,65,92,2,1
0,0,115,1009290,45,38,1006993,0
0,0,122,11646,123,104,9286,1
0,0,69,487264,93,17,485114,0
0,0,1,47037,176,117,44773,1
0,0,20,371476,171,18,369323,0
0,0,131,477337,11,9,476408,0
0,0,105,1835184,67,46,1832923,0
1,0,35,53359,114,39,52601,1
0,0,89,1062,3,68,1,0
1,0,11,441740,91,29,439797,1
1,0,6,81519,12,5,79698,1
0,0,112,71686,213,49,69566,1
0,0,117,707127,48,23,704929,0
0,0,57,65232,218,50,62692,1
1,0,111,777368,224,31,775140,0
0,0,53,3230,127,22,921,1
0,0,122,2056,49,85,2,1
0,0,122,4947,46,83,2638,0
1,0,11,372955,230,29,370655,1
0,0,128,2191081,87,52,2188577,1
1,0,63,11060,140,31,8994,1
0,0,121,4184,235,35,1923,1
0,0,93,43304,156,55,40902,1
1,0,48,113111,166,15,111105,1
0,0,85,59089,41,55,56687,1
1,0,72,1189025,189,50,1186812,0
1,0,42,805063,179,38,803291,0
1,0,22,1835456,205,47,1833030,0
0,0,122,4516,53,88,3179,1
0,0,95,611448,110,10,610807,0
0,0,107,5046,158,115,2860,1
1,0,15,1204656,198,44,1202680,0
0,0,15,4025,164,16,1761,1
0,0,40,2650,25,34,386,1
1,0,18,560447,98,52,558669,1
1,0,8,335828,154,29,333633,1
1,0,62,480279,204,44,478171,0
1,0,63,7012,6,31,5501,1
1,0,116,2096,144,111,747,1
0,0,122,1138,5,105,2,0
1,0,37,1116077,151,40,1113876,0
0,0,99,76316,30,50,74154,1
1,0,124,496899,101,1,495853,0
0,0,58,15153,206,30,12949,1
0,0,97,1027491,76,37,1024990,0
1,0,90,170211,122,48,168412,1
1,0,63,799420,225,31,796943,0
0,0,3,391932,8,56,389746,1
