time_zone,google_knowledge_graph_id,latitude,postal_code,fact_grid_item_id,koatuu_id,country_name,longitude,elevation_meters,administrative_entity
1,17726,49.9784844685,38163.0,9676,5321383601.0,3,34.6044605581,179.0,443
1,14419,49.3627777778,9821.0,13227,3224684602.0,3,29.6058333333,189.0,38
1,1754,49.8463888889,9146.0,1977,3220483702.0,3,30.5238888889,,38
1,1103,48.7773647343,39282.0,14310,5321886001.0,3,34.2997898568,60.0,443
1,14429,48.2969444444,26452.0,19087,3525589701.0,3,30.2202777778,,132
1,4116,48.4275,78631.0,17656,2623687601.0,3,25.1383333333,,227
1,4807,50.9411111111,17122.0,7135,7423882001.0,3,31.4033333333,114.0,363
1,12092,49.4102777778,31272.0,14694,6820987403.0,3,26.4183333333,311.0,188
1,19837,50.8297222222,11641.0,13454,1823486801.0,3,29.2047222222,180.0,311
1,18345,50.1841666667,80320.0,9045,4622787612.0,3,23.5686111111,280.0,690
1,6091,50.2467582242,42760.0,10817,5920384005.0,3,34.9134658403,116.0,398
1,11207,49.1909221242,48412.0,6780,6121282901.0,3,25.3653288905,,67
1,20569,49.2875,82427.0,4527,4625381001.0,3,23.8872222222,285.0,547
1,332,50.149826,62140.0,6909,6320884501.0,3,35.7040326,169.0,49
1,5126,49.3969444444,47745.0,7176,6125284101.0,3,25.7988888889,317.0,573
1,7565,48.0219554356,53042.0,2349,1221885902.0,3,33.6306937946,109.0,257
1,8110,51.085,11303.0,12003,1822885204.0,3,28.3011111111,189.0,222
1,19945,50.1936111111,80411.0,14878,4622185917.0,3,24.3730555556,,172
1,16758,49.5480555556,63652.0,16631,6325781506.0,3,37.2133333333,106.0,265
1,15442,49.2063888889,64511.0,9832,6324886003.0,3,36.0522222222,107.0,243
1,12225,49.2538733876,39344.0,10904,5323480905.0,3,34.451514635,85.0,369
1,1633,48.9130555556,77443.0,6975,2625881501.0,3,24.9152777778,,157
1,6996,50.4486111111,35715.0,5271,5622687603.0,3,26.2730555556,203.0,470
1,16177,50.2227777778,10019.0,16073,1822086803.0,3,28.7425,183.0,691
1,541,51.2260374776,41709.0,19057,5920988403.0,3,33.8918553728,,69
1,20038,48.9512589024,,19002,1225988007.0,3,35.897221762,,418
1,3874,48.019274032,70017.0,3396,2321581001.0,3,35.2870879453,,625
1,16481,48.9180555556,,16373,3520586501.0,3,32.3558333333,,253
1,11384,50.9508333333,17220.0,10174,7425381502.0,3,33.1422222222,154.0,449
1,17124,47.5777777778,55654.0,18881,4824583004.0,3,32.7369444444,86.0,624
1,13294,49.105,32155.0,16383,6825887601.0,3,26.7138888889,327.0,188
1,19477,50.3408333333,80214.0,12190,4623986202.0,3,24.4916666667,211.0,79
1,17775,49.7730555556,63714.0,1799,6323787002.0,3,37.5230555556,104.0,265
1,19231,46.2772222222,75711.0,759,6524781502.0,3,32.7891666667,34.0,364
1,11791,49.9547222222,8470.0,14004,3223385601.0,3,31.7286111111,105.0,420
1,12993,49.9995849671,37652.0,19109,5323255703.0,3,33.4098624794,144.0,347
1,7372,48.7427777778,84530.0,1676,1420981001.0,3,37.9888888889,79.0,530
1,13744,49.7383333333,80726.0,13862,4621884903.0,3,24.4783333333,271.0,694
1,14231,50.5019444444,80044.0,3223,4624884603.0,3,24.1575,212.0,79
1,4343,51.5347222222,16105.0,5263,7424982501.0,3,32.5302777778,120.0,220
1,11782,47.3586298991,70301.0,13267,2324955103.0,3,37.0556498957,224.0,364
1,297,50.1672222222,80263.0,11163,4623982801.0,3,24.7683333333,210.0,79
1,1867,48.3702777778,59332.0,6964,7322580503.0,3,25.665,187.0,203
1,15631,48.3463888889,90115.0,1286,2121981201.0,3,23.005,,364
1,15683,48.1575,90640.0,17723,2123683003.0,3,24.2686111111,723.0,463
1,572,48.9854525,64760.0,14840,6320483701.0,3,37.070831,176.0,161
1,16088,50.8588888889,11630.0,11379,1823486203.0,3,29.3975,158.0,311
1,7367,45.1130555556,97327.0,9397,121681803.0,0,35.2102777778,,364
1,19920,48.0933333333,28544.0,18094,3521980711.0,3,32.8225,169.0,253
1,11325,49.9058333333,30242.0,6366,6820382003.0,3,26.5119444444,281.0,505
1,4712,51.2202777778,44652.0,12017,723683002.0,3,25.7838888889,172.0,314
1,19085,48.3697222222,94493.0,14107,4421487705.0,3,39.9177777778,32.0,531
1,6254,51.6751675862,15152.0,13240,7421484404.0,3,31.4976678227,124.0,76
1,19075,49.3634043023,39027.0,6819,5320680703.0,3,33.0622092314,95.0,129
1,1851,48.2609948412,52350.0,110,1222083502.0,3,33.9208596967,94.0,175
1,1622,47.7775,66341.0,20356,5122984602.0,3,29.4122222222,246.0,260
1,3612,48.6216666667,93723.0,18737,4424581409.0,3,38.7461111111,93.0,162
1,14216,48.7377777778,84005.0,10961,1420355107.0,3,36.9697222222,102.0,404
1,260,48.9519444444,77356.0,5208,2622882801.0,3,24.4255555556,,167
1,10965,51.6005555556,34212.0,5153,5625080803.0,3,27.2927777778,153.0,471
1,9304,48.1675,55244.0,15574,4825487605.0,3,31.0152777778,111.0,364
1,2174,48.7498055556,93713.0,8018,4424583301.0,3,38.806,58.0,128
1,19661,50.0458333333,13425.0,17189,1820384003.0,3,29.0775,219.0,7
1,11248,49.7597222222,92141.0,19753,4425488001.0,3,38.3711111111,147.0,582
1,6667,48.5511111111,59312.0,19355,7322589501.0,3,25.6336111111,233.0,203
1,20029,47.3964502121,71014.0,2115,2322782001.0,3,36.830827324,219.0,41
1,443,50.4080555556,62215.0,443,6322684402.0,3,35.8866666667,175.0,694
1,13570,51.2083333333,11031.0,20882,1824486202.0,3,27.6027777778,179.0,406
1,9859,48.9016666667,93622.0,895,4424885303.0,3,40.0277777778,65.0,515
1,20569,48.3313888889,60333.0,658,7323080601.0,3,26.3566666667,,387
1,19922,49.4802777778,77011.0,13516,2624486503.0,3,24.4438888889,,157
1,10888,47.2941666667,57040.0,13889,4821783401.0,3,31.1325,108.0,364
1,14525,50.0694441635,38143.0,13494,5321385301.0,3,34.4803553372,159.0,692
1,20236,49.8613888889,22121.0,6741,521483003.0,3,28.8922222222,235.0,238
1,7662,50.6008333333,11751.0,20887,1824085202.0,3,27.2736111111,210.0,364
1,6475,50.5,17461.0,1273,7420681600.0,3,31.4333333333,,363
1,9461,50.0572222222,8541.0,18102,3224986901.0,3,30.0441666667,195.0,118
1,5451,51.5233333333,15530.0,2791,7425585704.0,3,31.4316666667,119.0,76
1,13547,48.1725,90412.0,7949,2125384601.0,3,23.2333333333,298.0,200
1,14164,49.0216666667,77522.0,17894,2622087101.0,3,23.905,,167
1,974,50.7062632238,42063.0,7443,5924185401.0,3,33.4013347131,149.0,474
1,14728,49.1263888889,48510.0,5686,6125583601.0,3,25.6816666667,,89
1,12302,49.3705555556,31272.0,3786,6820987402.0,3,26.3372222222,318.0,188
1,9694,50.0775,8450.0,17635,3223384603.0,3,31.6183333333,98.0,420
1,452,50.4313888889,62212.0,16399,6322682004.0,3,35.915,151.0,694
1,625,50.7839128461,42354.0,12177,5924789105.0,3,34.6447693596,193.0,554
1,7880,49.5958333333,31224.0,6943,6820983301.0,3,26.4169444444,314.0,188
1,10185,49.3291666667,92624.0,21115,4424086503.0,3,37.945,134.0,211
1,13692,47.5177777778,56553.0,19512,4822085401.0,3,31.7461111111,,643
1,4373,49.8431016502,38512.0,9981,5321081304.0,3,34.3829199066,150.0,364
1,19804,48.2923960539,52350.0,11637,1222083506.0,3,34.0423224216,134.0,175
1,2767,47.6369444444,56455.0,11938,4822781203.0,3,30.8886111111,74.0,364
1,7675,50.1097222222,47124.0,12235,6125888403.0,3,25.94,,513
1,15874,47.7761111111,56320.0,7845,4822382604.0,3,30.4347222222,164.0,364
1,20569,48.8766666667,82644.0,17873,4624588301.0,3,23.2822222222,731.0,547
1,13386,51.1386111111,45082.0,15882,722188601.0,3,25.2161111111,176.0,234
1,9391,51.8480555556,44234.0,18446,723187601.0,3,25.5222222222,143.0,279
1,7238,48.7680555556,20523.0,19757,7122288001.0,3,30.9780555556,142.0,701
1,19813,50.2380555556,12420.0,17418,1822087201.0,3,28.5736111111,205.0,691
1,2422,48.4425,26134.0,5990,3523688505.0,3,30.7397222222,163.0,132
1,6029,49.3553354596,39006.0,11627,5320610103.0,3,33.3305572533,98.0,129
1,20569,48.9888888889,82550.0,7317,4625583901.0,3,23.0419444444,677.0,486
1,20569,48.1772222222,86222.0,19198,1425284505.0,3,38.3713888889,253.0,197
1,15115,48.4272470102,52732.0,11888,1223883705.0,3,36.363288886,74.0,562
1,11819,50.2372222222,37253.0,15961,5322682804.0,3,33.2383333333,99.0,284
1,3276,48.6719444444,27444.0,7645,3522286302.0,3,32.5355555556,155.0,253
1,16900,51.1163888889,7204.0,6639,3222083603.0,3,30.0188888889,118.0,155
1,19091,49.3411111111,9822.0,17307,3224687801.0,3,29.5780555556,,574
1,18417,48.8755555556,23411.0,10518,522884201.0,3,27.5211111111,287.0,340
1,9170,46.5586111111,75444.0,17438,6522981002.0,3,34.4033333333,34.0,153
1,1838,51.7105555556,15261.0,14565,7425883506.0,3,32.0236111111,142.0,392
1,19525,48.9429593101,51142.0,7766,1222382505.0,3,35.1075687043,111.0,382
1,15799,49.5969444444,31060.0,9931,6822784403.0,3,26.7905555556,298.0,188
1,14889,50.8022222222,11236.0,17164,1821787301.0,3,27.6611111111,216.0,667
1,11434,51.8776171514,41241.0,5947,5925682503.0,3,33.9929908843,173.0,659
1,20569,47.2244444444,66860.0,20523,5125481001.0,3,30.3377777778,37.0,427
