CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId
0,14,61536.0,23427,11,10153.0,177662,21,97741,65.0,17,,13,10,95079,3,27289,181.0,11
0,15,65227.0,26509,12,,194909,2,111440,57.0,20,146670.0,11,11,99609,5,46163,173.0,11
0,19,55907.0,20793,22,2918.0,168755,19,461093,73.0,13,,0,20,66627,5,16610,178.0,4
0,9,20041.0,6807,20,61270.0,140781,16,32596,67.0,3,125028.0,4,18,21225,6,114,182.0,7
0,12,,17940,9,4499.0,138871,12,507857,59.0,11,135861.0,15,8,60701,5,6538,172.0,1
0,6,51883.0,19078,0,3652.0,130946,20,66347,60.0,9,,14,0,72799,1,10996,177.0,11
0,4,61640.0,21812,6,10093.0,170183,4,97091,58.0,14,144171.0,3,5,91127,4,20384,176.0,11
0,21,49272.0,17881,16,13864.0,140294,9,76092,56.0,8,,1,14,38092,0,4863,169.0,10
0,18,38086.0,5472,19,,135803,17,31273,,0,,2,17,23206,5,1905,,9
0,20,57472.0,21342,18,317302.0,178184,7,91656,62.0,12,142266.0,13,16,66785,5,23097,170.0,11
0,2,11009.0,5139,1,188233.0,140904,10,55131,65.0,5,135241.0,12,1,27924,5,581,183.0,5
0,8,19630.0,10023,5,28543.0,140233,3,54679,61.0,7,,18,4,22431,4,794,175.0,6
0,6,51883.0,19078,0,3652.0,130946,20,66347,60.0,9,,14,0,72799,1,10996,177.0,11
0,11,19558.0,3828,8,65423.0,140870,8,34012,69.0,1,113255.0,7,7,21215,5,264,182.0,8
0,18,38086.0,5472,19,,135803,17,31273,,0,,2,17,23206,5,1905,,9
0,3,,29474,2,,215760,1,638202,,22,2502935.0,8,2,149604,5,92666,184.0,11
0,13,69190.0,25740,10,,196424,11,112082,,18,,20,9,115868,2,38195,175.0,11
0,17,83295.0,28377,17,84000.0,212377,0,587366,62.0,21,141007.0,5,15,141854,5,84019,171.0,11
0,22,65462.0,24902,15,5529.0,185580,18,88143,67.0,16,,16,13,119310,5,37494,183.0,11
0,9,20041.0,6807,20,61270.0,140781,16,32596,67.0,3,125028.0,4,18,21225,6,114,182.0,7
0,0,47885.0,18123,13,21399.0,139801,22,68832,71.0,10,1303133.0,19,12,58401,5,6309,179.0,2
0,10,66232.0,23948,7,,176305,15,109829,,15,,10,6,81941,5,37446,175.0,11
0,1,,25026,21,31358.0,198985,13,109855,54.0,19,141956.0,9,19,109700,7,58639,163.0,11
0,5,,9740,3,1264.0,138149,14,61428,,2,,6,3,14214,7,2141,,11
0,7,52495.0,19900,4,8437.0,141005,5,58947,65.0,6,134608.0,17,4,57565,4,14122,178.0,0
0,16,56938.0,20257,14,17205.0,167585,6,86480,64.0,4,133037.0,21,12,81851,5,16569,175.0,3
0,7,52495.0,19900,4,8437.0,141005,5,58947,65.0,6,134608.0,17,4,57565,4,14122,178.0,0
