CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId
3,15,16313.0,3333,11,134950.0,140752,19,44513.0,74.0,2,126409.0,30,11,18746,1,150.0,181.0,8
3,22,61866.0,23334,22,160840.0,185156,27,97634.0,65.0,20,133265.0,16,22,100717,11,35077.0,170.0,4
3,36,20140.0,6829,31,,140704,18,57085.0,71.0,3,,18,32,20733,7,2503.0,190.0,22
3,5,69634.0,26526,34,5000.0,194619,17,149727.0,66.0,35,146565.0,21,35,115790,10,45992.0,176.0,26
3,8,8760.0,4179,2,42225.0,140749,28,32691.0,78.0,5,121169.0,14,2,19407,7,406.0,181.0,15
3,28,66653.0,27315,13,,186431,21,110444.0,,32,,9,13,99024,5,37359.0,172.0,26
3,32,48798.0,17908,8,12892.0,135468,10,75247.0,64.0,16,,27,8,61314,7,8068.0,181.0,0
3,29,46998.0,16666,32,22458.0,140492,9,64680.0,71.0,10,,5,33,48356,6,2338.0,176.0,21
3,21,69190.0,25740,17,,196424,16,112082.0,,31,,31,17,115868,0,38195.0,175.0,26
4,6,61538.0,24057,10,,177672,33,91640.0,82.0,30,136635.0,10,10,79184,6,27099.0,193.0,26
0,7,47686.0,17534,16,8603.0,140333,24,59773.0,72.0,13,142502.0,12,26,37589,11,2325.0,183.0,24
3,35,41885.0,13080,35,142323.0,140628,20,64737.0,65.0,12,,20,36,58535,3,860.0,180.0,17
3,19,1590.0,2378,18,15597.0,140844,26,33493.0,75.0,1,120892.0,3,18,16099,8,361.0,186.0,10
4,3,65826.0,25081,14,,196961,34,92315.0,73.0,27,,25,15,107521,4,47830.0,187.0,26
0,37,,26397,24,,168807,23,86807.0,,26,,18,37,77655,7,16982.0,177.0,26
0,11,55719.0,22020,6,2473.0,164213,5,86617.0,,23,,0,6,77514,6,26504.0,183.0,7
3,31,39842.0,12843,23,1311517.0,140292,32,67388.0,58.0,9,141955.0,22,23,57418,11,2276.0,166.0,20
3,16,50317.0,18455,3,2094.0,138294,3,68778.0,70.0,18,1303548.0,15,3,61900,7,6230.0,175.0,23
1,10,50824.0,18498,5,5628.0,138830,35,63841.0,72.0,15,,17,5,58906,2,16154.0,187.0,12
3,34,57500.0,21405,25,,170313,29,86710.0,65.0,25,,8,24,82089,7,17252.0,180.0,3
3,1,64374.0,24293,19,,181230,11,100965.0,64.0,29,,18,19,102060,7,27043.0,182.0,26
3,24,,31655,24,,229058,30,419547.0,,36,,26,27,155131,11,105979.0,,26
3,30,,24346,33,,179111,0,100931.0,,28,,32,34,107949,2,37376.0,183.0,26
4,27,41076.0,13362,30,56034.0,139405,36,65995.0,70.0,14,,2,31,51551,7,3277.0,177.0,14
3,2,16289.0,5,1,470645.0,140924,25,14575.0,61.0,0,103634.0,29,1,7005,7,38.0,177.0,13
4,9,56664.0,20678,26,20194.0,132382,6,72234.0,73.0,19,134003.0,7,25,66001,2,,1.81,18
2,26,26009.0,12193,27,1940308.0,140797,38,54603.0,78.0,8,125137.0,24,28,30229,9,784.0,184.0,16
1,4,,34430,24,,269874,14,,,38,,4,14,161788,7,173217.0,,26
3,20,,26392,15,,193131,22,148275.0,69.0,34,,19,16,89152,7,45363.0,176.0,26
3,12,56210.0,20760,20,,132426,37,86759.0,,24,145691.0,13,20,65954,7,16807.0,187.0,2
3,25,56345.0,20861,28,2247.0,155558,2,86624.0,71.0,21,,1,29,80972,4,16816.0,184.0,6
4,17,27802.0,10520,4,17799.0,140184,31,55032.0,67.0,6,,11,4,32424,6,3155.0,170.0,19
1,38,54395.0,20730,36,252749.0,168961,15,75859.0,70.0,22,141009.0,36,38,74709,1,18258.0,187.0,5
4,27,41076.0,13362,30,56034.0,139405,36,65995.0,70.0,14,,2,31,51551,7,3277.0,177.0,14
3,18,,33556,12,,261531,13,,,37,,35,12,178737,11,155993.0,,26
4,33,56666.0,18975,0,32176.0,133024,4,70590.0,58.0,17,133999.0,34,0,65132,2,20147.0,172.0,25
3,13,19630.0,10023,7,28543.0,140233,7,54679.0,61.0,7,,28,7,22431,6,794.0,175.0,9
4,0,28095.0,12823,29,,137337,1,58891.0,71.0,11,123794.0,6,30,34412,2,2322.0,182.0,11
3,29,46998.0,16666,32,22458.0,140492,9,64680.0,71.0,10,,5,33,48356,6,2338.0,176.0,21
3,23,56938.0,20257,21,17205.0,167585,12,86480.0,64.0,4,133037.0,33,21,81851,7,16569.0,175.0,1
3,14,73302.0,27024,9,,209345,8,573361.0,56.0,33,,23,9,140376,11,77970.0,164.0,26
