Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1160395,348,348,3,55,1159709,0
1,18293,404,404,3,154,17649,0
0,7200,136,136,4,24,6637,0
0,55025,359,359,4,98,54438,0
0,1464254,88,88,4,94,1463646,0
0,494817,204,204,4,14,494134,1
0,2016292,330,330,4,61,2015537,0
0,9057,388,388,4,88,8128,0
0,4555,133,133,4,128,3962,0
0,683253,98,98,4,57,682675,0
1,844685,368,368,3,110,844098,0
1,112468,401,401,1,37,111971,0
0,4870,341,341,4,137,4217,0
0,2682,266,266,4,128,1954,0
0,163066,8,8,4,140,162521,1
0,1955674,333,333,4,158,1955171,0
0,756041,99,99,4,94,755460,1
0,1368555,310,310,4,74,1367977,1
0,1487064,92,92,4,28,1486369,1
0,36247,72,72,4,62,35642,1
0,265007,260,260,4,5,264339,0
0,120884,34,34,2,104,120498,0
0,1921473,108,108,4,57,1920904,1
0,438865,352,352,4,21,438233,0
0,308712,370,370,4,26,308044,0
0,1033564,300,300,4,165,1032920,0
0,1604078,116,116,4,74,1603452,0
0,85370,61,61,4,75,84681,0
0,17407,263,263,4,42,16820,0
0,497483,126,126,4,111,496893,0
1,1738968,27,27,3,41,1738420,0
0,6677,379,379,4,87,6162,1
0,278070,223,223,4,155,277438,1
0,1731530,337,337,4,57,1730895,0
0,477620,207,207,4,110,476973,0
0,565167,382,382,2,78,564760,0
0,10321,127,127,4,42,9749,0
0,1686468,112,112,4,94,1685914,0
0,7629,231,231,4,42,6979,0
0,1645,356,356,4,102,1004,0
0,376974,55,55,4,148,376393,1
1,807869,24,24,3,115,807330,1
0,426818,139,139,4,126,426186,1
0,39701,52,52,4,42,39237,1
0,307213,261,261,4,14,306524,0
0,782,46,46,4,124,129,1
0,1132814,318,318,4,57,1132212,1
0,30799,73,73,4,66,30158,1
0,159847,67,67,4,96,159101,1
0,717564,272,272,4,120,716974,1
0,1637787,114,114,4,57,1637185,1
0,487905,170,170,4,148,487330,0
1,356421,430,430,3,135,355831,1
0,1932015,107,107,4,94,1931470,0
0,2027,39,39,4,70,1341,0
0,1743790,336,336,4,57,1743146,0
0,515441,208,208,4,64,514617,0
0,1118634,320,320,4,150,1117975,1
1,347837,17,17,3,9,347313,0
0,250738,324,324,4,155,250097,0
0,1579,3,3,4,164,1004,1
0,570400,76,76,4,112,569783,0
1,544317,148,148,1,110,543658,0
0,52129,267,267,4,128,51491,0
1,19103,380,380,3,31,18480,1
0,4829,259,259,4,38,4128,0
0,599763,234,234,4,6,598996,1
0,430625,12,12,4,131,430509,0
0,1148872,410,410,4,34,1148204,0
0,339516,226,226,4,80,338926,0
0,1581481,216,216,4,82,1580900,1
0,1081012,406,406,4,167,1080440,1
0,15668,345,345,4,20,15015,0
0,6518,305,305,4,148,5874,1
0,26110,307,307,4,31,25487,1
1,504309,428,428,3,143,503911,1
0,610947,367,367,4,166,610288,1
0,1995197,218,218,4,147,1994529,0
0,216763,323,323,4,141,216122,0
1,588625,158,158,3,106,587969,1
0,416038,383,383,4,63,415541,0
1,463493,101,101,3,77,462885,1
0,14001,394,394,4,151,13402,1
0,276224,138,138,4,79,275592,0
0,602338,321,321,4,90,601643,1
0,1845,389,389,2,85,1489,1
0,314714,123,123,4,25,314181,0
0,1473130,87,87,4,27,1472456,0
0,1134002,408,408,4,48,1133424,1
0,444695,31,31,4,108,444042,0
0,42175,386,386,4,147,41594,0
0,9261,129,129,4,42,8539,0
0,382637,57,57,4,155,382086,0
0,35038,304,304,4,118,34388,1
0,410050,249,249,4,23,409331,0
1,13194,350,350,3,103,12661,1
0,641578,83,83,4,54,640880,1
0,320021,423,423,4,95,319437,1
0,70385,301,301,4,156,69732,0
0,2893,384,384,4,145,2228,0
0,36160,19,19,4,53,35462,1
1,628319,185,185,3,64,627354,1
0,1066542,405,405,4,68,1065931,1
0,288480,175,175,4,97,287506,0
0,331967,154,154,4,131,331098,0
0,467996,365,365,4,161,467418,0
0,1344856,200,200,4,121,1344239,0
0,340144,413,413,4,96,339536,0
0,218124,167,167,4,21,217234,0
0,17055,48,48,4,42,16375,0
0,1049,287,287,4,67,204,1
0,807166,153,153,4,114,806492,1
1,874302,277,277,3,115,873739,1
0,281,10,10,5,72,3,1
0,16035,343,343,4,52,15472,0
0,301818,281,281,4,31,301183,1
0,6125,11,11,4,72,5631,1
0,578960,77,77,4,112,578253,0
0,1670681,28,28,4,120,1670067,0
0,538452,147,147,4,115,537880,1
0,278450,245,245,4,46,277617,0
0,473006,255,255,4,131,472107,0
0,16573,166,166,4,124,15977,0
0,1236,125,125,4,0,691,0
0,2152710,106,106,4,158,2152117,1
0,750998,202,202,4,129,750414,0
0,497850,297,297,4,42,497083,1
0,653543,84,84,4,54,652923,1
0,729959,96,96,4,17,729363,0
0,350824,414,414,2,96,350453,1
0,584282,134,134,4,6,583626,1
0,425782,143,143,2,47,425384,0
1,1261581,325,325,3,127,1260970,0
0,160801,403,403,4,49,160181,0
1,10872,104,104,3,100,10210,0
0,412598,283,283,4,45,411981,1
0,514088,296,296,4,42,513441,1
0,667099,4,4,4,6,666332,1
0,244449,291,291,4,117,243556,0
0,223254,292,292,4,23,222562,0
0,260483,177,177,4,97,259935,0
0,1078119,194,194,4,158,1077559,0
0,198335,42,42,4,6,197730,1
0,1243238,188,188,4,158,1242540,1
0,1176204,399,399,4,5,1175530,0
0,6197,387,387,4,152,5628,0
0,38888,79,79,4,56,38181,1
0,374682,41,41,4,17,374062,0
0,1420673,91,91,4,158,1420101,0
0,388432,196,196,2,73,388043,1
0,70633,59,59,4,124,70109,0
0,11230,374,374,4,123,10535,0
0,694973,308,308,4,69,694383,0
0,1677970,118,118,4,134,1677395,0
0,5761,375,375,4,22,5141,0
0,1886263,219,219,4,99,1885670,0
0,311313,422,422,4,133,310645,1
0,274287,173,173,4,96,273715,1
0,456160,322,322,4,116,455483,0
0,36542,385,385,4,147,35961,1
0,541203,103,103,4,64,540331,0
0,375081,122,122,4,25,374536,1
